Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Shiatzy Chen,Fall 2024,Feminine,"Black cropped sweater, white shirt, black skirt","Black knee-high socks, white heels with embellishments","Tailored, structured","Chic, modern",Monochrome look with floral embellishments
2,Shiatzy Chen,Fall 2024,Feminine,Black sleeveless coat dress,"Statement earrings, black knee-high socks, white heels with embellishments","Longline, fitted","Elegant, sophisticated",Minimalist design with focus on silhouette
3,Shiatzy Chen,Fall 2024,Masculine,"White blazer, white turtleneck, white trousers",Black shoes,"Relaxed, oversized","Crisp, clean",Monochrome white with floral lapel detail
1,Shiatzy Chen,Fall 2024,Feminine,"White tailored blazer, white trousers","Silver earrings, glitter boots","Structured, fitted","Elegant, modern",Asymmetrical blazer hem
2,Shiatzy Chen,Fall 2024,Feminine,"Gray coat, black dress","Black flower brooch, glitter shoes","Straight, relaxed","Chic, understated",Minimalist design with subtle embellishments
3,Shiatzy Chen,Fall 2024,Feminine,"Gray coat, white blouse","Statement earrings, black shoes","Oversized, relaxed","Sophisticated, contemporary",Textured detailing on coat
1,Shiatzy Chen,Fall 2024,Feminine,"White coat, ruffled blouse, white pants",None,"Straight, clean","Minimalist, elegant","Monochrome, floral embellishments on collar"
2,Shiatzy Chen,Fall 2024,Feminine,Black halter dress,Small black handbag,"Fitted, sleek","Chic, sophisticated","Textured fabric, floral details"
3,Shiatzy Chen,Fall 2024,Feminine,"Black oversized coat, white shirt",None,"Boxy, oversized","Modern, casual","Textured fabric, knee-high socks"
1,Shiatzy Chen,Fall 2024,Feminine,"Black ruffled crop top, black high-waisted trousers",None visible,"Fitted, high-waisted","Chic, modern","Ruffled detailing, sleek trousers"
2,Shiatzy Chen,Fall 2024,Feminine,"Black lace slip dress, black satin pants","White handbag, statement earrings","Loose, layered","Elegant, romantic","Lace detailing, delicate straps"
3,Shiatzy Chen,Fall 2024,Feminine,Black sequined tiered dress,"Red handbag, red heels","A-line, tiered","Glamorous, bold","Sequined texture, vibrant accessories"
1,Shiatzy Chen,Fall 2024,Feminine,Black textured coat,Black handbag,A-line,"Elegant, classic","Fur collar detail, knee-high socks"
2,Shiatzy Chen,Fall 2024,Masculine,"Black jacket, white high-neck top, black culottes",None,Relaxed,"Minimalist, modern","Monochrome palette, casual sophistication"
3,Shiatzy Chen,Fall 2024,Feminine,"Black sleeveless jacket, black turtleneck, metallic skirt",Red handbag,Layered,"Chic, contemporary","Metallic textures, bold color accent"
1,Shiatzy Chen,Fall 2024,Feminine,"Black textured coat, white shirt, black skirt",Statement earrings,"Boxy, A-line","Chic, modern","Textured fabric, monochrome"
2,Shiatzy Chen,Fall 2024,Masculine,"Long black textured coat, black turtleneck",None,"Oversized, straight","Elegant, classic","Textured fabric, minimalist"
3,Shiatzy Chen,Fall 2024,Feminine,"Black cropped jacket, black wide-leg pants",None,"Relaxed, wide-leg","Edgy, contemporary","Cropped silhouette, metallic sheen"
1,Shiatzy Chen,Fall 2024,Masculine,"Black embroidered bomber jacket, matching pants",None,"Relaxed, tailored","Modern, sleek",Floral embroidery detail
2,Shiatzy Chen,Fall 2024,Masculine,"Purple leather jacket with fur collar, black trousers",None,"Structured, relaxed","Edgy, contemporary",Rich color palette
3,Shiatzy Chen,Fall 2024,Feminine,"Black sequin top, leather shorts","Black knee-high socks, white shoes","A-line, playful","Chic, youthful","Textured fabrics, contrast footwear"
1,Shiatzy Chen,Fall 2024,Feminine,"Black leather jacket, black leather skirt",Black handbag,"Fitted, sleek","Edgy, modern",Monochrome leather look
2,Shiatzy Chen,Fall 2024,Feminine,Purple leather coat dress,Purple textured handbag,"A-line, tailored","Sophisticated, elegant","Rich color, textural contrast"
3,Shiatzy Chen,Fall 2024,Masculine,"Black suit, purple sweater",None,"Structured, classic","Chic, refined",Subtle color pop with sweater
1,Shiatzy Chen,Fall 2024,Feminine,"Purple textured coat, blue dress",None,"Oversized, straight","Elegant, textured","Rich purple tones, layered textures"
2,Shiatzy Chen,Fall 2024,Feminine,"Purple blazer, purple textured dress",Black handbag,"Structured, straight","Chic, sophisticated","Matching tones, subtle embroidery"
3,Shiatzy Chen,Fall 2024,Masculine,"Black blazer, purple shirt, black trousers",Purple floral brooch,"Relaxed, tailored","Classic, modern","Contrasting textures, floral detail"
1,Shiatzy Chen,Fall 2024,Feminine,"Purple embroidered coat, black shorts","Black knee-high socks, embellished shoes","Long, tailored","Elegant, artistic",Intricate floral embroidery
2,Shiatzy Chen,Fall 2024,Feminine,"White embroidered coat, lace-trimmed shorts","Black knee-high socks, white shoes","A-line, structured","Chic, delicate",Subtle metallic embroidery
3,Shiatzy Chen,Fall 2024,Masculine,"White embroidered jacket, textured trousers",Black shoes,"Boxy, relaxed","Minimalist, sophisticated","Textured fabric, subtle detailing"
1,Shiatzy Chen,Fall 2024,Feminine,"White textured coat, white ruffled blouse, white shorts",White floral neck accessory,"A-line, relaxed","Elegant, romantic","Textured layers, floral details"
2,Shiatzy Chen,Fall 2024,Feminine,"White fur-collared jacket, white wide-leg trousers",None,"Boxy, wide-leg","Chic, modern","Fur detail, monochrome look"
3,Shiatzy Chen,Fall 2024,Feminine,"Black blazer, black glitter dress",Black handbag,"Tailored, fitted","Sophisticated, classic","Sparkle accents, structured tailoring"
