Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Annakiki,Fall 2024,Androgynous,"Black structured jumpsuit, leather texture",None,Fitted with exaggerated shoulders,"Futuristic, Avant-garde","Dramatic shoulder design, minimalistic accessories"
1,Annakiki,Fall 2024,Feminine,"Black structured jacket, Black leather pants",None,"Fitted, Structured","Futuristic, Avant-garde",Bold collar design
1,ANNAKIKI,Fall 2024,Feminine,"Black quilted jacket with exaggerated shoulders, Black fitted pants",None,Fitted,"Futuristic, Avant-garde","Bold shoulder design, monochromatic look"
1,Annakiki,Fall 2024,Androgynous,"Black quilted leather jacket, Black quilted leather pants",None,"Structured, Fitted","Futuristic, Avant-garde","Exaggerated shoulders, Monochrome"
1,Annakiki,Fall 2024,Feminine,"Black leather structured coat, Black leather pants",None visible,"Fitted, Structured","Futuristic, Edgy","High collar, Padded shoulders"
1,Annakiki,Fall 2024,Androgynous,"Black leather jacket, Black leather pants","Black handbag, Black gloves","Fitted, Structured","Futuristic, Edgy","Bold shoulders, Monochrome look"
1,Annakiki,Fall 2024,Feminine,"Black structured jacket, Black leather pants",None,"Fitted, Structured","Avant-garde, Futuristic","Dramatic shoulders, Monochrome"
1,Annakiki,Fall 2024,Feminine,"Black structured jacket with exaggerated collar, Black leather pants",None,"Fitted, Dramatic collar","Avant-garde, Futuristic",Bold collar design
1,Annakiki,Fall 2024,Feminine,"Black structured jacket, Black leather pants",None visible,"Fitted, Sculptural","Avant-garde, Futuristic",Dramatic oversized collar
1,Annakiki,Fall 2024,Feminine,"Black leather jacket with structured details, Black bodysuit",Black pointed heels,"Fitted, Structured","Futuristic, Edgy",Bold use of leather and structured design elements
1,Annakiki,Fall 2024,Feminine,Black leather gown,None,"Fitted bodice, flared skirt","Futuristic, Structured",Features sculptural elements and a high neckline
1,Annakiki,Fall 2024,Feminine,"Black structured dress with high collar, puffed shoulders, and textured vertical lines",Black knee-high boots,Fitted with voluminous shoulders,"Futuristic, Avant-garde",Innovative use of texture and structure
1,Annakiki,Fall 2024,Feminine,"Black leather structured top, White high-waisted wide-leg pants",None,"Structured, Wide-leg","Futuristic, Minimalist","Bold shoulder design, Monochrome contrast"
1,Annakiki,Fall 2024,Feminine,"White structured collar top, Black high-waisted wide-leg pants",None,"Structured, Wide-leg","Modern, Minimalist",Bold collar design
1,Annakiki,Fall 2024,Androgynous,"White structured jacket, White flared pants",None,Fitted top with flared bottom,"Futuristic, Minimalist","High collar, Monochrome"
1,Annakiki,Fall 2024,Feminine,"White coat, zip details",None,Straight,"Minimalist, Futuristic","Clean lines, monochromatic"
1,Annakiki,Fall 2024,Androgynous,"White structured jacket, white fitted pants",None visible,"Structured, Fitted","Futuristic, Minimalist","Sharp shoulders, monochromatic"
1,Annakiki,Fall 2024,Feminine,"White structured jacket, White fitted pants",None,Fitted,Avant-garde,Futuristic design with exaggerated shoulders
1,Annakiki,Fall 2024,Androgynous,"Black oversized puffer jacket, black tank top, black leather shorts","Small gray handbag, black sheer tights","Oversized top, fitted bottom","Edgy, Modern, Minimalist",Play on proportions with oversized outerwear and minimal underlayers.
1,Annakiki,Fall 2024,Feminine,"Black leather jacket, black knit top, black leather shorts, sheer tights",Black handbag,"Fitted, structured","Edgy, modern","Bold shoulder details, monochrome look"
1,Annakiki,Fall 2024,Androgynous,"Black leather jacket, black tank top, black shorts",Small black clutch,"Oversized jacket, fitted shorts","Edgy, Modern, Minimalist",Monochrome palette with a focus on texture contrast
1,Annakiki,Fall 2024,Feminine,"Black high-neck gown, voluminous, with zipper",Black ankle boots,"Dramatic, voluminous","Avant-garde, futuristic","Structured shoulders, sleek lines"
1,Annakiki,Fall 2024,Unisex,"Black oversized puffer jacket, Black wide-leg pants",None,"Oversized, Voluminous","Futuristic, Minimalist",Monochrome look with a focus on volume and structure.
1,Annakiki,Fall 2024,Feminine,"Black mini dress with exaggerated shoulders, ruched detail","Black handbag, black pointed heels",Fitted,"Futuristic, Minimalist",Features dramatic shoulder design
1,Annakiki,Fall 2024,Androgynous,"Structured gray blazer, printed wide-leg pants",Metallic pointed shoes,"Oversized, structured","Futuristic, avant-garde","Exaggerated shoulders, artistic print on pants"
1,Annakiki,Fall 2024,Gender Neutral,"Gray high-neck top with face print, Gray wide-leg pants",None,"Oversized, Relaxed","Avant-garde, Artistic",Monochrome palette with a focus on texture and print
1,ANNAKIKI,Fall 2024,Feminine,"Grey structured jacket, Grey flared pants",None visible,"Fitted top, Flared bottom","Futuristic, Minimalist","Circular patterns on fabric, High collar"
1,Annakiki,Fall 2024,Feminine,"Black structured blazer with pleated details, Black flared pants",None,"Fitted top, Flared bottom","Avant-garde, Minimalist","Strong shoulder emphasis, Monochrome look"
1,Annakiki,Fall 2024,Androgynous,"Gray plaid double-breasted coat, Black turtleneck, Black wide-leg pants",None,Structured,"Minimalist, Modern","Clean lines, Oversized coat"
1,Annakiki,Fall 2024,Androgynous,"Black cropped jacket, black high-waisted shorts, sheer black tights",Black pointed heels,"Structured, voluminous sleeves","Futuristic, edgy",Monochrome look with oversized elements
1,Annakiki,Fall 2024,Androgynous,"Black leather cropped vest, Black flared pants",Black mini handbag,"Structured shoulders, Flared pants","Futuristic, Edgy","Bold shoulder design with a sleek, modern aesthetic"
1,Annakiki,Fall 2024,Feminine,"Black leather structured jacket, Black flared pants",None,"Structured, Flared","Futuristic, Avant-garde",Bold shoulders and cut-out detail
1,ANNAKIKI,Fall 2024,Androgynous,"Black patent leather cropped top, Black wide-leg jeans",Black mini handbag,"Fitted top, Wide-leg pants","Futuristic, Edgy","Bold shoulder details, High-gloss finish"
1,Annakiki,Fall 2024,Feminine,"Black cut-out top, Black flared pants",Black pointed shoes,"Fitted top, Flared pants","Modern, Edgy",Minimalist design with cut-out details
1,Annakiki,Fall 2024,Androgynous,"Oversized black leather jacket, Black wide-leg pants",None visible,"Oversized, Relaxed","Futuristic, Minimalist",Monochrome look with a focus on volume and texture.
1,Annakiki,Fall 2024,Androgynous,"Black leather jacket with puff sleeves, Black high-waisted leather pants",Small black clutch,"Fitted, Structured","Futuristic, Edgy","Bold shoulder design, Monochrome leather look"
1,ANNAKIKI,Fall 2024,Feminine,"Black textured crop top, Black high-waisted vinyl pants",Black handbag,"Fitted, Structured shoulders","Futuristic, Edgy","Bold shoulder design, Sleek finish"
1,Annakiki,Fall 2024,Androgynous,"Black turtleneck top, Black leather wide-leg pants",Silver belt,"Structured top, Wide-leg pants","Futuristic, Minimalist",Strong shoulder emphasis
1,Annakiki,Fall 2024,Androgynous,"Black sculptural top, Black leather leggings",Black gloves,"Structured, Fitted","Avant-garde, Futuristic",Dramatic sculptural design
1,Annakiki,Fall 2024,Feminine,"Black strapless gown, ruffled texture",None,Column,"Elegant, Textured",Dramatic ruffles create a striking effect
1,Annakiki,Fall 2024,Feminine,"Black structured jacket, Black ruffled skirt",None visible,"Fitted top, Voluminous skirt","Avant-garde, Monochrome, Textured","Dramatic shoulder pads, Frayed edges on skirt"
1,Annakiki,Fall 2024,Feminine,"Black leather hooded jacket, Black ruffled skirt",Black boots,"Fitted top, Voluminous skirt","Futuristic, Edgy",Monochrome black with textural contrast
1,Annakiki,Fall 2024,Unisex,"Black oversized coat, voluminous sleeves",None visible,"Dramatic, oversized","Avant-garde, bold",Innovative use of volume and structure
1,Annakiki,Fall 2024,Unisex,"Oversized black structured blazer, black wide-leg trousers","Black handbag, futuristic sunglasses","Oversized, structured","Avant-garde, futuristic","Exaggerated shoulder pads, monochrome look"
1,Annakiki,Fall 2024,Feminine,"Black voluminous hooded coat, layered skirt",Black boots,"Oversized, Dramatic","Avant-garde, Futuristic",Bold use of volume and structure
1,Annakiki,Fall 2024,Feminine,"Black sculptural gown, high-neck, textured",None,"Fitted bodice, voluminous skirt","Futuristic, Avant-garde","Intricate 3D detailing, runway setting"
1,ANNAKIKI,Fall 2024,Masculine,"Black satin draped cape, black satin shirt, black satin pants",Black belt,"Flowing, Draped","Futuristic, Elegant",Monochromatic black ensemble with dramatic cape
1,Annakiki,Fall 2024,Feminine,"Black sculptural dress, leather texture",Black thigh-high boots,"Voluminous, structured","Avant-garde, futuristic",Dramatic ruffles and high collar
1,Annakiki,Fall 2024,Unisex,"White oversized puffer coat, white high-neck top, white pants",None,"Voluminous, Dramatic","Futuristic, Avant-garde",Bold use of volume and texture
1,Annakiki,Fall 2024,Feminine,"Black ruched mini dress, Black dramatic cape",Black ankle boots,"Dramatic, Fitted","Avant-garde, Futuristic",Bold statement with exaggerated cape
1,Annakiki,Fall 2024,Feminine,"Black asymmetrical top, Black wide-leg pants",None visible,"Asymmetrical, Flowing","Minimalist, Monochrome",Focus on clean lines and simplicity
