Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Simone Rocha,Fall 2023,Feminine,"Black coat, gold skirt, nude top","Red ribbons, embellished socks, gold shoes","Layered, A-line","Eclectic, romantic","Mix of textures, bold accessories"
2,Simone Rocha,Fall 2023,Feminine,Gold textured dress,"Embellished socks, black platform shoes","Voluminous, structured","Opulent, baroque","Rich textures, metallic sheen"
3,Simone Rocha,Fall 2023,Masculine,"Black textured coat, black leather pants",,"Oversized, relaxed","Modern, edgy","Textural contrast, monochrome palette"
1,Simone Rocha,Fall 2023,Feminine,Gold metallic dress with puff sleeves,"Gold shoes, embellished socks","A-line, voluminous","Opulent, textured","Intricate detailing, metallic sheen"
2,Simone Rocha,Fall 2023,Feminine,"Gold metallic coat with puff sleeves, matching skirt","Nude platform shoes, embellished socks","Structured, layered","Luxurious, bold","Coordinated set, statement sleeves"
3,Simone Rocha,Fall 2023,Feminine,"Black textured crop top, matching skirt","Black lace-up shoes, long gloves","Fitted, layered","Gothic, intricate","Dark palette, elaborate textures"
1,Simone Rocha,Fall 2023,Masculine,"Black textured coat, white shirt, leather skirt",Black boots,"Structured, elongated","Classic, elegant","Textured fabric, monochrome palette"
2,Simone Rocha,Fall 2023,Feminine,"Brown leather coat, red tie, black skirt","Knee-high socks, platform shoes","Oversized, layered","Edgy, modern","Embellished details, contrast tie"
3,Simone Rocha,Fall 2023,Feminine,"Black textured top, matching pants","Textured bag, gloves","Fitted, streamlined","Chic, sophisticated","Textured fabric, subtle embellishments"
1,Simone Rocha,Spring 2021,Feminine,"Black embellished coat, white shirt, black culottes","Black beaded bag, headpiece","Voluminous, structured","Ornate, dramatic","Embellished details, oversized sleeves"
2,Simone Rocha,Spring 2021,Feminine,Black off-shoulder gown,Beaded bag,"Voluminous, flowing","Elegant, avant-garde","Dramatic draping, minimalist accessories"
3,Simone Rocha,Spring 2021,Feminine,"Black coat, white shirt, black trousers","Pearl strap bag, headpiece","Layered, structured","Chic, modern","Pearl accents, oversized silhouette"
1,Simone Rocha,Spring 2021,Feminine,Ivory embellished dress,"Statement earrings, platform shoes","A-line, fitted bodice","Romantic, elegant","Pearl embellishments, soft color palette"
2,Simone Rocha,Spring 2021,Feminine,Black voluminous dress,"Beaded headband, platform shoes","Dramatic, oversized","Gothic, avant-garde","Draped fabric, dark tones"
3,Simone Rocha,Spring 2021,Feminine,"Ivory embellished coat, lace skirt","Statement earrings, pearl bag","Boxy, layered","Vintage, sophisticated","Pearl details, layered textures"
1,Simone Rocha,Spring 2021,Feminine,"Embroidered sheer coat, wide-leg trousers","Statement earrings, embellished shoes","A-line, voluminous","Romantic, ethereal","Delicate embroidery, sheer layering"
2,Simone Rocha,Spring 2021,Feminine,Floral puff-sleeve dress,"Beaded bag, statement earrings","Voluminous, structured","Ornate, vintage-inspired","Rich textures, intricate beadwork"
3,Simone Rocha,Spring 2021,Feminine,"Navy coat, white ruffled dress","Pearl headpiece, velvet shoes","Oversized, layered","Classic, regal","Pearl embellishments, dramatic ruffles"
1,Simone Rocha,Spring 2014,Feminine,"Black crop top, black skirt with ruffle detail","Pearl choker, embellished shoes","Fitted, flared","Elegant, modern","Sheer paneling, pearl embellishments"
2,Simone Rocha,Spring 2014,Feminine,Black long-sleeve dress with ruffle waist,"Pearl choker, white handbag","Straight, structured","Chic, sophisticated","Contrasting accessories, sleek lines"
3,Simone Rocha,Spring 2014,Feminine,Black strapless dress with ruffle detail,"Pearl choker, embellished shoes","Fitted, flared","Elegant, contemporary","Sheer paneling, pearl embellishments"
1,Simone Rocha,Spring 2014,Feminine,Black coat dress with floral collar,"Sheer knee-high socks with floral details, black oxford shoes","Straight, structured","Elegant, classic",Floral embellishments on collar and socks
2,Simone Rocha,Spring 2014,Feminine,"Black jacket with floral collar, black trousers",Black heels with floral trim,"Tailored, sleek","Chic, sophisticated",Floral details on collar and hem
3,Simone Rocha,Spring 2014,Feminine,"Black lace strapless top, black lace skirt with asymmetrical ruffle",Black oxford shoes,"Fitted, layered","Romantic, modern","Lace texture, asymmetrical ruffle"
1,Simone Rocha,Spring 2014,Feminine,Black floral lace dress,"Black sheer socks with embellishments, black shoes","A-line, fitted bodice","Romantic, elegant","Shimmering fabric, floral pattern"
2,Simone Rocha,Spring 2014,Feminine,Black floral lace suit,Embellished black shoes,"Tailored, straight-leg pants","Chic, modern","Textured lace, matching set"
3,Simone Rocha,Spring 2014,Feminine,Silver floral lace top and skirt,"Pearl necklace, black sheer socks with embellishments, black shoes","A-line, peplum detail","Feminine, sophisticated","Metallic sheen, layered textures"
