Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Cinq à Sept,Fall 2024,Feminine,"Blue leather button-up dress, Black knit sleeves",Brown heels,A-line,"Chic, Modern, Edgy",Combination of textures with leather and knit.
1,Cinq à Sept,Fall 2024,Feminine,"Red leather jacket, red leather skirt, red and black striped top",Red loafers,Structured,"Edgy, Modern",Rich textures and bold color
1,Cinq à Sept,Fall 2024,Feminine,"Striped navy and white knit sweater, Dark denim button-front skirt","Black belt, Black and white platform shoes","Straight, Mini","Casual, Chic","Forest setting, Natural elements"
1,Cinq à Sept,Fall 2024,Feminine,"Striped knit sweater, black button-up shirt, denim midi skirt",Black platform shoes,A-line,"Casual, Layered, Textured",Woodland setting enhances natural vibe
1,Cinq à Sept,Fall 2024,Feminine,"Denim blazer with contrasting black panels, Denim pleated midi skirt",Brown ankle strap heels,"Fitted top, Flared skirt","Chic, Modern, Tailored",Contrasting textures and colors add interest.
1,Cinq à Sept,Fall 2024,Feminine,"Light blue ruffled blouse, Blue tweed mini skirt",Black textured shoes,Fitted,"Chic, Modern, Elegant",Nature-inspired setting
1,Cinq à Sept,Fall 2024,Feminine,"Blue tweed jacket, Blue tweed pants, White collared shirt",White heels,Tailored,"Chic, Elegant",Classic tweed with modern tailoring
1,Cinq à Sept,Fall 2024,Feminine,"Brown fur jacket with embellishments, Dark denim jumpsuit",None,Fitted,"Chic, Modern, Textured",Nature-inspired setting
1,Cinq à Sept,Fall 2024,Feminine,Gold patterned dress with ruffles,"Rust scarf, Burgundy shoes","Fitted bodice, Flared skirt","Romantic, Elegant",Rich textures and autumnal colors
1,Cinq à Sept,Fall 2024,Feminine,"Yellow wool coat, Yellow patterned blouse, Cream skirt",Brown heels,"Longline, Tailored","Elegant, Bold, Autumnal","Bright yellow coat with textured cuffs, nature-inspired setting"
1,Cinq à Sept,Fall 2024,Feminine,"Yellow shaggy fur coat, White and yellow patterned sweater, Yellow tailored trousers",None,"Relaxed, Layered","Bold, Textured",Autumnal setting enhances earthy tones
1,Cinq à Sept,Fall 2024,Feminine,"Gold satin jacket, Gold satin trousers",None,"Structured, Tailored","Elegant, Sophisticated",Button details on jacket
1,Cinq à Sept,Fall 2024,Feminine,"White and yellow ombre faux fur coat, Yellow satin pants, Sheer printed blouse",None,"Structured top, Flowing pants","Luxurious, Bold, Textured",Vibrant color contrast with a mix of textures.
1,Cinq à Sept,Fall 2024,Feminine,"Olive green leather jacket, Yellow satin dress","Black loafers, Black tights","Structured, A-line","Edgy, Chic",Forest setting enhances earthy tones
1,Cinq à Sept,Fall 2024,Feminine,"Olive green knit sweater, Olive green leather skirt",None visible,A-line,"Earthy, Textured, Layered",Natural setting enhances earthy tones
1,Cinq à Sept,Fall 2024,Feminine,"Cream knit sweater, Black leather strapless dress",Black pointed shoes,"Fitted, Midi","Edgy, Chic",Layered leather and knit for contrast
1,Cinq à Sept,Fall 2024,Feminine,"Black patent leather pinafore dress, White ribbed blouse",Black platform shoes,A-line,"Edgy, Retro",Contrast of textures with shiny leather and soft knit
1,Cinq à Sept,Fall 2024,Feminine,"Beige studded jacket, gray top, black patent leather skirt",Layered necklaces,Structured,"Edgy, Modern",Monochrome palette with texture contrast
1,Cinq à Sept,Fall 2024,Feminine,"Black dress with white collar and cuffs, puff sleeves",Black lace-up shoes,A-line,"Chic, Modern, Classic",Monochrome contrast with a timeless silhouette
1,Cinq à Sept,Fall 2024,Feminine,"White knit sweater with ruffles, Black leather pants",None visible,Fitted,"Romantic, Edgy",Contrast of soft knit with edgy leather
1,Cinq à Sept,Fall 2024,Feminine,"Red satin blouse with ruffles, Red leather mini skirt",Black platform shoes,"Fitted top, A-line skirt","Romantic, Edgy",Rich textures and monochromatic red palette
1,Cinq à Sept,Fall 2024,Feminine,"Burgundy faux fur coat, Burgundy satin pleated dress",Black platform shoes,A-line,"Chic, Elegant",Rich textures and deep colors
1,Cinq à Sept,Fall 2024,Feminine,"Red leather jacket, Red draped skirt, Red turtleneck",Black shoes,"Fitted top, Draped skirt","Edgy, Monochrome, Bold","Studded details on jacket, Rich red tones"
1,Cinq à Sept,Fall 2024,Feminine,"Black tweed coat dress, White lace collar",Black platform shoes,A-line,"Chic, Classic, Elegant",Textured fabric with gold accents
1,Cinq à Sept,Fall 2024,Feminine,"Brown fur jacket with embellishments, Black leather pants",Silver necklace,"Relaxed, Structured","Chic, Modern",Natural setting enhances earthy tones
1,Cinq à Sept,Fall 2024,Feminine,"Black leather blazer with stud detailing, black leather skirt with slit",None,"Fitted, Structured","Edgy, Modern, Chic",Dark forest setting enhances the edgy vibe
1,Cinq à Sept,Fall 2024,Feminine,"Black sheer long-sleeve dress, satin texture",White ankle-strap heels,A-line,"Ethereal, Elegant",Sheer fabric adds a delicate touch
1,Cinq à Sept,Fall 2024,Feminine,"Floral-patterned black coat, Sheer black blouse",Black T-strap heels,"Tailored, Longline","Elegant, Floral, Evening","Intricate floral embroidery, Nature-inspired setting"
1,Cinq à Sept,Fall 2024,Feminine,"Black embellished coat, Black mini dress",Black loafers,"Fitted, Layered","Chic, Elegant",Embellished details on coat sleeves
1,Cinq à Sept,Fall 2024,Feminine,"Black embroidered blazer, Black lace top, Black mini skirt",Black and white shoes,Tailored,"Embroidered, Elegant, Chic",Floral embroidery adds a whimsical touch
1,Cinq à Sept,Fall 2024,Feminine,Red satin gown,White ankle-tie heels,"A-line, Asymmetrical hem","Elegant, Eveningwear",Features a fitted bodice and flowing skirt
1,Cinq à Sept,Fall 2024,Feminine,"Black embroidered coat, Black dress, White blouse",Black platform shoes,"Long, Tailored","Elegant, Romantic, Gothic",Floral embroidery adds a whimsical touch
1,Cinq à Sept,Fall 2024,Feminine,"Black leather jacket with heart motifs, Black satin dress",Black loafers,Fitted,"Edgy, Romantic",Heart motifs add a playful touch to the edgy leather look.
1,Cinq à Sept,Fall 2024,Feminine,"Black feather-trimmed coat, Black dress",Belt with square buckle,"Longline, Fitted","Elegant, Dramatic",Set in a forest-like environment
1,Cinq à Sept,Fall 2024,Feminine,"White faux fur coat, White satin dress",White ankle-strap heels,A-line,"Chic, Elegant","Forest setting enhances the natural, cozy vibe"
1,Cinq à Sept,Fall 2024,Feminine,"Black tailored vest, White ribbed knit sleeves, Black wide-leg trousers",Layered necklaces,Structured,"Chic, Modern, Layered",Contrast of textures with knit and tailored fabric
1,Cinq à Sept,Fall 2024,Feminine,"Black embroidered blazer, Black embroidered pants, White collared shirt",Black strappy heels,Tailored,"Elegant, Embroidered, Sophisticated",Intricate floral embroidery adds detail to a classic black suit.
1,Cinq à Sept,Fall 2024,Feminine,"Beaded crop top, Black high-waisted trousers",Black fuzzy coat,"Fitted top, Relaxed trousers","Chic, Glamorous",Elegant evening look with a touch of sparkle.
