Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sacai,Spring 2015,Feminine,"Layered floral dress, sheer top",Lace-up platform sandals,"Flowy, layered","Bohemian, eclectic","Mix of prints, sheer fabric"
2,Sacai,Spring 2015,Feminine,"Floral dress, navy sweater",Lace-up platform sandals,"Flowy, layered","Bohemian, eclectic","Mix of prints, layered look"
3,Sacai,Spring 2015,Feminine,"Printed top, sheer printed pants",Chunky necklace,"Relaxed, loose","Bohemian, eclectic","Bold prints, sheer elements"
1,Sacai,Spring 2015,Feminine,"Printed dress, patchwork jacket",Platform lace-up shoes,"A-line, layered","Eclectic, mixed prints","Bold use of patterns, asymmetrical layers"
2,Sacai,Spring 2015,Feminine,"Short-sleeve top, printed maxi skirt","Belt, choker","Flowy, structured","Military, bohemian","Contrasting textures, utility details"
3,Sacai,Spring 2015,Feminine,Sleeveless shirt dress,Bracelet,"Straight, tailored","Utilitarian, floral","Military-inspired, floral accents"
1,Sacai,Spring 2015,Feminine,"White blouse with bow, green sleeveless vest, green skirt",Lace-up shoes,"Structured, layered","Military-inspired, modern","Double-breasted vest, sheer blouse"
2,Sacai,Spring 2015,Feminine,"Green cropped jacket, white blouse, green skirt",Lace-up shoes,"Structured, layered","Military-inspired, modern","Double-breasted jacket, asymmetrical skirt"
3,Sacai,Spring 2015,Feminine,"White blouse, green bomber jacket, green skirt",Lace-up shoes,"Structured, layered","Military-inspired, modern","Bomber jacket, high-slit skirt"
1,Sacai,Spring 2013,Feminine,"Gray sweater, striped shirt, pinstripe shorts",Feathered shoes,"Relaxed, layered","Casual, tailored","Mix of textures, layered look"
2,Sacai,Spring 2013,Feminine,"Pinstripe jacket with feather trim, pinstripe skirt",Feathered shoes,"Structured, layered","Eclectic, modern","Feather details, asymmetrical elements"
3,Sacai,Spring 2013,Feminine,"Pinstripe biker jacket, striped shirt, pinstripe skirt",Feathered shoes,"Structured, layered","Edgy, contemporary","Biker-inspired, mixed patterns"
1,Sacai,Spring 2013,Feminine,"Gray short-sleeve sweater, white collared shirt, striped skirt with blue lace",Black ankle-strap heels with blue embellishments,"Layered, A-line","Eclectic, layered",Mix of textures with lace and stripes
2,Sacai,Spring 2013,Feminine,"Gray short-sleeve dress, white collared shirt, striped underlayer",Black ankle-strap heels with blue embellishments,"A-line, relaxed","Casual, modern",Playful layering with a sporty touch
3,Sacai,Spring 2013,Feminine,"Gray cardigan, green patterned top, striped culottes",Yellow shoes with embellishments,"Boxy, relaxed","Layered, eclectic","Mix of patterns and textures, casual chic"
1,Sacai,Spring 2013,Feminine,"Yellow lace top, gray flared skirt",Yellow fringed heels,"A-line, flared","Playful, textured",Layered lace over structured skirt
2,Sacai,Spring 2013,Feminine,"Yellow textured jacket, gray pleated skirt",Yellow fringed heels,"Layered, voluminous","Eclectic, layered",Mix of textures and pleats
3,Sacai,Spring 2013,Feminine,"Blue shirtdress, white underskirt",White fringed heels,"A-line, structured","Minimalist, crisp",Clean lines with a playful underskirt
