Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Aquascutum,Fall 2012,Feminine,"Dark green coat, white shirt, olive skirt","Black gloves, knee-high boots","Structured, oversized","Chic, sophisticated","Fur accents on sleeves, high neckline"
2,Aquascutum,Fall 2012,Feminine,"Black jacket, white shirt, black skirt","Black gloves, ankle boots","Tailored, fitted","Modern, sleek","Layered cuffs, high collar"
3,Aquascutum,Fall 2012,Feminine,"Olive sleeveless top, olive skirt","Long black gloves, ankle boots","Straight, layered","Minimalist, elegant","Asymmetrical top, subtle draping"
1,Aquascutum,Fall 2012,Feminine,"Black asymmetrical jacket, white shirt, olive pants","Black gloves, black ankle boots","Structured, fitted","Military-inspired, modern","Zipper details, layered look"
2,Aquascutum,Fall 2012,Feminine,"Olive long coat, white shirt, olive pants","Black gloves, black ankle boots","Tailored, elongated","Military-inspired, classic","Epaulette details, clean lines"
3,Aquascutum,Fall 2012,Feminine,"Dark brown jacket, white shirt, dark brown pants","Black gloves, dark brown ankle boots","Structured, fitted","Minimalist, elegant","Contrasting layers, sleek tailoring"
1,Aquascutum,Fall 2012,Feminine,"Patterned coat, white shirt, black pants",Black gloves,"Tailored, straight","Classic, elegant","Chevron pattern, structured coat"
2,Aquascutum,Fall 2012,Feminine,"Dark jacket, white shirt, pencil skirt",Black gloves,"Boxy, fitted","Minimalist, modern","Layered look, clean lines"
3,Aquascutum,Fall 2012,Feminine,"Oversized coat, white shirt, gray pants",Black gloves,"Oversized, straight","Casual, chic","Textured fabric, relaxed fit"
1,Aquascutum,Spring 2006,Feminine,"Teal belted jacket, white wide-leg pants, white top",Beaded necklace,"Relaxed, flowing","Casual, chic",Layered with a statement necklace
2,Aquascutum,Spring 2006,Feminine,Floral print dress,Matching floral bag,"Fitted, A-line","Vibrant, floral",Bold floral pattern with matching bag
3,Aquascutum,Spring 2006,Feminine,Floral and plaid mixed dress,None,"Fitted, structured","Eclectic, modern",Mix of floral and plaid patterns
1,Aquascutum,Spring 2006,Feminine,"Striped dress, light jacket",Sunglasses,"Loose, relaxed","Casual, chic","Light layering, neutral tones"
2,Aquascutum,Spring 2006,Masculine,"White blazer, white shorts, striped shirt",None,"Tailored, crisp","Minimalist, sporty","Monochrome, summer-ready"
3,Aquascutum,Spring 2006,Feminine,Striped dress,Long necklace,"Fitted, straight","Elegant, modern","Simple lines, statement jewelry"
1,Aquascutum,Spring 2006,Masculine,"Plaid shirt, white wide-leg trousers",None,"Relaxed, casual","Classic, preppy","Open collar, casual fit"
2,Aquascutum,Spring 2006,Feminine,"Plaid shirt, white shorts","Beige clutch, long necklace","Relaxed, casual","Chic, youthful","Layered shirt, statement necklace"
3,Aquascutum,Spring 2006,Masculine,"White shirt, light trousers",None,"Slim, tailored","Minimalist, clean","Buttoned shirt, monochrome look"
