Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,PPQ,Fall 2010,Feminine,Black strapless mini dress with gold fringe,"Statement necklace, black bow heels","Fitted, hourglass","Glamorous, bold","Rich textures, intricate detailing"
2,PPQ,Fall 2010,Feminine,"Gold striped blouse, black leather pants","Gold handbag, black bow heels","Slim, structured","Chic, sophisticated","Metallic accents, high contrast"
3,PPQ,Fall 2010,Feminine,Black and gold strapless mini dress,"Statement necklace, black bow heels","Fitted, hourglass","Elegant, striking","Diagonal gold detailing, opulent jewelry"
1,PPQ,Fall 2010,Feminine,Black velvet mini dress with gold fringe,Black bow heels,"A-line, short","Elegant, retro",Gold fringe detail
2,PPQ,Fall 2010,Feminine,"Black cape, gold blouse, black trousers",Black bow heels,"Layered, voluminous","Dramatic, chic",Layered cape with gold accents
3,PPQ,Fall 2010,Feminine,Black ruffled dress,Black bow heels,"Flared, ruffled","Playful, bold",Shiny fabric with ruffle detailing
1,PPQ,Fall 2010,Feminine,Black jumpsuit with ruffled neckline,"Black handbag, black bow shoes","Fitted, flowing","Chic, elegant","Ruffled details, monochrome"
2,PPQ,Fall 2010,Feminine,Black mini dress with peplum,"Black bow shoes, gold platform heels","Fitted, structured","Bold, modern","Peplum detail, high neckline"
3,PPQ,Fall 2010,Feminine,Black sleeveless dress,"Gold bracelet, black bow shoes","Fitted, sleek","Sophisticated, minimal","Deep V-neck, velvet texture"
1,PPQ,Fall 2012,Feminine,"Leopard print bustier, black high-waisted shorts, black leggings","Bicycle, floral pumps","Fitted, sleek","Retro, playful","Mix of textures, bold print"
2,PPQ,Fall 2012,Feminine,"Gray houndstooth coat, layered skirt","Sunglasses, black belt with gold buckle, floral pumps","Structured, layered","Vintage, sophisticated","Peplum detail, strong shoulders"
3,PPQ,Fall 2012,Feminine,"White structured bodysuit, embellished tights",Black platform heels,"Fitted, dramatic","Futuristic, elegant","Ruffled shoulders, intricate embellishments"
1,PPQ,Fall 2012,Feminine,White coat dress,"Black hat, black heels","Fitted, structured","Elegant, vintage-inspired",Features button detailing and a high collar
2,PPQ,Fall 2012,Feminine,"White coat, full skirt","Checkered scarf, black handbag, black heels","A-line, voluminous","Chic, classic",Scarf adds texture and pattern contrast
3,PPQ,Fall 2012,Feminine,"Black coat, asymmetric skirt","Checkered scarf, black heels","Asymmetric, layered","Sophisticated, modern",Monochrome look with bold scarf pattern
1,PPQ,Fall 2012,Feminine,Black coat with white fur detail,White handbag,"Long, structured","Chic, dramatic",Contrasting fur detail
2,PPQ,Fall 2012,Feminine,Black coat with large embellished hood,None,"Flowing, voluminous","Gothic, theatrical",Embellished hood
3,PPQ,Fall 2012,Feminine,"Gray cropped jacket, black bodysuit, black leggings",Textured handbag,"Fitted, layered","Modern, edgy","Textured fabrics, bold contrast"
