Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Eenk,Spring 2024,Androgynous,"Striped, strapless, white and black, flowy dress","Black oversized bag, white pointed shoes","Loose, flowing","Minimalist, modern",Elegant draping with a relaxed fit
1,EENK,Spring 2024,Feminine,"Black tailored coat, White lace crop top, White lace wide-leg pants",Black slip-on shoes,"Layered, Flowing","Elegant, Contrast, Textured",Mix of structured and delicate elements
1,Eenk,Spring 2024,Feminine,"White sheer blouse, white textured pants, white wrap skirt",White pointed shoes,"Flowy, Layered","Minimalist, Elegant",Monochromatic white ensemble with delicate textures
1,Eenk,Spring 2024,Feminine,"Black sleeveless vest, black and white striped shirt, black wide-leg pants","White sunglasses, black headpiece","Layered, relaxed","Eclectic, modern, layered",Mix of textures and patterns with a monochrome palette.
1,Eenk,Spring 2024,Androgynous,"White textured robe, White textured pants",White crossbody bag,"Oversized, Flowing","Minimalist, Monochrome",Elegant and structured with a focus on texture.
1,Eenk,Spring 2024,Feminine,"Striped oversized blazer, white shirt, black leather shorts","Black sunglasses, white crochet bag","Oversized, structured","Chic, modern, monochrome",Classic pinstripe pattern with a contemporary twist
1,EENK,Spring 2024,Feminine,"Black textured strapless top, Black wide-leg trousers",Black oversized clutch,"Oversized, Structured","Modern, Chic",Monochrome look with a focus on texture and volume.
1,EENK,Spring 2024,Feminine,"White lace blouse, Black satin skirt","Sunglasses, Black shoulder bag, White floral slides","Loose, Flowing","Chic, Modern, Elegant","Mix of textures with lace and satin, casual yet sophisticated."
1,Eenk,Spring 2024,Masculine,"Oversized black blazer, black shirt, silver metallic shorts","Black choker, black socks, black pointed shoes","Oversized, relaxed","Avant-garde, modern",Mix of textures and oversized proportions
1,Eenk,Spring 2024,Feminine,"Black oversized coat, Black wrap dress",Black belt,"Oversized, Layered","Minimalist, Modern","Features a sleek, monochromatic look with a focus on volume and structure."
1,Eenk,Spring 2024,Androgynous,"Black lace jacket, White lace shirt, Black leather skirt",Black leather bag,"Layered, Long","Edgy, Modern, Textured",Mix of lace and leather textures
1,Eenk,Spring 2024,Feminine,"Red striped shirt dress, White lace vest","White structured handbag, White mules","Layered, Relaxed","Eclectic, Layered, Feminine",Mix of patterns and textures with a vintage touch
1,Eenk,Spring 2024,Feminine,"Beige sleeveless tunic with stripes, Beige wide-leg pants","White pointed shoes, Beige sunglasses","Layered, Relaxed","Modern, Minimalist",Features a large tied waist detail
1,Eenk,Spring 2024,Masculine,"Striped beige jacket, Red striped shirt, Blue striped wide-leg pants",White pointed shoes,Oversized,"Eclectic, Striped, Layered","Mix of vertical stripes, relaxed fit"
1,Eenk,Spring 2024,Feminine,Brown patent leather coat,"Black crossbody bag, Black sunglasses, White boots","Long, Relaxed","Modern, Edgy",Sleek and glossy texture with a minimalist approach.
1,Eenk,Spring 2024,Masculine,"Satin brown shirt, Brown tailored shorts","Black sunglasses, Black leather clutch",Relaxed,"Minimalist, Modern",Sleek and polished look with monochromatic tones.
1,Eenk,Spring 2024,Feminine,Beige textured coat dress,"White sunglasses, Green handbag","Longline, Structured","Minimalist, Elegant",Features oversized lapels and a double-breasted design
1,Eenk,Spring 2024,Feminine,"Beige long coat, Cream suit, Wide-leg trousers",White pointed shoes,"Oversized, Tailored","Minimalist, Elegant",Neutral palette with structured tailoring
1,Eenk,Spring 2024,Feminine,"Beige cape, Beige button-up top, White lace-trimmed pants",White lace bag,"Relaxed, Flowing","Elegant, Minimalist",Neutral tones with lace details
1,EENK,Spring 2024,Feminine,"White lace-trimmed blazer, White lace-trimmed shirt, White lace shorts","Black sunglasses, White clutch","Oversized blazer, Short shorts","Minimalist, Elegant, Monochrome",Clean lines with lace detailing
1,Eenk,Spring 2024,Feminine,"Black leather blazer, White lace dress","Black sunglasses, Black leather bag","Layered, Long","Edgy, Elegant",Contrast of textures with leather and lace
1,EENK,Spring 2024,Feminine,"Cream double-breasted blazer, Cream wide-leg pants",Black oversized belt bag,"Structured, Flowing","Minimalist, Elegant",Monochromatic palette with contrasting accessory
1,Eenk,Spring 2024,Feminine,"White textured floral top, Black wide-leg pants","Black sunglasses, White pointed shoes","Oversized, Layered","Avant-garde, Textured","Intricate floral texture on top, contrasting with sleek pants."
1,Eenk,Spring 2024,Masculine,"Silver metallic jacket, Black textured shorts","Black socks, Black leather shoes","Boxy jacket, Loose shorts","Futuristic, Minimalist",Sleek and modern with a metallic finish
1,Eenk,Spring 2024,Feminine,"Black satin blazer with lace cuffs, White blouse, Black wide-leg trousers",Black belt,"Oversized, Structured","Minimalist, Elegant",Contrasting textures with lace detail
1,Eenk,Spring 2024,Feminine,"Black button-up shirt, Black flowing trousers, Black oversized blazer","White oversized tote, Black textured sandals","Oversized, Layered","Minimalist, Monochrome",Elegant and relaxed with a focus on layering.
1,EENK,Spring 2024,Feminine,"Black coat with lace collar, slit, structured fabric","Large black bag, white ankle boots","Oversized, cinched waist","Minimalist, modern, elegant",Contrasting lace detail adds a classic touch to a modern silhouette.
1,Eenk,Spring 2024,Masculine,"Striped blazer, Striped shorts, Mesh knit top","Black shoes, Black socks","Oversized, Relaxed","Contemporary, Layered",Monochrome stripes with a modern twist
1,Eenk,Spring 2024,Gender Neutral,"Striped blue and white shirt, navy wide-leg pants, ""blue and white lace-trimmed cape""",White pointed shoes,"Oversized, Layered","Eclectic, Modern, Elegant",The cape adds a dramatic flair to the classic striped shirt and wide-leg pants.
1,Eenk,Spring 2024,Masculine,"Navy oversized blazer, Light blue striped shirt, Navy wide-leg trousers",White pointed shoes,"Oversized, Relaxed","Minimalist, Contemporary",Layered shirting adds depth to classic tailoring.
1,Eenk,Spring 2024,Feminine,"Blue embroidered tunic, Silver metallic skirt","White sunglasses, White mules","Relaxed, Layered","Modern, Textured",Intricate embroidery with a futuristic metallic touch.
1,Eenk,Spring 2024,Feminine,"Blue oversized blazer, White striped wide-leg pants",Silver metallic waist bag,"Oversized, Relaxed","Modern, Chic","Sleek hair, Minimalist aesthetic"
1,Eenk,Spring 2024,Masculine,"Blue patterned shirt, Blue patterned shorts","Black oversized bag, White socks","Relaxed, Loose","Casual, Modern","Intricate pattern, Minimalist footwear"
1,Eenk,Spring 2024,Feminine,"Striped blue and white strapless dress, Peplum detail, Long striped coat",White pointed mules,"Flowy, Layered","Elegant, Modern, Patterned",Intricate patterns with a mix of stripes and florals
1,EENK,Spring 2024,Feminine,"Blue structured jacket, Blue button-up shirt, Blue wide-leg trousers","Black oversized bag, Black sunglasses, Black headpiece","Oversized, Layered","Modern, Minimalist",Monochromatic blue ensemble with sharp tailoring and oversized elements.
1,Eenk,Spring 2024,Masculine,"Satin trench coat, navy, textured collar","Large black shoulder bag, black shoes","Long, tailored","Elegant, modern",Minimalist design with luxurious fabric
1,Eenk,Spring 2024,Feminine,"Sheer black layered dress, black sheer pants",Black floral sandals,"Flowy, Layered","Minimalist, Elegant",Monochrome black ensemble with sheer textures
1,Eenk,Spring 2024,Feminine,"Black sleeveless gown, floral embellishment",White square-toed shoes,"Slim, floor-length","Minimalist, Elegant",Simple yet sophisticated design with a focus on clean lines.
1,Eenk,Spring 2024,Feminine,"Black textured short-sleeve top, Black textured long skirt","Black textured handbag, White boots","Relaxed, Flowing","Elegant, Minimalist",Subtle sparkle in fabric adds texture and interest.
1,EENK,Spring 2024,Feminine,"Black layered dress, Black wide-leg pants",White pointed shoes,"Oversized, Layered","Minimalist, Modern",Sleek and architectural design
1,Eenk,Spring 2024,Feminine,Black textured dress,"Black handbag, Black ankle boots",A-line,"Avant-garde, Textured, Cut-out",Innovative use of texture with cut-out details
1,Eenk,Spring 2024,Feminine,"Sheer white blouse, Layered white skirt",White textured sandals,"Flowy, Layered","Ethereal, Minimalist","Sheer fabric creates a delicate, airy look."
1,Eenk,Spring 2024,Feminine,"White, sheer, strapless gown with black lace trim",None,"Voluminous, flowing","Ethereal, elegant",Minimalist design with dramatic volume
1,Eenk,Spring 2024,Feminine,"White textured floral dress, Sheer white underlayer",White heeled mules,"A-line, Layered","Romantic, Textured, Elegant",Intricate floral texture with sheer elements
1,Eenk,Spring 2024,Feminine,"White oversized shirt, Black wide-leg trousers",Black and white belt,"Relaxed, Oversized","Minimalist, Modern",Clean lines with a monochrome palette
