Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Tibi,Fall 2024,Feminine,"Charcoal cropped jacket, matching vest, wide-leg trousers","Headband, ankle boots","Oversized, relaxed","Layered, contemporary",Monochrome look with sporty socks
2,Tibi,Fall 2024,Feminine,"Black sleeveless dress, sheer turtleneck underlay",Knee-high boots,"Straight, elongated","Minimalist, elegant",Deep V-neckline with sheer detailing
3,Tibi,Fall 2024,Feminine,"Plaid shirt, matching wide-leg trousers","Wide belt, knee-high boots","Boxy, structured","Classic, tailored",Monochrome plaid with modern belt accent
1,Tibi,Fall 2024,Feminine,"Gray long-sleeve top, gray wide-leg pants","Brown belt, black headband","Relaxed, draped","Minimalist, monochrome",Casual elegance with a focus on comfort
2,Tibi,Fall 2024,Feminine,"Cream oversized sweater, cream skirt","White headband, white tights","Oversized, layered","Cozy, neutral",Soft textures with a monochromatic palette
3,Tibi,Fall 2024,Feminine,"Black crop top, black wide-leg pants","Brown belt, black headband","Fitted top, relaxed pants","Edgy, modern",Contrast between fitted and loose elements
1,Tibi,Fall 2024,Masculine,"Dark gray overcoat, white polo shirt, blue jeans","Black belt, headband","Relaxed, oversized","Casual, chic","Cuffed jeans, classic layering"
2,Tibi,Fall 2024,Feminine,"Brown checkered shirt, black patent skirt","White belt, headband","Fitted, sleek","Modern, edgy","Contrasting textures, bold belt"
3,Tibi,Fall 2024,Feminine,"Black polo shirt, long black skirt","Headband, mismatched shoes","Loose, flowing","Minimalist, sporty","Puffed sleeves, athletic details"
1,Tibi,Spring 2017,Feminine,"White ribbed top, navy high-waisted skirt",None,"Fitted top, A-line skirt","Minimalist, nautical","Gold button details, clean lines"
2,Tibi,Spring 2017,Feminine,"White blouse, white high-waisted shorts",None,"Boxy top, tailored shorts","Monochrome, crisp","Wide sleeves, button detailing"
3,Tibi,Spring 2017,Feminine,"Navy cropped top, olive high-waisted trousers",Black belt,"Relaxed, wide-leg","Casual, utilitarian","Puffed sleeves, long belt strap"
1,Tibi,Spring 2017,Feminine,"Beige ruched sleeve top, navy shorts",None,"Structured, relaxed","Minimalist, chic","Neutral tones, casual elegance"
2,Tibi,Spring 2017,Feminine,"Olive blazer, black bandeau, olive wide-leg trousers",None,"Relaxed, tailored","Effortless, modern","Monochrome look, versatile"
3,Tibi,Spring 2017,Feminine,"Teal puff sleeve top, khaki shorts",White belt,"Casual, structured","Contemporary, fresh","Color contrast, playful proportions"
