Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Vivienne Westwood,Spring 2009,Feminine,Plaid sleeveless dress,Brown heels,"Asymmetrical, draped","Casual, elegant","Soft draping, plaid pattern"
2,Vivienne Westwood,Spring 2009,Feminine,Gray long-sleeve dress,"Gold statement earrings, metallic heels","Fitted, structured","Chic, sophisticated","Structured sleeves, minimalistic"
3,Vivienne Westwood,Spring 2009,Feminine,"Olive off-shoulder top, purple draped skirt","Black visor, gold hoop earrings, metallic heels, clutch","Layered, draped","Edgy, modern","Off-shoulder, layered draping"
1,Vivienne Westwood,Spring 2009,Feminine,Striped hooded jumpsuit,"Sunglasses, gold ankle strap heels","Relaxed, draped","Casual, chic",Hood adds a modern twist
2,Vivienne Westwood,Spring 2009,Feminine,Plaid dress,"Wide belt, strappy heels","Fitted, structured","Classic, elegant",Puffed sleeves add volume
3,Vivienne Westwood,Spring 2009,Feminine,"Red graphic t-shirt, striped shorts","Belt, gold heels","Casual, sporty","Playful, youthful",Graphic print adds interest
1,Vivienne Westwood,Spring 2009,Feminine,Striped off-shoulder dress,Orange and blue ankle boots,"Asymmetrical, fitted","Eclectic, avant-garde",Playful use of stripes and asymmetry
2,Vivienne Westwood,Spring 2009,Feminine,"White blouse, striped pants, hooded vest","Large hoop earrings, gold heels","Relaxed, layered","Bohemian, eclectic",Dramatic earrings and hood add flair
3,Vivienne Westwood,Spring 2009,Feminine,Pink draped dress,"Red clutch, gold strappy heels","Fitted, draped","Elegant, feminine",Soft draping with bold accessories
1,Vivienne Westwood,Fall 2008,Feminine,"Brown top, black shorts","Yellow gloves, sign","Fitted, bold","Provocative, statement",Political message on sign
2,Vivienne Westwood,Fall 2008,Feminine,"Patterned blouse, black coat, plaid skirt",Patterned headscarf,"Layered, eclectic","Bohemian, chic",Mix of patterns and textures
3,Vivienne Westwood,Fall 2008,Feminine,"Red coat, striped dress","Striped beanie, black handbag","Structured, layered","Retro, vibrant",Bold colors and stripes
1,Vivienne Westwood,Fall 2008,Feminine,"Blue striped sweater, white top, gray skirt","Red scarf, black shoulder bag, brown knee-high boots","Layered, relaxed","Eclectic, nautical","Mix of patterns, casual chic"
2,Vivienne Westwood,Fall 2008,Feminine,"Blue houndstooth jacket, black bodysuit","White sunglasses, black cap, black knee-high boots","Structured, bold","Punk, avant-garde","Strong shoulders, graphic print"
3,Vivienne Westwood,Fall 2008,Feminine,Green knit dress,"Blue floral headscarf, brown knee-high boots","Fitted, streamlined","Minimalist, retro","Simple silhouette, bold accessories"
1,Vivienne Westwood,Fall 2008,Feminine,"Black coat, graphic t-shirt, blue asymmetrical skirt","Brown gloves, badge","Layered, flowing","Punk, eclectic","Bold makeup, layered textures"
