Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Emilia Wickstead,Fall 2021,Feminine,"Dark cape, wide-leg pants",Black heels,"Draped, flowing","Elegant, minimalist",Monochrome look with dramatic cape
2,Emilia Wickstead,Fall 2021,Feminine,"Dark jumpsuit, matching scarf",Black heels,"Tailored, sleek","Sophisticated, modern",Structured silhouette with long sleeves
3,Emilia Wickstead,Fall 2021,Feminine,"Dark crop top, high-slit skirt","Red tote bag, black knee-high socks","Fitted, A-line","Chic, bold",Contrasting accessories with a sleek outfit
1,Emilia Wickstead,Fall 2021,Feminine,Off-the-shoulder black midi dress,Black pumps,"Fitted, elegant","Minimalist, classic","Off-the-shoulder neckline, sleek silhouette"
2,Emilia Wickstead,Fall 2021,Feminine,"Red crop top, red high-slit skirt",Gray pumps,"Modern, bold","Chic, contemporary","High slit, bold color"
3,Emilia Wickstead,Fall 2021,Feminine,"Plaid coat, plaid sleeveless top, plaid trousers","Black handbag, black pumps","Tailored, structured","Sophisticated, polished","Matching plaid set, tailored fit"
1,Emilia Wickstead,Fall 2021,Feminine,"Light blue jumpsuit, gray coat",Gray flats,"Tailored, fitted","Minimalist, elegant",Contrasting background enhances the pastel tone
2,Emilia Wickstead,Fall 2021,Feminine,Dark green coat dress,"Wide-brimmed hat, black tights","Structured, elongated","Sophisticated, classic",Dramatic hat adds a vintage flair
3,Emilia Wickstead,Fall 2021,Feminine,"Light blue cape, matching pants",Gray heels,"Flowing, layered","Modern, chic",Monochrome look with a bold silhouette
1,Emilia Wickstead,Fall 2021,Feminine,"Dark cape, wide-leg trousers",None,"Dramatic, flowing","Elegant, minimalist",Monochrome look with emphasis on cape
2,Emilia Wickstead,Fall 2021,Feminine,"Long-sleeve jumpsuit, draped fabric",None,"Tailored, elongated","Sophisticated, sleek",Focus on clean lines and structure
3,Emilia Wickstead,Fall 2021,Feminine,"Crop top, high-slit skirt",Red tote bag,"Fitted, A-line","Chic, modern","Contrast with red accessory, bold slit"
1,Emilia Wickstead,Fall 2021,Feminine,Off-the-shoulder black dress,Black pumps,"Fitted, elegant","Minimalist, classic","Off-the-shoulder neckline, sleek design"
2,Emilia Wickstead,Fall 2021,Feminine,"Red crop top, red skirt with slit",Gray pumps,"Tailored, modern","Bold, chic","High slit, structured collar"
3,Emilia Wickstead,Fall 2021,Feminine,"Plaid coat, plaid jumpsuit","Black bag, black pumps","Tailored, sophisticated","Classic, elegant","Matching plaid pattern, long coat"
1,Emilia Wickstead,Fall 2021,Feminine,"Light blue jumpsuit, gray coat",Gray flats,"Tailored, sleek","Minimalist, elegant",Contrasting background enhances the pastel color
2,Emilia Wickstead,Fall 2021,Feminine,Dark green coat dress,"Wide-brimmed hat, black tights","Structured, fitted","Sophisticated, classic",Dramatic hat adds a vintage touch
3,Emilia Wickstead,Fall 2021,Feminine,"Light blue cape, matching trousers",Gray heels,"Flowing, layered","Modern, chic",Monochrome look with a bold silhouette
