Website,Image URL,Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Androgynous,"Brown hooded cape, Brown wide-leg pants",None,Voluminous,"Minimalist, Monochrome","Clean lines, Oversized fit"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Camel hooded cape, Camel wide-leg pants",None,Voluminous,"Minimalist, Monochrome",Structured cape with oversized hood
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,Not specified,Adam Lippes,Fall 2024,Feminine,"Black asymmetrical coat, Black mini dress",Black tights,"Asymmetrical, Fitted","Minimalist, Elegant","Double-breasted detail, Textured fabric"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Black sleeveless dress, Striped shirt, Black tights",Black strappy heels,"Fitted, Layered","Chic, Modern",Classic black and white contrast with a structured silhouette
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Camel trench coat, Black fitted dress, Striped shirt",,Fitted,"Layered, Classic",Sophisticated layering with a structured silhouette
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,Not Provided,Adam Lippes,Fall 2024,Feminine,"Gray herringbone embellished blazer, Gray herringbone skirt",Black belt,Structured,"Elegant, Textured",Intricate embellishments on classic herringbone pattern
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Cream wool coat, White collar, Cream pants",None,Relaxed,"Minimalist, Elegant","Oversized collar, Soft texture"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Black tailored coat, Black wide-leg trousers",Silver rope necklace,"Longline, Oversized","Minimalist, Elegant",Sophisticated monochrome look
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,Not Provided,Adam Lippes,Fall 2024,Feminine,"Cream long-sleeve top, Cream wrap skirt",None visible,"Fitted, Draped","Minimalist, Elegant",Focus on texture and layering
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"White long-sleeve top, White fringed skirt","White strappy heels, Black socks","Fitted top, Flowing skirt","Minimalist, Elegant, Monochrome",Monochrome look with a focus on texture and movement
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Black blazer, Black button-up top, Black flared pants, Blue tied sweater","Beige clutch, Black Mary Jane flats","Relaxed, Layered","Chic, Modern, Layered",Blue sweater adds a pop of color
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,Unknown,Adam Lippes,Fall 2024,Gender Neutral,"Quilted puffer coat, Black bodysuit",Chunky boots,"Oversized, Layered","Futuristic, Avant-garde",Monochrome look with a focus on texture and structure
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Black long-sleeve gown, open back",Statement earrings,Flowing,"Elegant, Minimalist",Set in an urban environment
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Androgynous,"Navy oversized blazer, Navy trousers","Navy cap with chain, Silver chains, Black pendant","Oversized, Structured","Avant-garde, Military-inspired","Bold makeup, Strong shoulder emphasis"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"White embroidered blouse, Silver sequin skirt","Silver sequin clutch, Pearl necklace","Fitted, Elegant","Chic, Glamorous",Sophisticated evening look
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/adam-lippes,1,Adam Lippes,Fall 2024,Feminine,"Black sleeveless dress, Multicolored sheer blouse, Multicolored patterned leggings","Statement ear cuff, Statement ring",A-line,"Eclectic, Bold, Artistic",Vibrant patterns and bold colors
