Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,MSGM,Spring 2015,Feminine,White coat with black trim,Feathered sandals,"Straight, relaxed","Minimalist, modern","Contrasting trim, simple tie detail"
2,MSGM,Spring 2015,Feminine,Printed slip dress,"Feathered sandals, crossbody bag","A-line, loose","Playful, colorful","Abstract print, delicate straps"
3,MSGM,Spring 2015,Feminine,"White jacket, printed skirt","Feathered sandals, crossbody bag","Boxy, structured","Graphic, contemporary","Bird graphic, pocket details"
1,MSGM,Spring 2015,Feminine,Bird print coat dress,Feathered sandals,"Straight, boxy","Playful, graphic","Colorful bird print, minimal accessories"
2,MSGM,Spring 2015,Feminine,"Bird print crop top, black high-waisted trousers",Feathered sandals,"Relaxed, tailored","Chic, graphic",Contrast between playful top and structured pants
3,MSGM,Spring 2015,Feminine,Bird print one-shoulder dress,Feathered sandals,A-line,"Elegant, graphic","Asymmetrical neckline, vibrant print"
1,MSGM,Spring 2015,Feminine,"Navy halter top with bird print, matching skirt",Feathered sandals,A-line,"Playful, vibrant","Bird motifs, coordinated set"
2,MSGM,Spring 2015,Feminine,Black sheer dress with bird embroidery,Feathered sandals,A-line,"Ethereal, whimsical","Sheer fabric, colorful embroidery"
3,MSGM,Spring 2015,Feminine,Navy lace dress with bird embroidery,Feathered sandals,Straight,"Elegant, intricate","Lace texture, bird patterns"
1,MSGM,Spring 2014,Feminine,"Blue and yellow short-sleeve shirt, floral mini skirt",Snakeskin sandals,"Relaxed, playful","Tropical, vibrant","Bold floral patterns, bright colors"
2,MSGM,Spring 2014,Feminine,"White long-sleeve shirt, floral mini skirt",Snakeskin sandals,"Structured, tailored","Crisp, floral",Contrast of white with colorful florals
3,MSGM,Spring 2014,Feminine,Striped orange and blue dress with ruffled hem,Snakeskin sandals,"Loose, flared","Graphic, bold","Diagonal stripes, bright color blocking"
1,MSGM,Spring 2014,Masculine,"Floral print sweatshirt, white shirt, printed shorts",Black sandals,"Casual, relaxed","Bold, colorful, graphic",Mix of floral and geometric patterns
2,MSGM,Spring 2014,Feminine,"Printed sleeveless dress, white shirt",Tassel sandals,"Straight, layered","Eclectic, vibrant",Layered dress over shirt with mixed prints
3,MSGM,Spring 2014,Feminine,Long-sleeve printed dress,Tassel sandals,Fit and flare,"Playful, bright",Combination of stripes and floral prints
1,MSGM,Spring 2014,Feminine,"Patterned blazer, white shirt, patterned skirt",Tassel sandals,"Tailored, structured","Eclectic, vibrant","Mix of prints, bold colors"
2,MSGM,Spring 2014,Feminine,White dress,"Colorful earrings, embellished sandals","Loose, relaxed","Minimalist, chic","Bright accessories, simple silhouette"
3,MSGM,Spring 2014,Feminine,"Patterned crop top, patterned skirt",Tassel sandals,"Asymmetrical, flowy","Bohemian, artistic","Mix of prints, vibrant colors"
