Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ruffian,Fall 2011,Feminine,"Black patent cropped jacket, beige blouse, black high-waisted pants",Silver metallic heels,"Slim, tailored","Androgynous, chic","High contrast, tuxedo-inspired"
2,Ruffian,Fall 2011,Feminine,"White ruffled blouse, white vest, black trousers",Silver metallic heels,"Relaxed, tailored","Romantic, vintage","Textured fabrics, soft ruffles"
3,Ruffian,Fall 2011,Feminine,"Black tailcoat, white blouse, black patent skirt",Silver metallic heels,"Fitted, structured","Dramatic, elegant","High shine, tuxedo elements"
1,Ruffian,Fall 2011,Feminine,"Black blazer, white shirt, white skirt",Silver sandals,"Structured, layered","Chic, tailored",Strong shoulder emphasis
2,Ruffian,Fall 2011,Feminine,"White blouse, black patent vest, black pants","Silver sandals, lace choker","Slim, fitted","Edgy, Victorian-inspired",Contrast of textures with lace details
3,Ruffian,Fall 2011,Feminine,Black lace dress,"Silver chain necklace, silver sandals","Loose, flowing","Gothic, romantic","Lace detailing, voluminous sleeves"
1,Ruffian,Fall 2011,Feminine,"Black blouse with lace collar, black satin skirt",Silver high heels,"Fitted, structured","Elegant, classic",Contrasting lace details
2,Ruffian,Fall 2011,Feminine,"White blazer, lace skirt, satin blouse","Silver high heels, silver cuff","Tailored, layered","Chic, sophisticated",Monochrome layering with texture contrast
3,Ruffian,Fall 2011,Feminine,"Metallic blazer, black pants","Silver high heels, black bow tie","Slim, tailored","Glamorous, bold",Metallic sheen with sharp tailoring
1,Ruffian,Spring 2013,Feminine,"Navy blazer, light blue blouse with bow, printed skirt",Navy sneakers,"Tailored, layered","Preppy, casual",Mix of formal and casual elements
2,Ruffian,Spring 2013,Feminine,"Printed ruffled top, printed pants",Gold chain belt,"Fitted, ruffled","Romantic, vintage","Intricate print, ruffle details"
3,Ruffian,Spring 2013,Feminine,"Striped blazer, light blue tunic, printed leggings",Statement necklace,"Relaxed, layered","Bohemian, eclectic","Mix of prints, oversized top"
1,Ruffian,Spring 2013,Feminine,"Pink and white printed blouse, blue and white printed skirt",Pink sneakers,"Fitted, tailored","Playful, vintage-inspired","Mix of prints, casual footwear"
2,Ruffian,Spring 2013,Feminine,"Striped crop top, striped skirt with sash","Gold bracelet, pink sneakers","Fitted, midriff-baring","Youthful, sporty","Casual elegance, bright lipstick"
3,Ruffian,Spring 2013,Feminine,"Yellow printed jacket, yellow printed skirt, yellow crop top","Long necklace, white sneakers","Flowy, relaxed","Bright, cheerful","Monochromatic yellow, casual chic"
1,Ruffian,Spring 2013,Feminine,Yellow sleeveless dress,White sneakers,A-line,"Casual, sporty","Soft yellow tones, relaxed fit"
2,Ruffian,Spring 2013,Feminine,"Sheer yellow blouse, white overalls",White sneakers,"Loose, relaxed","Casual, layered","Sheer fabric, playful layering"
3,Ruffian,Spring 2013,Feminine,White short-sleeve dress,"Gold pendant necklace, white sneakers","Straight, relaxed","Minimalist, chic","Simple silhouette, statement necklace"
