Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Doo-Ri,Spring 2008,Feminine,Light gray sleeveless dress,White bracelet,"A-line, draped","Elegant, minimal","Soft pleating, neutral palette"
2,Doo-Ri,Spring 2008,Feminine,"Sheer top with gray bustier, gray wide-leg pants",Silver bangles,"Flowy, layered","Chic, modern","Sheer layering, relaxed fit"
3,Doo-Ri,Spring 2008,Feminine,Gray sleeveless dress with sheer neckline,,"Fitted bodice, draped skirt","Sophisticated, sleek","Sheer accents, gathered hem"
1,Doo-Ri,Spring 2008,Feminine,"Sheer crop top, high-waisted skirt",,"Fitted top, flared skirt","Minimalist, airy","Monochrome look, sheer fabric"
2,Doo-Ri,Spring 2008,Feminine,"Silk blouse, high-waisted skirt",Statement necklace,"Structured top, flared skirt","Elegant, sophisticated","Puffed sleeves, metallic accents"
3,Doo-Ri,Spring 2008,Feminine,"Loose blouse, satin skirt",,"Relaxed top, straight skirt","Casual, chic","Soft draping, contrasting textures"
1,Doo-Ri,Spring 2008,Feminine,"Sheer blouse, high-waisted trousers",Bracelet,"Flowy, high-waisted","Elegant, minimalist","Sheer fabric, neutral tones"
2,Doo-Ri,Spring 2008,Feminine,Halter dress with embellishment,,"Loose, draped","Chic, understated","Subtle embellishments, soft fabric"
3,Doo-Ri,Spring 2008,Feminine,"One-shoulder top, shorts",,"Relaxed, asymmetrical","Modern, casual","Asymmetrical neckline, light fabric"
1,Doo-Ri,Fall 2010,Feminine,"Navy blazer, navy trousers with draped detail",Black ankle boots,"Tailored, draped","Sophisticated, modern",Monochrome look with draped elements
2,Doo-Ri,Fall 2010,Feminine,Navy shirt dress with draped skirt,"Black belt, black tights, black ankle boots","Fitted, draped","Chic, elegant",Structured top with soft draping
3,Doo-Ri,Fall 2010,Feminine,"Black sleeveless top, navy fitted trousers","Black belt, black ankle boots","Slim, fitted","Minimalist, sleek",Monochrome ensemble with layered top
1,Doo-Ri,Fall 2010,Feminine,"Black draped top, black coat, black pants",Black ankle boots,"Slim, elongated","Monochrome, minimalist","Layered draping, sleek finish"
2,Doo-Ri,Fall 2010,Feminine,"Orange draped top, black pants",Black ankle boots,"Slim, relaxed","Bold, casual","Bright color contrast, casual draping"
3,Doo-Ri,Fall 2010,Feminine,"Orange embellished dress, black tights",Black ankle boots,"Fitted, draped","Elegant, evening","Embellished details, vibrant color"
1,Doo-Ri,Fall 2010,Feminine,"Red sleeveless blouse, red embellished skirt","Black tights, black platform shoes","Fitted, short","Bold, vibrant","Sequined details, monochrome red"
2,Doo-Ri,Fall 2010,Feminine,"Blue satin coat, black turtleneck","Black belt, black platform shoes","Structured, tailored","Elegant, sophisticated","Belted waist, rich blue hue"
3,Doo-Ri,Fall 2010,Feminine,Black and blue patterned dress,"Black belt, black platform shoes","Fitted, short","Graphic, modern","Geometric pattern, cinched waist"
