Website,Image URL,Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Feminine,"Red mini dress, Navy coat with red lining","Navy cap, Red heels","Structured, Layered","Bold, Elegant, Military-inspired",Contrasting colors with a striking silhouette
https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,https://assets.vogue.com/photos/63f8d1e0d1a0e7c5b7f5d7f8/master/pass/00001.jpg,1,Dundas,Fall 2023,Feminine,Navy wool cape with red collar,Navy cap,Oversized,"Military, Elegant",Bold color contrast with structured design
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Gender Neutral,"Navy double-breasted coat, Red top, Blue velvet pants",Navy cap,"Structured top, Flowing pants","Military, Elegant, Luxurious",Rich textures and bold colors
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,N/A,Dundas,Fall 2023,Feminine,"Blue patterned knit sweater, Blue knit briefs",Black visor cap,Fitted,"Bold, Edgy, Knitwear",Features a mix of traditional knit patterns with modern styling.
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,Not Specified,Dundas,Fall 2023,Feminine,"Navy double-breasted blazer, Navy wide-leg trousers, Sheer navy top","Navy cap, Gold bracelets","Structured, Tailored","Chic, Elegant, Military-inspired",Classic navy ensemble with a modern twist
https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,N/A,Dundas,Fall 2023,Feminine,"Navy suede crop top, Navy suede mini skirt","Black tights, Burgundy heels",Fitted,"Chic, Modern",Minimalist design with metallic accents
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Feminine,"Black fitted top, Navy wide-leg pants","Navy cap, Gold bracelets",Fitted top with wide-leg pants,"Chic, Nautical",Minimalist color palette with statement accessories
https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,https://assets.vogue.com/photos/63f8f0c9f1b1c2a8c9f8f0c9/master/pass/00001.jpg,1,Dundas,Fall 2023,Feminine,Blue patterned sheer dress,Burgundy knee-high boots,Flowy,"Bohemian, Elegant",Sheer fabric with intricate patterns
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,Unknown,Dundas,Fall 2023,Masculine,"Black glossy jacket, Black denim shirt, White wide-leg trousers",Black shoes,Relaxed,"Casual, Layered","Outdoor setting, Neutral tones"
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Feminine,"Gray pinstripe oversized blazer, Brown draped top, Gray pinstripe skirt",Black pointed heels,"Oversized, Structured","Power dressing, Modern, Chic",Pinstripe pattern adds a classic touch to the modern silhouette
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Feminine,"Metallic silver gown, sheer black overlay",None,Flowing,"Glamorous, Eveningwear",Dramatic lighting enhances the metallic sheen
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,1,Dundas,Fall 2023,Feminine,"Blue faux fur coat, Blue faux fur bodysuit",Statement earrings,"Oversized coat, Fitted bodysuit","Bold, Luxurious, Dramatic","Rich texture and color, High fashion statement"
Vogue,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/dundas,Unknown,Dundas,Fall 2023,Feminine,"Pink textured coat, Blue denim corset, White blouse, Black and white plaid trousers","Pink sunglasses, Black belt","Structured, Layered","Chic, Sophisticated",Mix of textures and patterns
