Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Mara Hoffman,Fall 2016,Feminine,White jumpsuit with tie neck,Black pointed shoes,"Flowy, elegant","Chic, sophisticated","Deep V-neck, long sleeves"
2,Mara Hoffman,Fall 2016,Feminine,Patterned maxi dress,Black shoes,"Relaxed, bohemian","Boho, eclectic","V-neck, intricate pattern"
3,Mara Hoffman,Fall 2016,Feminine,Embroidered bodice gown,None visible,"Flowy, romantic","Ethereal, elegant","Strapless, full skirt"
1,Mara Hoffman,Fall 2016,Feminine,Patterned strapless dress,,"Fitted, column","Bohemian, ethnic",Intricate geometric patterns
2,Mara Hoffman,Fall 2016,Feminine,"Black blazer, patterned strapless top, black wide-leg pants",,"Relaxed, tailored","Bohemian, chic",Contrasting textures with sleek black and patterned top
3,Mara Hoffman,Fall 2016,Feminine,"Patterned poncho, white turtleneck, white pants",Necklace,"Oversized, layered","Bohemian, ethnic","Bold geometric patterns, layered look"
1,Mara Hoffman,Fall 2016,Feminine,"Cream dress, patterned long coat","Layered necklaces, bracelet","A-line, layered","Bohemian, eclectic","Deep V-neck, textured fabric"
2,Mara Hoffman,Fall 2016,Feminine,Patterned maxi dress,,"Flowy, fitted waist","Bohemian, geometric","Bold print, long sleeves"
3,Mara Hoffman,Fall 2016,Feminine,"Patterned jumpsuit, white blouse",,"Wide-leg, tailored","Bohemian, retro","Contrasting patterns, structured blouse"
1,Mara Hoffman,Fall 2013,Feminine,"Printed bomber jacket, printed pants",Statement rings,"Relaxed, fitted","Vibrant, geometric","Bold colors, intricate patterns"
2,Mara Hoffman,Fall 2013,Feminine,"Printed flowing cape, black pants",None,"Flowy, layered","Bohemian, eclectic","Sheer fabric, layered look"
3,Mara Hoffman,Fall 2013,Feminine,Printed bodycon dress,None,Fitted,"Bold, graphic","Knee-high boots, strong prints"
1,Mara Hoffman,Fall 2013,Feminine,Pink printed maxi dress,Statement ring,"Column, fitted","Bohemian, vibrant",Bold geometric patterns
2,Mara Hoffman,Fall 2013,Feminine,"Black embellished jacket, printed top, printed pants",Hoop earrings,"Relaxed, tailored","Eclectic, colorful",Mix of prints and textures
3,Mara Hoffman,Fall 2013,Feminine,"Printed mini dress, patterned cape","Hoop earrings, brown boots","A-line, layered","Playful, cozy",Layered with a scarf-like cape
1,Mara Hoffman,Fall 2013,Feminine,"Beige cardigan with geometric patterns, black top, tan leather pants",Gold ring,"Relaxed, layered","Bohemian, tribal","Bold patterns, earthy tones"
2,Mara Hoffman,Fall 2013,Feminine,Long geometric print dress,Gold ring,"Fitted, flowing","Bohemian, eclectic","Vibrant colors, intricate patterns"
3,Mara Hoffman,Fall 2013,Feminine,"Black and white patterned coat, sheer black blouse, black pants",Silver rings,"Structured, layered","Chic, modern","Monochrome, texture contrast"
