Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chalayan,Fall 2012,Feminine,Red long-sleeve gown,Red shoes,"Fitted, floor-length","Elegant, minimalist","Bright color, simple design"
2,Chalayan,Fall 2012,Feminine,Red long-sleeve dress with textured panel,Red shoes,"Fitted, knee-length","Modern, sleek",Textured panel detail
3,Chalayan,Fall 2012,Feminine,"Red short-sleeve tunic, textured pants",Red shoes,"Straight, layered","Contemporary, layered","Color blocking, texture contrast"
1,Chalayan,Fall 2012,Feminine,"Red textured blazer, matching pants",,"Tailored, sleek","Bold, structured",Contrasting orange cuffs
2,Chalayan,Fall 2012,Feminine,"Orange and red coat, red pants",,"Streamlined, fitted","Vibrant, modern",Color-blocking with bold hues
3,Chalayan,Fall 2012,Feminine,"Orange and gray top, dark green pants",,"Layered, fitted","Colorful, contemporary",Short-sleeve over long-sleeve layering
1,Chalayan,Fall 2012,Feminine,"Charcoal coat with neon green cuffs, gray turtleneck, teal pants",Blue heels,"Oversized, straight","Modern, bold","Neon accents, minimalist design"
2,Chalayan,Fall 2012,Feminine,"Neon green and charcoal zip-up dress, gray turtleneck",Teal heels,"Fitted, straight","Contemporary, sleek","Color blocking, structured"
3,Chalayan,Fall 2012,Feminine,"Teal cropped jacket, teal layered dress, teal pants",Blue heels,"Layered, tailored","Chic, refined","Monochrome layering, clean lines"
1,Chalayan,Spring 2006,Feminine,"White blazer, white mini skirt, white top",Black open-toe heels,"Fitted, structured","Minimalist, elegant","Ruffled top detail, sleek tailoring"
2,Chalayan,Spring 2006,Feminine,White halter dress,Black open-toe heels,"Fitted, hourglass","Minimalist, chic","Deep V neckline, structured hips"
3,Chalayan,Spring 2006,Feminine,"White jacket, white mini skirt",Black open-toe heels,"Fitted, structured","Minimalist, sophisticated","Unique collar design, sleek lines"
1,Chalayan,Spring 2006,Feminine,White wrap dress,Black sandals,"A-line, structured","Minimalist, clean","Crisp fabric, asymmetrical hem"
2,Chalayan,Spring 2006,Feminine,"White jacket, white shorts",Black sandals,"Tailored, fitted","Minimalist, modern","Deep V-neck, structured shoulders"
3,Chalayan,Spring 2006,Feminine,"White blazer, white trousers",Black sandals,"Tailored, elongated","Minimalist, elegant","Deep V-neck, sleek lines"
1,Chalayan,Spring 2006,Feminine,"Black jacket, black pants",Black sandals,"Slim, tailored","Minimalist, monochrome","Simple elegance, dark palette"
2,Chalayan,Spring 2006,Feminine,"White shirt, white shorts",Black sandals,"Relaxed, airy","Crisp, clean","Light fabric, casual chic"
3,Chalayan,Spring 2006,Feminine,Black sleeveless dress,Black sandals,"Straight, loose","Effortless, sleek","Button details, versatile"
