Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Axel Arigato,Spring 2024,Gender Neutral,"Black leather blazer, White T-shirt, Black mini skirt",None,Structured,"Minimalist, Edgy","Belted waist, Contrasting stitching"
1,Axel Arigato,Spring 2024,Androgynous,"Beige trench coat, Black shirt, Black wide-leg pants",Black crossbody bag,"Oversized, Layered","Minimalist, Contemporary",Casual yet sophisticated with a focus on clean lines.
1,Axel Arigato,Spring 2024,Masculine,"Beige floral sweater, White t-shirt, Black cargo pants","Black cap, White sneakers","Relaxed, Oversized","Casual, Streetwear",Layered look with a focus on comfort and style.
1,Axel Arigato,Spring 2024,Masculine,"Black short-sleeve button-up shirt, Black trousers",White sneakers,Relaxed,"Casual, Minimalist",Simple and clean design with a focus on comfort.
1,Axel Arigato,Spring 2024,Feminine,"Black sleeveless top, Black wrap skirt","Black leather handbag, Straw tote, Chunky sandals","Fitted, Longline","Minimalist, Modern",Elegant use of black with contrasting textures
1,Axel Arigato,Spring 2024,Masculine,"Patchwork knit cardigan, white trousers",Beige textured handbag,"Relaxed, straight","Casual, contemporary","Neutral tones, textured knit"
1,Axel Arigato,Spring 2024,Feminine,"White ribbed tank top, Light blue denim jeans","Black leather shoulder bag, Gold earrings","Fitted top, Relaxed jeans","Casual, Minimalist",Simple and clean look with a focus on casual elegance.
1,Axel Arigato,Spring 2024,Masculine,"White t-shirt, Light blue denim jeans","White sneakers, Cream sweater draped over shoulders","Relaxed, Casual","Minimalist, Effortless",Casual and comfortable look with a focus on simplicity.
1,Axel Arigato,Spring 2024,Masculine,"Black satin bomber jacket, Black cargo pants",White sneakers,"Relaxed, Oversized","Casual, Streetwear",Utilitarian details with a sleek finish
1,Axel Arigato,Spring 2024,Feminine,"Beige suede belted jacket, White button-up shirt, Cream cargo pants","Woven handbag, Black and white sneakers","Relaxed, Layered","Casual, Contemporary, Utilitarian",Neutral tones with a mix of textures
1,Axel Arigato,Spring 2024,Feminine,"White wrap shirt, Cream maxi skirt",Black crocodile-texture clutch,Long and sleek,"Minimalist, Elegant",Crisp white and cream palette with a focus on clean lines
1,Axel Arigato,Spring 2024,Feminine,Black knit dress with open back,Black shoulder bag,Fitted,"Minimalist, Chic",Features a distinctive open back with tie detail
1,Axel Arigato,Spring 2024,Menswear,"White short-sleeve shirt, White shorts","Black cap, Beige sweater, White sneakers","Relaxed, Casual","Minimalist, Sporty","Sweater draped over shoulders, Neutral tones"
1,Axel Arigato,Spring 2024,Feminine,"Light blue denim jacket, Light blue denim skirt","Beige woven handbag, White sneakers",Straight,"Casual, Minimalist","Denim-on-denim, Relaxed fit"
1,Axel Arigato,Spring 2024,Menswear,"Denim shirt, light blue, printed; Denim shorts, light blue, printed","White sneakers, White socks","Relaxed, Casual","Casual, Streetwear",Coordinated denim set with subtle print
1,Axel Arigato,Spring 2024,Feminine,"Black embroidered cardigan, Black trousers","White clutch, Gold earrings","Relaxed, Oversized","Casual, Contemporary",Monogram details on cardigan
1,Axel Arigato,Spring 2024,Menswear,"Sleeveless knit top, beige cargo pants",White sneakers,"Relaxed, straight","Casual, modern, minimalist",Neutral tones with a focus on texture and functionality.
1,Axel Arigato,Spring 2024,Feminine,"Denim jacket, Denim cargo pants","Black shoulder bag, White sneakers","Relaxed, Straight","Casual, Streetwear",Monochrome denim look with utilitarian details
1,Axel Arigato,Spring 2024,Menswear,"Black and white varsity jacket, White t-shirt, Light blue denim shorts",None,Relaxed,"Casual, Sporty",Minimalist design with a youthful vibe
1,Axel Arigato,Spring 2024,Unisex,"Beige button-up shirt, Light blue denim jeans","Black mini handbag, White sneakers","Relaxed, Straight-leg","Casual, Minimalist",Clean lines and neutral tones
1,Axel Arigato,Spring 2024,Menswear,"White fuzzy sweater, Cream wide-leg pants",White slip-on shoes,"Relaxed, Oversized","Minimalist, Casual",Monochromatic look with soft textures
