Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Belstaff,Fall 2016,Feminine,"Black and red leather jacket, black quilted pants",,"Fitted, structured","Moto, edgy","Quilted texture, bold color blocking"
2,Belstaff,Fall 2016,Feminine,"Black leather jumpsuit, white turtleneck",White helmet with fur lining,"Tailored, sleek","Moto, utilitarian","Monochrome look, functional accessories"
3,Belstaff,Fall 2016,Feminine,"Black and red leather jacket, black pleated skirt",Black ankle boots,"Fitted, layered","Moto, modern","Sheer pleats, asymmetrical hemline"
1,Belstaff,Fall 2016,Feminine,"Black hooded jacket, red zip-up top, pleated skirt",Black gloves,"Layered, A-line","Sporty, utilitarian","Contrasting textures, outdoor-ready"
2,Belstaff,Fall 2016,Feminine,"Embroidered bomber jacket, white sweater, quilted pants","Helmet bag, ankle boots","Slim, fitted","Casual, edgy","Quilted details, sporty vibe"
3,Belstaff,Fall 2016,Feminine,"Black leather jacket, pleated skirt","Black gloves, ankle boots","Structured, asymmetrical","Chic, modern","Monochrome look, sleek leather"
1,Belstaff,Fall 2016,Feminine,"White sweater with black stripes, red leather pants",Black ankle boots,"Fitted, sporty","Casual, modern","Contrasting colors, quilted knee detail"
2,Belstaff,Fall 2016,Feminine,"Multicolored fur coat, black leather pants","Beige gloves, gray ankle boots","Layered, structured","Luxurious, bold","Patchwork fur, quilted leather"
3,Belstaff,Fall 2016,Feminine,"Textured knit sweater, black leather pants",None visible,"Relaxed, cozy","Casual, textured","Fringe details, layered knit"
1,Belstaff,Spring 2007,Feminine,"White sleeveless top with navy accents, navy pants",None,"Fitted, tailored","Modern, utilitarian","Belted waist, contrast paneling"
2,Belstaff,Spring 2007,Feminine,Beige sleeveless trench dress,Black ankle strap heels,"Asymmetrical, structured","Utility, chic","Belted, asymmetric hem"
3,Belstaff,Spring 2007,Feminine,Black leather halter dress,Black ankle strap heels,"Fitted, sleek","Edgy, sophisticated","Belt detail, pocket accents"
1,Belstaff,Spring 2007,Feminine,"Black sleeveless utility vest, sheer black dress",Black ankle boots,"Short, fitted","Edgy, utilitarian","Layered textures, military-inspired"
2,Belstaff,Spring 2007,Feminine,"Gray harness vest, white cut-out top, black shorts",Silver ankle boots,"Fitted, minimal","Futuristic, bold","Metallic accents, structured layers"
3,Belstaff,Spring 2007,Feminine,"Black asymmetrical top, black knee-length shorts","Black boots, large black handbag","Relaxed, asymmetrical","Casual, chic","Off-shoulder detail, oversized bag"
1,Belstaff,Spring 2007,Feminine,"Blue off-shoulder sweater, black knee-length shorts",Black studded handbag,"Relaxed, asymmetrical","Casual, chic","Bold color, off-shoulder design"
2,Belstaff,Spring 2007,Feminine,"Black off-shoulder crop top, black trousers",Sunglasses,"Fitted, sleek","Modern, edgy","Monochrome look, exposed midriff"
3,Belstaff,Spring 2007,Feminine,"Yellow off-shoulder sweater, yellow mini skirt",None,"Fitted, sporty","Vibrant, sporty","Bright color, coordinated set"
