Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Genny,Spring 2024,Feminine,"Silver satin bomber jacket, white maxi skirt",Long pendant necklace,"Flowy, relaxed","Elegant, modern","Shiny textures, minimalistic elegance"
2,Genny,Spring 2024,Feminine,"White blazer, silver metallic top, silver pants","Long pendant necklace, white quilted bag","Tailored, sleek","Chic, sophisticated","Metallic sheen, structured tailoring"
3,Genny,Spring 2024,Feminine,"White floral applique vest, white flowing pants",None,"Loose, ethereal","Romantic, airy","3D floral details, soft layers"
1,Genny,Spring 2024,Feminine,"White sheer blouse, white wide-leg trousers","White woven handbag, open-toe sandals","Flowy, relaxed","Elegant, minimalist","Sheer fabric, monochrome look"
2,Genny,Spring 2024,Feminine,"White sheer shirt dress, white bikini bottom",Silver strappy sandals,"Flowy, ethereal","Chic, beachwear","Sheer fabric, high slit"
3,Genny,Spring 2024,Feminine,White cut-out swimsuit,"Silver handbag, silver strappy heels, sunglasses","Fitted, sleek","Modern, bold","Cut-out details, metallic accessories"
1,Genny,Spring 2024,Feminine,Gold mesh dress with fringe hem,None visible,"Fitted, flowing","Glamorous, bold","Sheer fabric, cut-out details"
2,Genny,Spring 2024,Feminine,White draped mini dress,"Gold butterfly necklace, fringe bag","Loose, draped","Elegant, ethereal","Deep V-neck, butterfly accents"
3,Genny,Spring 2024,Feminine,White strapless gown with bow detail,Woven bag,"Flowing, relaxed","Chic, sophisticated","Sheer fabric, bow accent"
1,Genny,Spring 2024,Feminine,"White sheer blouse, white sheer pants","Gold floral necklace, woven bag","Flowy, relaxed","Ethereal, beachy","Layered sheer fabrics, metallic accents"
2,Genny,Spring 2024,Feminine,White sheer mini dress,Strappy sandals,"Voluminous, airy","Romantic, delicate","Billowy sleeves, sheer overlay"
3,Genny,Spring 2024,Feminine,White pleated gown,Gold floral necklace,"Draped, elegant","Grecian, sophisticated","Deep V-neck, flowing fabric"
1,Genny,Spring 2024,Feminine,"Metallic blazer, white shirt, metallic trousers",None,"Relaxed, flowing","Chic, elegant","Metallic sheen, open blazer"
2,Genny,Spring 2024,Feminine,"White textured strapless top, matching trousers",White handbag,"Fitted, structured","Modern, sophisticated","Textured fabric, monochrome look"
3,Genny,Spring 2024,Feminine,White gown with fringe details,Silver belt,"Flowing, ethereal","Glamorous, avant-garde","Fringe accents, metallic belt"
