Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Anteprima,Spring 2023,Feminine,"Black and white crop top, white wide-leg pants","Black and white fringe bag, large white earrings","Relaxed, flowing","Monochrome, chic",Contrast between structured top and flowing pants
2,Anteprima,Spring 2023,Feminine,"Black and white striped robe, black bodysuit",Black and white cap,"Dramatic, oversized","Graphic, bold",Striking use of stripes and geometric patterns
3,Anteprima,Spring 2023,Feminine,"Black and white sheer dress, black undergarments","Small black bag, large white earrings","Ethereal, sheer","Transparent, layered",Play of transparency with bold black outlines
1,Anteprima,Spring 2023,Feminine,"Black and white geometric knit dress, black bralette",Black fringe bag,"Loose, oversized","Graphic, bold","V-neckline, monochrome pattern"
2,Anteprima,Spring 2023,Feminine,"Black cropped jacket, black bralette, sheer black and white skirt",Patterned clutch,"Flowy, layered","Chic, modern","Sheer fabric, contrast piping"
3,Anteprima,Spring 2023,Feminine,"Black and yellow bralette, sheer yellow and black jacket, black skirt","Black and yellow cap, small black crossbody bag","Playful, sporty","Vibrant, sporty","Color blocking, sheer layering"
1,Anteprima,Spring 2023,Feminine,"Yellow, white, and black color-blocked sweater, white wide-leg pants","Small black crossbody bag, yellow and black cap","Relaxed, oversized","Casual, sporty","Bright color blocking, deep V-neck"
2,Anteprima,Spring 2023,Feminine,"Black sheer striped sweater, yellow pleated skirt","Yellow beaded mini bag, long drop earrings","Flowy, layered","Chic, modern","Sheer layering, bold accessories"
3,Anteprima,Spring 2023,Feminine,"Yellow and white striped sheer dress, yellow shorts","White clutch, large white earrings","Flowy, airy","Elegant, fresh","High slit, sheer stripes"
1,Anteprima,Spring 2023,Feminine,"Yellow and white halter top, sheer striped skirt","White fringe bag, large white earrings","Flowy, airy","Bright, summery","Playful use of stripes, vibrant color"
2,Anteprima,Spring 2023,Feminine,"Black double-breasted coat, black skirt with white zigzag pattern","Small silver bag, long white earrings","Structured, elegant","Monochrome, chic","Bold contrast, graphic pattern"
3,Anteprima,Spring 2023,Masculine,"White cropped jacket, white high-waisted trousers, yellow crop top","Silver fringe bag, long white earrings","Boxy, relaxed","Minimalist, modern",Crisp white with a pop of color
1,Anteprima,Spring 2023,Feminine,"Black and white patterned coat, white crop top, white skirt",Long earrings,A-line,"Graphic, modern","Bold patterns, monochrome"
2,Anteprima,Spring 2023,Feminine,"White cropped jacket, white top, white skirt",Long earrings,Flowy,"Minimalist, elegant",Contrasting black trim
3,Anteprima,Spring 2023,Feminine,"White oversized jacket, white crop top, white wide-leg pants",Silver fringe bag,Relaxed,"Chic, clean","Monochrome, metallic accent"
1,Anteprima,Spring 2023,Feminine,"Striped crop top, striped skirt, striped cardigan","Black and white hat, black and white heels","Fitted, playful","Graphic, monochrome","Bold stripes, coordinated set"
2,Anteprima,Spring 2023,Feminine,"Striped top, striped skirt","Red and black hat, red heels","Relaxed, bold","Graphic, vibrant","Red and white stripes, coordinated look"
3,Anteprima,Spring 2023,Feminine,"Red and white swimsuit, white coat",Red heels,"Flowy, sleek","Chic, modern","Color-blocking, swimwear-inspired"
1,Anteprima,Spring 2023,Feminine,"White crop top, black and white pleated skirt","Black choker, black handbag","Flowy, relaxed","Chic, modern","Contrasting colors, deep V-neck"
2,Anteprima,Spring 2023,Feminine,Black and gray V-neck dress,"Long earrings, small silver clutch","Flowy, elongated","Elegant, sophisticated","Monochrome palette, layered neckline"
3,Anteprima,Spring 2023,Feminine,"Black crop top with geometric patterns, sheer black pants with polka dots","Long earrings, black and white handbag","Loose, airy","Graphic, playful","Bold patterns, sheer layering"
1,Anteprima,Spring 2023,Feminine,"Black sheer polka dot top, white sheer skirt","White statement earrings, white platform sandals","Flowy, relaxed","Chic, modern","Playful polka dots, sheer layers"
2,Anteprima,Spring 2023,Feminine,"Black and white striped sheer jacket, black wide-leg pants","Black beaded handbag, black platform sandals","Structured, voluminous","Graphic, bold","High contrast stripes, statement sleeves"
3,Anteprima,Spring 2023,Feminine,"Black and white swimsuit, sheer black and white jacket","Black beaded clutch, white platform sandals","Sleek, fitted","Monochrome, elegant","Contrasting panels, sheer overlay"
1,Anteprima,Spring 2023,Feminine,"Striped oversized jacket, matching bodysuit","Striped tote bag, statement earrings","Oversized, relaxed","Graphic, bold",Monochrome stripes with teal accents
2,Anteprima,Spring 2023,Feminine,Color-blocked maxi dress,"Small black beaded bag, statement earrings","Flowy, loose","Elegant, modern",Sheer fabric with geometric color blocking
3,Anteprima,Spring 2023,Feminine,Striped sleeveless dress with high slit,None,"Fitted, A-line","Chic, contemporary",Vertical stripes with a high slit for movement
1,Anteprima,Spring 2023,Feminine,"Black and blue sleeveless dress, black sheer pants",Long earrings,"Flowy, layered","Modern, sleek",Color-blocking with sheer elements
2,Anteprima,Spring 2023,Feminine,"Blue and black crop top, black skirt with white piping","Black and white cap, blue sandals","A-line, cropped","Sporty, chic","Contrast piping, athletic influence"
3,Anteprima,Spring 2023,Feminine,Blue sleeveless gown with black accents,Long earrings,"Column, fitted","Elegant, minimal",Monochrome with subtle texture
1,Anteprima,Spring 2023,Feminine,"Blue cropped top, black sheer skirt","Blue cap, black mesh bag","Flowy, relaxed","Sporty, chic","Color-blocking with blue, sheer fabric"
2,Anteprima,Spring 2023,Feminine,Black sleeveless dress with white trim,Long black and white earrings,"Fitted, sleek","Minimalist, elegant","Graphic lines, monochrome palette"
3,Anteprima,Spring 2023,Feminine,"Black sheer top, red and black oversized cardigan, black pants",Red cap,"Oversized, layered","Bold, modern","Color contrast with red, relaxed fit"
1,Anteprima,Spring 2023,Feminine,Red and black color-blocked maxi dress,Long silver earrings,"Flowy, relaxed","Bold, graphic","Sheer fabric, striking color contrast"
