Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Roksanda,Spring 2012,Feminine,"Yellow satin dress, orange belt",,A-line,"Elegant, bold","Puffed sleeves, vibrant color"
2,Roksanda,Spring 2012,Feminine,"White top, yellow coat, gray wide-leg pants, orange belt",Blue knit hat,"Relaxed, layered","Casual, chic","Contrasting textures, playful layering"
3,Roksanda,Spring 2012,Feminine,"Yellow blouse, gray pencil skirt",,Fitted,"Sophisticated, modern","Bell sleeves, sleek lines"
1,Roksanda,Spring 2012,Feminine,"Turquoise top, mustard skirt","Yellow knit hat, blue belt","Voluminous, cinched waist","Colorful, eclectic",Bold color blocking
2,Roksanda,Spring 2012,Feminine,"Turquoise blouse, turquoise trousers",Black knit hat,"Loose, relaxed","Monochrome, casual","Soft draping, tonal look"
3,Roksanda,Spring 2012,Feminine,Mustard floral dress,,"A-line, structured","Playful, vibrant","Floral pattern, short hemline"
1,Roksanda,Spring 2012,Feminine,Blue and mustard color-blocked maxi dress,Mustard textured hat,"Flowy, relaxed","Color-blocking, bold","Contrasting colors, long sleeves"
2,Roksanda,Spring 2012,Feminine,Blue knee-length dress,"Mustard textured hat, mustard heels","Structured, fitted","Minimalist, chic","Cape-like sleeves, monochrome look"
3,Roksanda,Spring 2012,Feminine,Blue and lavender maxi dress,"White textured hat, white heels","Flowy, elegant","Soft, ethereal","Gradient color effect, sleeveless"
1,Roksanda,Fall 2009,Feminine,"Metallic structured top, purple satin pants",Leopard print shoes,"Structured, voluminous shoulders","Bold, eclectic",Textured top with a velvet belt
2,Roksanda,Fall 2009,Feminine,Purple satin dress with ruffled shoulders,Zebra print shoes,"Fitted, dramatic","Elegant, avant-garde",Exaggerated shoulder ruffles
3,Roksanda,Fall 2009,Feminine,Metallic one-shoulder dress,"Leopard print shoes, statement necklace","Draped, asymmetrical","Chic, modern",Textured fabric with a bold belt
1,Roksanda,Fall 2009,Feminine,"Purple structured top, black high-waisted pants",Gold cuff bracelet,"Dramatic, structured","Bold, avant-garde","Exaggerated shoulders, sleek pants"
2,Roksanda,Fall 2009,Feminine,Light blue structured dress,Gold pumps,"Fitted, sculptural","Elegant, futuristic","Sculpted shoulders, minimalistic design"
3,Roksanda,Fall 2009,Feminine,Metallic textured dress,Cut-out heels,"Voluminous, textured","Glamorous, edgy","Asymmetrical ruffles, shiny finish"
1,Roksanda,Fall 2009,Feminine,Black lace and metallic gown with yellow sash,Nude platform heels,"Flowing, asymmetrical","Elegant, dramatic","Lace detailing, metallic sheen"
2,Roksanda,Fall 2009,Feminine,"Light blue blazer, black lace top, metallic pants",Black strappy heels,"Structured, tailored","Chic, modern","Crocodile texture, strong shoulders"
3,Roksanda,Fall 2009,Feminine,Metallic draped dress with lace sleeves,Brown pumps,"Fitted, draped","Sophisticated, textured","Lace contrast, ruched detailing"
