Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Aquilano Rimondi,Spring 2011,Feminine,Floral print maxi dress,"Yellow belt, strappy sandals","Flowy, relaxed","Bohemian, vibrant","Bright floral pattern, cinched waist"
2,Aquilano Rimondi,Spring 2011,Feminine,"Floral print blazer, matching trousers",Strappy sandals,"Structured, tailored","Eclectic, bold","Mixed floral patterns, sharp tailoring"
3,Aquilano Rimondi,Spring 2011,Feminine,"Blue floral print blouse, matching skirt","Black belt, blue strappy sandals","Flowy, relaxed","Bohemian, fresh","Layered floral print, cohesive color palette"
1,Aquilano Rimondi,Spring 2011,Feminine,"Floral print sleeveless top, matching skirt",Yellow strappy heels,"A-line, fitted","Floral, vibrant","Bright colors, coordinated set"
2,Aquilano Rimondi,Spring 2011,Feminine,"Striped sequin top, floral print shorts",Yellow strappy heels,"Relaxed, casual","Playful, eclectic","Mix of patterns, bold stripes"
3,Aquilano Rimondi,Spring 2011,Feminine,One-shoulder floral print dress,Yellow strappy heels,"Fitted, asymmetric","Bold, artistic","Asymmetric design, colorful prints"
1,Aquilano Rimondi,Spring 2011,Feminine,"Patterned blouse with cut-out, high-waisted skirt",Yellow strappy heels,"Fitted, knee-length","Eclectic, bold prints","Mix of patterns, vibrant colors"
2,Aquilano Rimondi,Spring 2011,Feminine,"Striped top, patterned shorts",Blue strappy heels,"Casual, relaxed","Sporty, youthful","Bold stripes, playful mix"
3,Aquilano Rimondi,Spring 2011,Feminine,"Floral top, high-waisted skirt",Orange strappy heels,"Fitted, knee-length","Romantic, floral","Contrasting patterns, slit detail"
1,Aquilano Rimondi,Spring 2016,Feminine,"White high-collared blouse, textured mini skirt",White wrap sandals,"Structured, A-line","Minimalist, modern",Textured skirt adds dimension
2,Aquilano Rimondi,Spring 2016,Feminine,White short-sleeved shirt dress with sheer overlay,White strappy sandals,"Straight, relaxed","Minimalist, sheer",Sheer overlay adds a delicate touch
3,Aquilano Rimondi,Spring 2016,Feminine,"White short-sleeved blouse, scalloped mini skirt",White strappy sandals,"Structured, A-line","Minimalist, modern",Scalloped skirt creates visual interest
1,Aquilano.Rimondi,Spring 2016,Feminine,"White sheer dress, white slip",White ballet flats,"Straight, delicate","Ethereal, minimal","Sheer fabric, subtle shine"
2,Aquilano.Rimondi,Spring 2016,Feminine,"White blazer, sheer top, pleated skirt",White ballet flats,"Structured, flowing","Chic, modern","Layered textures, tailored blazer"
3,Aquilano.Rimondi,Spring 2016,Feminine,"White coat, sheer dress",White sandals,"A-line, elegant","Sophisticated, clean","Crisp tailoring, sheer layering"
1,Aquilano Rimondi,Spring 2016,Feminine,"Sheer white blouse, white pleated skirt",White ballet flats,A-line,"Ethereal, delicate","Sheer fabric, ruffle details"
2,Aquilano Rimondi,Spring 2016,Feminine,"Sheer white blazer, white pleated skirt",White strappy sandals,Structured,"Modern, minimalist","Sheer layering, tailored blazer"
3,Aquilano Rimondi,Spring 2016,Feminine,"Sheer floral blouse, white shorts","White crossbody bag, white ballet flats",Loose,"Romantic, airy","Floral appliqué, sheer texture"
