Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Cinq à Sept,Spring 2024,Feminine,"Tan trench coat with white floral embroidery, Lavender top",Silver strappy sandals,"Belted, Midi","Chic, Elegant, Floral",Outdoor setting with urban backdrop
1,Cinq à Sept,Spring 2024,Feminine,"White crop top with brown embroidery, White midi skirt with brown embroidery",White sandals,A-line,"Elegant, Embroidered, Chic",Outdoor setting with greenery
1,Cinq à Sept,Spring 2024,Feminine,"Beige floral cropped shirt, Beige floral bandeau, Beige floral midi skirt",White pointed shoes,"Relaxed, Flowing","Elegant, Casual, Floral",Soft floral pattern with coordinated separates
1,Cinq à Sept,Spring 2024,Feminine,"Plaid trench coat dress, pastel, ruffled",White strappy heels,"Belted, midi length","Chic, elegant, tailored","Outdoor setting, soft color palette"
1,Cinq à Sept,Spring 2024,Feminine,"White satin cropped jacket, White satin cargo pants",None visible,"Relaxed, Cropped","Chic, Modern, Minimalist",Elegant use of satin fabric with utilitarian details.
1,Cinq à Sept,Spring 2024,Feminine,"White off-shoulder dress, sheer texture",Black sandals,"A-line, voluminous sleeves","Romantic, ethereal","Outdoor setting, minimal accessories"
1,Cinq à Sept,Spring 2024,Feminine,"White sheer embroidered trench coat, White sheer dress",White strappy sandals,Flowy,"Elegant, Minimalist",Sheer fabric with delicate embroidery
1,Cinq à Sept,Spring 2024,Feminine,"White and blue floral print sleeveless dress, ruffled texture",Silver strappy sandals,"A-line, Midi","Romantic, Elegant, Light","Outdoor setting, soft color palette"
1,Cinq à Sept,Spring 2024,Feminine,White and blue printed dress,White heels,"Fitted, Mini","Chic, Elegant",Floral toile pattern
1,Cinq à Sept,Spring 2024,Feminine,"Cropped blue button-up shirt, Blue balloon skirt",Strappy sandals,Voluminous,"Chic, Contemporary",Monochromatic blue ensemble with a modern twist
1,Cinq à Sept,Spring 2024,Feminine,"Dark denim shirt dress, front slit, contrast stitching",Black pointed heels,"Fitted, Structured","Chic, Modern, Casual",Denim texture with a tailored fit
1,Cinq à Sept,Spring 2024,Feminine,"Floral ruched top, Dark denim wide-leg pants",Black sandals,"Fitted top, Wide-leg pants","Casual, Chic, Modern","Contrast stitching on pants, Sheer sleeves"
1,Cinq à Sept,Spring 2024,Feminine,"Denim halter dress, dark wash, fitted",Black strappy sandals,Fitted,"Chic, Minimalist",Scalloped hem detail
1,Cinq à Sept,Spring 2024,Feminine,"Black and white floral print crop top, Black and white floral print wide-leg pants",Black pointed shoes,Relaxed,"Floral, Chic, Modern",Coordinated set with bold print
1,Cinq à Sept,Spring 2024,Feminine,"Dark denim jacket with zipper and feather cuffs, Dark denim pencil skirt with slit",Silver strappy sandals,Fitted,"Chic, Modern, Denim",Contrasting stitching adds detail
1,Cinq à Sept,Spring 2024,Feminine,"White blouse, Navy pinstripe bustier, Navy pinstripe wide-leg pants",White shoes,Structured,"Chic, Modern, Tailored",Layered look with classic pinstripes
1,Cinq à Sept,Spring 2024,Feminine,Black ruched asymmetrical dress,White open-toe heels,"Fitted bodice, flared hem","Elegant, modern",Outdoor setting with greenery
1,Cinq à Sept,Spring 2024,Feminine,"Black lace crop top, Black gathered midi skirt",White pointed heels,"Relaxed, Flowy","Chic, Modern, Elegant",Features a textured lace top and a skirt with a D-ring detail
1,Cinq à Sept,Spring 2024,Feminine,"Sheer lavender blouse, Sheer lavender skirt",Silver strappy sandals,"Straight, Relaxed","Elegant, Sheer, Floral","Subtle floral embroidery, Monochromatic look"
1,Cinq à Sept,Spring 2024,Feminine,"Yellow cut-out blouse, Yellow cut-out midi skirt",White strappy heels,A-line,"Elegant, Fresh, Spring","Features intricate cut-out details and a bright, cheerful color."
1,Cinq à Sept,Spring 2024,Feminine,"Pink embroidered midi dress, satin texture",Strappy sandals,A-line,"Elegant, Romantic",Features delicate embroidery and a soft color palette.
1,Cinq à Sept,Spring 2024,Feminine,Pink knit dress with ruffles,Strappy sandals,Fitted,"Romantic, Feminine, Elegant",Soft color palette with textured details
1,Cinq à Sept,Spring 2024,Feminine,"Floral print halter dress, pastel colors, ruched texture",Strappy sandals,"Fitted, knee-length","Elegant, spring, garden",Outdoor setting with greenery
1,Cinq à Sept,Spring 2024,Feminine,"Floral print jacket, ruched top, floral print wide-leg pants",Belt,Relaxed,"Floral, Layered, Casual",Soft color palette with a mix of floral patterns
1,Cinq à Sept,Spring 2024,Feminine,"Light blue sequin tank top, Light blue sequin skirt",Beige strappy sandals,"Relaxed, A-line","Casual, Chic","Outdoor setting, minimal accessories"
1,Cinq à Sept,Spring 2024,Feminine,"Lime green sequin bandeau top, Lime green sequin high-slit skirt",Lime green strappy sandals,"Fitted, High-slit","Bold, Glamorous, Eveningwear","Bright color, Sequin texture"
1,Cinq à Sept,Spring 2024,Feminine,Yellow floral ruched dress,Yellow strappy sandals,Fitted with flared hem,"Vibrant, Elegant, Playful",Outdoor setting with greenery
1,Cinq à Sept,Spring 2024,Feminine,"Yellow and blue patterned top, Yellow and blue patterned pants",White sandals,"Relaxed, Flowing","Casual, Chic",Bright color palette with a playful pattern
1,Cinq à Sept,Spring 2024,Feminine,"Long-sleeve mini dress, yellow and blue floral print, sheer texture",Yellow lace-up sandals,"Fitted, ruched","Chic, modern, floral","Outdoor setting, vibrant colors"
1,Cinq à Sept,Spring 2024,Feminine,"Lime green one-shoulder gown, chiffon, with cut-out and floral details",Strappy sandals,"Flowy, Asymmetrical","Elegant, Romantic",Outdoor setting with greenery
1,Cinq à Sept,Spring 2024,Feminine,"White sleeveless mini dress, ruffled hem",Black pointed shoes,Slim,Chic,Minimalist design with playful ruffles.
1,Cinq à Sept,Spring 2024,Feminine,"Black strapless mini dress, ruffled detail",Black sandals,Fitted,Chic,"Elegant, modern"
1,Cinq à Sept,Spring 2024,Feminine,Pink ruched strapless dress with ruffle detail,Strappy sandals,"Fitted, Column","Elegant, Romantic",Features a keyhole cutout and front slit
1,Cinq à Sept,Spring 2024,Feminine,"Light blue satin gown, ruffled details, thigh-high slit",White strappy heels,"Fitted, Asymmetrical","Elegant, Romantic",Features a floral detail at the waist
