Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Tory Burch,Fall 2009,Feminine,"Printed dress, black fur vest","Gold cuff bracelet, patterned scarf","Straight, layered","Eclectic, bohemian","Mix of textures, bold print"
2,Tory Burch,Fall 2009,Feminine,"Patterned blouse, chunky knit cardigan, black pants","Gold bracelets, statement necklace, black clutch","Relaxed, layered","Casual, chic","Textured knit, layered look"
3,Tory Burch,Fall 2009,Feminine,"Metallic dress, black fur vest","Gold necklace, black clutch","Straight, layered","Elegant, luxe","Fur texture, metallic shine"
1,Tory Burch,Fall 2009,Feminine,"Black textured jacket, black top, black leggings","Large black clutch, gold necklace","Slim, fitted","Chic, edgy",Monochrome look with statement textures
2,Tory Burch,Fall 2009,Feminine,"Gray coat, black fur top, black leather pants","Black handbag, black cuff bracelet","Structured, layered","Sophisticated, modern",Mix of textures with a focus on outerwear
3,Tory Burch,Fall 2009,Feminine,"White blouse, white fur vest, gray pants","Chunky necklace, black belt","Relaxed, casual","Bohemian, eclectic",Neutral tones with statement jewelry
1,Tory Burch,Fall 2009,Feminine,"Black leather jacket, black skirt, black tights",Belt,A-line,"Chic, sophisticated",Ruffled detailing on jacket
2,Tory Burch,Fall 2009,Feminine,"Gold metallic dress, white fur vest, white tights","Clutch, belt",Straight,"Glamorous, vintage-inspired",Textured metallic fabric
3,Tory Burch,Fall 2009,Feminine,"White textured cape, white dress, white tights",Necklace,Straight,"Elegant, monochrome",Textured cape adds volume
1,Tory Burch,Spring 2009,Feminine,Patterned dress,"Black hat, brown belt, black clutch, bracelet",A-line,"Chic, casual","Animal print, coordinated accessories"
2,Tory Burch,Spring 2009,Feminine,"White blouse, black cardigan, black pants","Brown hat, brooch",Tailored,"Sophisticated, classic","Bow tie detail, pinstripe pants"
3,Tory Burch,Spring 2009,Feminine,Orange dress,"Yellow handbag, brown belt, bracelet",Fit and flare,"Vibrant, bold","Bright colors, structured handbag"
