Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Maryam Nassir Zadeh,Spring 2024,Feminine,"Sheer white dress, brown cardigan",Patterned tote bag,"Fitted, sheer","Layered, casual","Mix of textures, see-through elements"
2,Maryam Nassir Zadeh,Spring 2024,Feminine,"White tank top, beige mini skirt, black sweater draped",Two-tone ballet flats,"Slim, casual","Minimalist, youthful","Layered tops, contrasting footwear"
3,Maryam Nassir Zadeh,Spring 2024,Feminine,"Ribbed button-up top, white mini skirt",Geometric cut-out bag,"Fitted, playful","Textured, modern","Unique bag design, soft color palette"
1,Maryam Nassir Zadeh,Spring 2024,Masculine,"Gold floral jacket, navy trousers",Black sandals,"Relaxed, straight","Casual, chic","Floral pattern, minimal accessories"
2,Maryam Nassir Zadeh,Spring 2024,Masculine,"Layered tank tops, navy trousers",,"Slim, fitted","Layered, textured","Subtle texture, casual layering"
3,Maryam Nassir Zadeh,Spring 2024,Feminine,"Brown hoodie, blue bandeau, brown shorts","Mesh bag, yellow flats","Casual, sporty","Athleisure, relaxed","Layered shorts, casual elegance"
1,Maryam Nassir Zadeh,Spring 2024,Feminine,"Brown jacket, blue bandeau top, brown shorts",,"Casual, relaxed","Sporty, minimal",Layered shorts with ruffle detail
2,Maryam Nassir Zadeh,Spring 2024,Feminine,"Multicolored top, white maxi skirt with black sash",Mesh bag,"Flowy, asymmetrical","Bohemian, eclectic","High slit skirt, colorful top"
3,Maryam Nassir Zadeh,Spring 2024,Masculine,"Gray blazer, blue shirt, light blue pants",,"Oversized, relaxed","Casual, modern",Layered look with contrasting textures
1,Maryam Nassir Zadeh,Spring 2021,Feminine,"Black sleeveless top, beige mini skirt",Red pendant necklace,"Slim, fitted","Casual, chic","Outdoor setting, minimal accessories"
2,Maryam Nassir Zadeh,Spring 2021,Masculine,"White shirt, black leather jacket, blue jeans",Silver necklace,"Relaxed, casual","Effortless, cool",Classic denim and leather combination
3,Maryam Nassir Zadeh,Spring 2021,Feminine,"White shell top, beige wide-leg trousers",Shell belt,"Loose, relaxed","Eclectic, artistic","Unique shell details, neutral tones"
1,Maryam Nassir Zadeh,Spring 2021,Feminine,"Black sleeveless top, black trousers","Black belt, blue ring","Relaxed, tailored","Minimalist, chic","Monochrome look, casual elegance"
2,Maryam Nassir Zadeh,Spring 2021,Masculine,"Striped open shirt, black trousers","Necklace, black loafers, white socks","Relaxed, casual","Effortless, laid-back","Unbuttoned shirt, casual lounging"
3,Maryam Nassir Zadeh,Spring 2021,Feminine,"White lace-up back top, white skirt","Green ring, lace stockings, clear sandals","Fitted, feminine","Delicate, romantic","Lace details, soft textures"
1,Maryam Nassir Zadeh,Spring 2021,Feminine,"Orange cropped tie-top, white crochet pants","Patterned handbag, red belt","Fitted, relaxed","Bohemian, summery","Light crochet fabric, vibrant colors"
2,Maryam Nassir Zadeh,Spring 2021,Feminine,"Yellow lace camisole, striped ruffle skirt",Bracelet,"Fitted top, flared skirt","Eclectic, playful","Ruffle details, contrasting textures"
3,Maryam Nassir Zadeh,Spring 2021,Masculine,"Striped shirt, yellow t-shirt, light trousers","Necklace, woven belt","Relaxed, loose","Casual, laid-back","Layered neutrals, soft tailoring"
1,Maryam Nassir Zadeh,Fall 2016,Feminine,"Metallic blazer, pleated skirt, turtleneck",Suede heels,A-line,"Elegant, classic","Shimmering texture, neutral palette"
2,Maryam Nassir Zadeh,Fall 2016,Feminine,"Metallic gold dress, gray cardigan",White lace-up boots,Fitted,"Edgy, modern","Contrasting textures, bold metallic"
3,Maryam Nassir Zadeh,Fall 2016,Feminine,"Textured coat, matching pants, turtleneck",White lace-up boots,Straight,"Cozy, chic","Monochrome look, textured fabric"
1,Maryam Nassir Zadeh,Fall 2016,Feminine,"Beige jumpsuit, white top",Beige loafers,"Relaxed, casual","Minimalist, comfortable","Drawstring waist, neutral tones"
2,Maryam Nassir Zadeh,Fall 2016,Feminine,"Beige top with ruffled collar, beige pants",Brown ankle boots,"Structured, elegant","Chic, modern","Dramatic collar, tonal outfit"
3,Maryam Nassir Zadeh,Fall 2016,Feminine,"Gold ribbed cardigan, black shirt",None,"Fitted, sleek","Sophisticated, textured","Button details, layered look"
1,Maryam Nassir Zadeh,Fall 2016,Feminine,"Black leather trench coat, beige pants",Black lace-up boots,"A-line, tailored","Chic, modern","Glossy finish, classic trench style"
2,Maryam Nassir Zadeh,Fall 2016,Feminine,Gold satin dress,Two-tone heels,"Midi, fitted","Elegant, sophisticated","Shimmering fabric, vintage-inspired"
3,Maryam Nassir Zadeh,Fall 2016,Feminine,"Beige sweater, light blue jeans",Yellow heeled boots,"Relaxed, casual","Casual, everyday","Contrasting denim patches, laid-back vibe"
