Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Elie Saab,Fall 2010,Feminine,Black lace dress,Black ankle-strap heels,"Fitted, knee-length","Elegant, textured","Short sleeves, ruched detailing"
2,Elie Saab,Fall 2010,Feminine,Black lace dress,"Black clutch, black ankle-strap heels","Fitted, knee-length","Sophisticated, textured","Three-quarter sleeves, subtle pattern"
3,Elie Saab,Fall 2010,Feminine,"Black lace jacket, black lace dress","Black clutch, black ankle-strap heels","Fitted, layered","Chic, structured","Sheer lace top, tailored jacket"
1,Elie Saab,Fall 2010,Feminine,Black textured V-neck dress,Black strappy heels,"Fitted, knee-length","Elegant, classic","Deep V-neckline, textured fabric"
2,Elie Saab,Fall 2010,Feminine,Black cap-sleeve dress,Black ankle boots,"Fitted, knee-length","Sophisticated, sleek","Geometric seam details, cap sleeves"
3,Elie Saab,Fall 2010,Feminine,Black cap-sleeve dress,"Black handbag, black heels","Fitted, knee-length","Chic, refined","Subtle shimmer, structured handbag"
1,Elie Saab,Fall 2010,Feminine,Black gown with metallic accents,"Black gloves, chain clutch","Fitted, mermaid","Elegant, sophisticated","Deep V-neckline, structured lines"
2,Elie Saab,Fall 2010,Feminine,Black sleeveless dress with cutouts,None visible,"Fitted, knee-length","Chic, modern","Geometric cutout details, sleek design"
3,Elie Saab,Fall 2010,Feminine,Black one-shoulder dress with slit,"Clutch, ankle boots","Asymmetrical, fitted","Bold, contemporary","High slit, draped fabric"
1,Elie Saab,Fall 2016,Feminine,"Polka dot dress, leather jacket","Belt, scarf","Flowy, structured","Edgy, chic","Embroidered jacket, high slit"
2,Elie Saab,Fall 2016,Feminine,Floral lace dress,"Scarf, belt",A-line,"Romantic, bohemian",Red and blue floral embroidery
3,Elie Saab,Fall 2016,Feminine,Black lace dress,"Belt, scarf, bracelets","Fitted, layered","Gothic, elegant","Lace detailing, layered textures"
1,Elie Saab,Fall 2016,Feminine,"Black lace gown with red and blue floral embroidery, black vest","Studded choker, fringe bag, earrings","Flowy, fitted bodice","Romantic, bohemian","Deep V-neck, intricate embroidery"
2,Elie Saab,Fall 2016,Feminine,"Blue lace dress, embroidered jacket","Rings, lace-up heels","A-line, layered","Delicate, intricate","Mix of textures, floral embroidery"
3,Elie Saab,Fall 2016,Feminine,"Embroidered jacket, sheer blouse, black trousers","Studded choker, tassel bag, platform shoes","Tailored, structured","Edgy, modern","Bold colors, mix of sheer and solid fabrics"
1,Elie Saab,Fall 2016,Feminine,"Red and blue tie-dye maxi dress, black leather jacket","Black choker, black belt, bracelets","Flowy, layered","Edgy, bohemian","Fringe details, lace inserts"
2,Elie Saab,Fall 2016,Feminine,Black lace mini dress,"Wide-brim hat, statement necklace, black belt","A-line, fitted","Boho-chic, romantic","Intricate lace, thigh-high boots"
3,Elie Saab,Fall 2016,Feminine,"Black lace top, long embroidered coat, black pants","Tassel bag, black belt","Tailored, elongated","Gothic, elegant","Vibrant purple boots, floral embroidery"
