Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rosetta Getty,Fall 2022,Feminine,"Cream shearling coat, cable knit sweater, white pants",,"Oversized, relaxed","Cozy, monochrome","Textured layers, neutral palette"
2,Rosetta Getty,Fall 2022,Feminine,"Cable knit cardigan, lace-trimmed satin skirt",,"Fitted, elegant","Classic, feminine","Gold button details, subtle lace contrast"
3,Rosetta Getty,Fall 2022,Feminine,Lace-trimmed satin slip dress,Gold hoop earrings,"Flowy, delicate","Romantic, ethereal","Intricate lace details, soft draping"
1,Rosetta Getty,Fall 2022,Feminine,"Silk pajama-style top, silk pajama-style pants",Gold hoop earrings,"Relaxed, flowing","Loungewear, elegant","Subtle pattern, contrast piping"
2,Rosetta Getty,Fall 2022,Feminine,"Patterned long-sleeve top, black maxi skirt","Gold hoop earrings, printed gloves, tag accessory","Slim, elongated","Layered, contemporary","Mixed textures, muted colors"
3,Rosetta Getty,Fall 2022,Feminine,Patterned long-sleeve dress,Tag accessory,"Fitted, streamlined","Bohemian, artistic","Patchwork pattern, high neck"
1,Rosetta Getty,Fall 2022,Feminine,"Pinstripe double-breasted blazer, pinstripe wide-leg trousers",,"Tailored, wide-leg","Chic, professional",Classic pinstripe pattern
2,Rosetta Getty,Fall 2022,Feminine,"Plaid coat, checkered sweater, pinstripe trousers",White collared shirt,"Layered, relaxed","Eclectic, sophisticated",Mix of patterns
3,Rosetta Getty,Fall 2022,Feminine,Floral strap dress,"Sheer black gloves, gold earrings","Fitted, elegant","Romantic, evening","Dark floral pattern, sheer gloves"
1,Rosetta Getty,Spring 2021,Feminine,"White checked blazer, white checked wide-leg pants, white bralette",White woven sandals,"Relaxed, oversized","Casual, chic",Monochrome check pattern
2,Rosetta Getty,Spring 2021,Feminine,"Black leather blazer, black leather shorts, black vest",Black woven sandals,"Tailored, structured","Edgy, modern",All-leather ensemble
3,Rosetta Getty,Spring 2021,Feminine,"Black vest, white shirt, black wide-leg pants",Black woven sandals,"Relaxed, oversized","Minimalist, classic",Monochrome layering
1,Rosetta Getty,Spring 2021,Feminine,"Striped short-sleeve top, striped maxi skirt",White textured sandals,"Flowy, relaxed","Casual, airy","Light blue stripes, soft fabric"
2,Rosetta Getty,Spring 2021,Feminine,"Beige hooded top, beige wide-leg pants",Black woven sandals,"Comfortable, loose","Loungewear, cozy","Hooded design, knit texture"
3,Rosetta Getty,Spring 2021,Feminine,"White sleeveless dress, black split-hem pants",Black woven sandals,"Layered, structured","Minimalist, modern","High contrast, clean lines"
1,Rosetta Getty,Spring 2021,Feminine,"Color-blocked dress, white wide-leg pants","Straw hat, net bag with lemons, black woven sandals","Relaxed, straight","Casual, minimalist","Neutral tones, summer vibe"
2,Rosetta Getty,Spring 2021,Feminine,"White sleeveless vest, wide-leg trousers",White woven sandals,"Tailored, wide-leg","Chic, modern","Monochrome, structured"
3,Rosetta Getty,Spring 2021,Feminine,"Navy oversized top, striped midi skirt",White woven sandals,"Loose, layered","Elegant, relaxed","Contrasting textures, flowy"
