Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Cynthia Steffe,Spring 2012,Feminine,"Beige and black cropped jacket, black dress with striped panels",Black sunglasses,"Fitted, structured","Modern, chic",Contrast between jacket and dress
2,Cynthia Steffe,Spring 2012,Feminine,Black dress with striped panels,Black sunglasses,"A-line, fitted","Minimalist, sleek",Geometric pattern on dress
3,Cynthia Steffe,Spring 2012,Feminine,"Striped bolero, black top, brown pleated shorts",Black sunglasses,"Relaxed, casual","Eclectic, bohemian",Colorful beaded details
1,Cynthia Steffe,Spring 2012,Feminine,Black velvet dress with embellished straps,"Gold cuff, embellished necklace",A-line,"Chic, elegant",Embellished neckline adds a statement
2,Cynthia Steffe,Spring 2012,Feminine,"Red top with cut-out sleeves, black skirt",Colorful beaded bracelets,Fitted,"Bold, modern",Cut-out sleeves create visual interest
3,Cynthia Steffe,Spring 2012,Feminine,Black fitted dress,"Sunglasses, black sandals",Sheath,"Sophisticated, sleek",Minimalist design with subtle embellishments
1,Cynthia Steffe,Spring 2012,Feminine,Black sleeveless dress,"Gold cuff bracelet, beige and black sandals",A-line,"Chic, elegant",Classic little black dress with minimal accessories
2,Cynthia Steffe,Spring 2012,Feminine,Black bandage dress,Beige strappy sandals,Bodycon,"Modern, sleek",Criss-cross neckline adds interest to the body-hugging silhouette
3,Cynthia Steffe,Spring 2012,Feminine,Black patterned dress with leather trim,"Black sunglasses, beige and black sandals",A-line,"Trendy, sophisticated",Leather trim adds an edge to the classic silhouette
1,Cynthia Steffe,Spring 2010,Feminine,"Floral coat, gray top, floral shorts",Gray lace-up shoes,"Relaxed, layered","Floral, casual",Light pastel colors
2,Cynthia Steffe,Spring 2010,Feminine,Lavender ruffled dress,Gray lace-up shoes,"A-line, flowy","Romantic, playful",Multiple ruffle layers
3,Cynthia Steffe,Spring 2010,Feminine,"Floral blouse, floral pants",Gray lace-up shoes,"Slim, fitted","Coordinated, floral",Matching top and bottom
1,Cynthia Steffe,Spring 2010,Feminine,Aqua strapless ruffled dress,Purple belt,"A-line, flowy","Playful, youthful","Soft ruffles, pastel color"
2,Cynthia Steffe,Spring 2010,Feminine,"Floral print dress, purple cropped jacket",None,"Layered, fitted","Casual, fresh","Mix of textures, vibrant jacket"
3,Cynthia Steffe,Spring 2010,Feminine,"Blue ruffled top, mint green skirt",None,"Relaxed, casual","Effortless, chic","Contrasting colors, casual styling"
1,Cynthia Steffe,Spring 2010,Feminine,Floral maxi dress,None,"Flowy, relaxed","Romantic, bohemian","Ruffled details, pastel colors"
2,Cynthia Steffe,Spring 2010,Feminine,Mint green romper,Floral headband,"Playful, youthful","Casual, fresh","Deep V-neck, bow detail"
3,Cynthia Steffe,Spring 2010,Feminine,"Silver one-shoulder top, ruffled mini skirt",None,"Asymmetrical, layered","Chic, modern","Metallic sheen, off-shoulder style"
