Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sharon Wauchob,Spring 2022,Feminine,"Sheer pink blouse, sheer pink wide-leg pants",,"Flowy, relaxed","Ethereal, sheer","Monochrome pink, lightweight fabric"
2,Sharon Wauchob,Spring 2022,Feminine,"Black tailored blazer, white draped skirt",Gold ring,"Structured, draped","Chic, modern",Contrast of structured blazer and soft skirt
3,Sharon Wauchob,Spring 2022,Feminine,White feather-trimmed slip dress,Gold ring,"Straight, shift","Elegant, minimal",Feather detailing adds texture
1,Sharon Wauchob,Spring 2022,Feminine,"Black feathered strapless dress, sheer black pants",,"Flowy, layered","Elegant, textured","Feather detailing, sheer layering"
2,Sharon Wauchob,Spring 2022,Feminine,"Black tailored blazer, black flared pants",,"Tailored, structured","Chic, modern",Subtle embellishments on pants
3,Sharon Wauchob,Spring 2022,Feminine,Blue draped dress,,"Loose, draped","Bold, minimalist","Vibrant color, open back"
1,Sharon Wauchob,Spring 2022,Feminine,"Black knit tank top, white embellished skirt",,"Straight, relaxed","Minimalist, elegant","Textured knit, embellished hem"
2,Sharon Wauchob,Spring 2022,Feminine,Black feathered dress,Statement earrings,"Straight, fitted","Glamorous, bold","Feather detailing, sequin embellishments"
3,Sharon Wauchob,Spring 2022,Feminine,"Red feathered top, red sheer pants",,"Flowy, relaxed","Vibrant, chic","Feather texture, monochrome red"
1,Sharon Wauchob,Fall 2012,Feminine,"White sleeveless dress, sheer overlay",Black ankle boots,"Flowy, layered","Ethereal, delicate","Sheer fabric, asymmetrical layers"
2,Sharon Wauchob,Fall 2012,Feminine,"Beige blouse, pleated skirt",Black ankle boots,"Structured, flowing","Elegant, sophisticated","Pleated details, monochrome look"
3,Sharon Wauchob,Fall 2012,Feminine,"Beige dress, sleeveless coat","Black ankle boots, fur stole","Layered, voluminous","Chic, luxurious","Fur accent, layered textures"
1,Sharon Wauchob,Fall 2012,Feminine,"White coat, fur detail, beige skirt",Black ankle boots,"Straight, structured","Elegant, minimalist",Fur accent adds texture
2,Sharon Wauchob,Fall 2012,Feminine,Sheer sleeveless dress,Black ankle boots,"Flowy, A-line","Delicate, ethereal",Sheer fabric with soft movement
3,Sharon Wauchob,Fall 2012,Feminine,"Light coat, sheer dress",Black ankle boots,"Layered, straight","Sophisticated, layered",Subtle layering with sheer elements
1,Sharon Wauchob,Fall 2012,Feminine,"Sleeveless top, knee-length skirt",Ankle boots,"Straight, fitted","Minimalist, elegant","Subtle sheen, neutral tones"
2,Sharon Wauchob,Fall 2012,Feminine,Sleeveless pleated dress,Ankle boots,"Flowy, relaxed","Textured, ethereal","Sheer fabric, layered texture"
3,Sharon Wauchob,Fall 2012,Feminine,Sleeveless dress with sheer overlay,Ankle strap heels,"A-line, layered","Sheer, delicate","Metallic accents, layered transparency"
1,Sharon Wauchob,Fall 2011,Feminine,"Black sleeveless coat, white blouse, orange top, black and white patterned skirt",Black pointed shoes,"Layered, fitted","Modern, graphic",Mix of textures and patterns
2,Sharon Wauchob,Fall 2011,Feminine,Black and white patterned dress,Black pointed shoes,"A-line, flowing","Chic, elegant",Sheer overlay with geometric pattern
3,Sharon Wauchob,Fall 2011,Feminine,"Black blazer, white blouse, beige pants",Black pointed shoes,"Tailored, sleek","Sophisticated, minimal","Contrasting textures, monochrome palette"
1,Sharon Wauchob,Fall 2011,Feminine,"Sleeveless draped top, polka dot skirt",,"Fitted, draped","Modern, chic","Asymmetrical draping, monochrome pattern"
2,Sharon Wauchob,Fall 2011,Feminine,"Black structured jacket, white shirt, orange accent, beige pants",,"Tailored, layered","Sophisticated, contemporary","Color contrast, structured tailoring"
3,Sharon Wauchob,Fall 2011,Feminine,Black textured dress,,"Slim, structured","Elegant, sleek","Textured fabric, minimal embellishment"
1,Sharon Wauchob,Fall 2011,Feminine,"Black mesh dress, black belt",,"Loose, knee-length","Elegant, textured","Shimmering fabric, deep V-neck"
2,Sharon Wauchob,Fall 2011,Feminine,Black long-sleeve dress,,"Fitted bodice, asymmetrical hem","Sophisticated, sleek","Structured shoulders, subtle detailing"
3,Sharon Wauchob,Fall 2011,Feminine,"Black textured top, black slit skirt",Black belt,"Fitted top, flowing skirt","Chic, modern","Textured fabric, high slit"
1,Sharon Wauchob,Spring 2010,Feminine,"White lace blouse, white textured pants",White open-toe boots,"Relaxed, flowing","Delicate, ethereal",Intricate lace detailing
2,Sharon Wauchob,Spring 2010,Feminine,White lace dress with ruffle details,White open-toe boots,"A-line, layered","Romantic, airy",Asymmetrical ruffles
3,Sharon Wauchob,Spring 2010,Feminine,"White lace mini dress, white draped jacket",White open-toe boots,"Slim, draped","Minimalist, elegant","Soft draping, lace accents"
1,Sharon Wauchob,Spring 2010,Feminine,"White sleeveless top with lace detail, black shorts",,"Flowy, relaxed","Ethereal, delicate","Sheer fabric, asymmetrical hem"
2,Sharon Wauchob,Spring 2010,Feminine,"Black lace jacket, black pants with lace cutouts",,"Structured, fitted","Gothic, intricate","Strong shoulders, detailed lacework"
3,Sharon Wauchob,Spring 2010,Feminine,"Black one-shoulder lace top, black pants",,"Slim, elongated","Modern, artistic","Asymmetrical design, sheer lace detailing"
1,Sharon Wauchob,Spring 2010,Feminine,Black sleeveless dress with lace and sheer details,None visible,"Fitted, short","Edgy, gothic",Intricate lace overlay
2,Sharon Wauchob,Spring 2010,Feminine,"Sheer top with black floral appliqué, gray textured pants",None visible,"Relaxed, flowing","Romantic, modern",Contrast between sheer and textured fabrics
3,Sharon Wauchob,Spring 2010,Feminine,Black lace dress with sheer elements,None visible,"Fitted, short","Gothic, elegant","Complex lace patterns, sheer layering"
1,Sharon Wauchob,Spring 2021,Feminine,"Navy satin coat, navy slip dress",Silver ear cuffs,"A-line, sleek","Elegant, minimal",Textured satin fabric
2,Sharon Wauchob,Spring 2021,Feminine,White tailored blazer,Statement earrings,Structured,"Chic, sophisticated",Focus on accessories
3,Sharon Wauchob,Spring 2021,Feminine,Pink feathered dress,,Column,"Playful, bold",Feather embellishments
