Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Niccolò Pasqualetti,Fall 2024,Feminine,"Black structured jacket, skirt with spherical embellishments",Textured black bag,"Structured, asymmetrical","Avant-garde, modern","Contrasting textures, bold embellishments"
2,Niccolò Pasqualetti,Fall 2024,Feminine,"Beige long-sleeve top, metallic silver skirt",Brown textured handbag,"Fitted, voluminous","Futuristic, eclectic","Metallic accents, sculptural skirt"
3,Niccolò Pasqualetti,Fall 2024,Feminine,"Gray oversized sweater, metallic silver skirt",Gray boots,"Oversized, voluminous","Contemporary, layered","Play on proportions, metallic contrast"
1,Niccolò Pasqualetti,Fall 2024,Feminine,"Beige long-sleeve top, black textured skirt","Statement earrings, white ankle boots","A-line, structured","Modern, avant-garde","Asymmetrical design, mixed textures"
2,Niccolò Pasqualetti,Fall 2024,Masculine,Black textured coat,"Black handbag, black flats","Oversized, cocoon","Minimalist, elegant","Monochrome look, subtle texture"
3,Niccolò Pasqualetti,Fall 2024,Feminine,"Beige long-sleeve top, brown textured skirt","Gold earrings, white ankle boots","A-line, structured","Modern, avant-garde","Asymmetrical design, mixed textures"
1,Niccolò Pasqualetti,Spring 2024,Feminine,"White cropped top, white full skirt","Crochet cap, chain bag","Voluminous, flowing","Minimalist, ethereal","Monochrome white, sculptural elements"
2,Niccolò Pasqualetti,Spring 2024,Feminine,Black asymmetrical dress,"Geometric eyewear, metallic embellishments","Draped, structured","Avant-garde, modern","High contrast, bold accessories"
3,Niccolò Pasqualetti,Spring 2024,Feminine,Textured multicolor dress,Geometric eyewear,"Sculptural, layered","Artistic, playful","Pastel colors, organic shapes"
1,Niccolò Pasqualetti,Spring 2024,Neutral,"White oversized coat, white shirt, white skirt",Small silver bag,"Oversized, layered","Minimalist, monochrome","Crisp white palette, structured layers"
2,Niccolò Pasqualetti,Spring 2024,Neutral,"Pastel patchwork blazer, matching shorts",Large pink chain necklace,"Boxy, tailored","Playful, avant-garde","Colorful textures, bold accessories"
3,Niccolò Pasqualetti,Spring 2024,Neutral,White flowing dress,Geometric face accessory,"Flowing, voluminous","Artistic, experimental","Sculptural silhouette, unique eyewear"
1,Niccolò Pasqualetti,Spring 2024,Androgynous,"Textured sleeveless top, metallic pink wide-leg pants",Chunky rope necklace,"Loose, flowing","Futuristic, bold",Metallic finish on pants
2,Niccolò Pasqualetti,Spring 2024,Feminine,"Oversized denim jacket, crochet skirt, turtleneck sweater",None,"Layered, oversized","Bohemian, eclectic",Mix of textures with denim and crochet
3,Niccolò Pasqualetti,Spring 2024,Androgynous,"Hooded cape, utility vest, wide-leg pants",None,"Dramatic, voluminous","Avant-garde, utilitarian",Emphasis on layering and pockets
