Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Vanessa Bruno,Spring 2011,Feminine,White sleeveless dress,"Black belt, floral earrings",A-line,"Elegant, minimal","Flowy fabric, floral accents"
2,Vanessa Bruno,Spring 2011,Feminine,"White blazer, white trousers",White clogs,"Relaxed, tailored","Chic, modern","Monochrome, clean lines"
3,Vanessa Bruno,Spring 2011,Feminine,"Printed blouse, white shorts",Floral earrings,"Loose, casual","Playful, vibrant","Bright patterns, casual elegance"
1,Vanessa Bruno,Spring 2011,Feminine,"White slip dress, cut-out detail","Floral ankle boots, statement earrings","Flowy, relaxed","Minimalist, ethereal","Light fabric, airy movement"
2,Vanessa Bruno,Spring 2011,Feminine,"White blazer, floral top, yellow shorts","Metallic ankle boots, statement earrings","Tailored, casual","Bright, fresh","Layered look, vibrant colors"
3,Vanessa Bruno,Spring 2011,Feminine,Floral print dress,"Metallic ankle boots, statement earrings","Loose, A-line","Playful, summery","Soft colors, floral pattern"
1,Vanessa Bruno,Spring 2011,Feminine,"Yellow blazer, embellished bandeau, white skirt",Floral earrings,"Flowy, relaxed","Bright, youthful",Playful mix of colors and textures
2,Vanessa Bruno,Spring 2011,Feminine,"White mesh top, yellow lace skirt, white cardigan",Floral earrings,"Structured, layered","Modern, fresh",Contrast of textures with lace and mesh
3,Vanessa Bruno,Spring 2011,Feminine,"Lilac sheer top, floral shorts",Floral earrings,"Loose, airy","Soft, ethereal",Sheer layering with a pastel palette
1,Vanessa Bruno,Fall 2010,Feminine,"Brown knit sweater, gray shorts, black leggings",Fur-trimmed ankle boots,"Slim, layered","Casual, cozy","Asymmetrical hem, layered textures"
2,Vanessa Bruno,Fall 2010,Feminine,"Burgundy knit sweater, mustard wrap, gray leggings",Fur-trimmed ankle boots,"Slim, layered","Casual, cozy","Color contrast, layered knitwear"
3,Vanessa Bruno,Fall 2010,Feminine,"Rust coat, cream blouse, brown wrap, gray leggings",Fur-trimmed ankle boots,"Slim, layered","Casual, cozy","Layered outerwear, earthy tones"
1,Vanessa Bruno,Fall 2010,Feminine,"Brown leather coat, red tights",Fur-trimmed boots,"A-line, structured","Edgy, autumnal","Rich leather texture, warm tones"
2,Vanessa Bruno,Fall 2010,Feminine,"Gray coat, orange sweater, layered leggings","Brown belt, fur-trimmed boots","Layered, relaxed","Casual, layered","Mixed textures, earthy palette"
3,Vanessa Bruno,Fall 2010,Feminine,"Gray sheer dress, dark sweater",Fur-trimmed boots,"Flowy, layered","Romantic, ethereal","Sheer layering, soft draping"
1,Vanessa Bruno,Fall 2010,Feminine,"Beige wrap top, cream shorts, gray bandeau, burgundy tights",Fur-trimmed boots,"Layered, casual","Bohemian, relaxed","Earth tones, mixed textures"
2,Vanessa Bruno,Fall 2010,Feminine,"Mustard dress, cream coat","Burgundy tights, fur-trimmed boots, pink belt","Layered, cozy","Bohemian, chic","Textured coat, warm palette"
3,Vanessa Bruno,Fall 2010,Feminine,"Brown cardigan, sheer blouse, black leggings","Wide-brimmed hat, fur-trimmed boots, leather bag","Relaxed, layered","Bohemian, casual","Oversized hat, earthy tones"
