Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Victoria Beckham,Spring 2009,Feminine,"Black textured sleeveless dress, waist tie",Black pumps,"Fitted, knee-length","Elegant, classic","Textured bodice, monochrome"
2,Victoria Beckham,Spring 2009,Feminine,"White textured sleeveless dress, waist tie",Black pumps,"Fitted, knee-length","Elegant, classic","Textured bodice, monochrome"
3,Victoria Beckham,Spring 2009,Feminine,"Black and white patterned dress, cap sleeves",Black pumps,"Fitted, knee-length","Elegant, modern","Geometric pattern, structured"
1,Victoria Beckham,Spring 2009,Feminine,Blue fitted midi dress,Black pumps,"Bodycon, tailored","Elegant, minimalist","Cap sleeves, scoop neckline"
2,Victoria Beckham,Spring 2009,Feminine,Gray fitted midi dress with black yoke,Black pumps,"Bodycon, tailored","Chic, sophisticated","Cap sleeves, contrast yoke"
3,Victoria Beckham,Spring 2009,Feminine,White fitted midi dress with cream yoke,Nude pumps,"Bodycon, tailored","Refined, classic","Cap sleeves, subtle texture"
1,Victoria Beckham,Spring 2009,Feminine,"White wrap blouse, black pencil skirt",Black pumps,"Fitted, hourglass","Chic, elegant",Classic monochrome look
2,Victoria Beckham,Spring 2009,Feminine,"Black short-sleeve blouse with bow, black pencil skirt",Black pumps,"Fitted, hourglass","Sophisticated, sleek",Monochrome with satin texture
3,Victoria Beckham,Spring 2009,Feminine,"Black short-sleeve blouse with bow, gray pencil skirt",Black pumps,"Fitted, hourglass","Refined, polished",Contrast waist detail
1,Victoria Beckham,Spring 2012,Feminine,"Navy coat, black leather pants",,"Slim, structured","Chic, modern",Minimalist design with sleek lines
2,Victoria Beckham,Spring 2012,Feminine,"Navy coat, black mini skirt, black leather pants",,"Oversized, structured","Chic, modern",Asymmetrical coat with zipper details
3,Victoria Beckham,Spring 2012,Feminine,"Navy sleeveless top, black mini skirt","Black cap, tan handbag","Slim, structured","Sporty, chic",Casual elements with sporty cap and structured bag
1,Victoria Beckham,Spring 2012,Feminine,"Navy coat, black leather pants","Black cap, black handbag","Structured, sleek","Chic, modern",Contrasting textures with leather and fabric
2,Victoria Beckham,Spring 2012,Feminine,Strapless navy and black dress,Large black and orange handbag,"Fitted, bodycon","Elegant, sophisticated",Color blocking with bold accessories
