Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jasmine di Milo,Fall 2009,Feminine,Orange gown with black cut-out bodice,,"Fitted, floor-length","Elegant, bold",Intricate cut-out details on bodice
2,Jasmine di Milo,Fall 2009,Feminine,"Orange top, black textured mini skirt","White tights, black and white strappy heels","Structured, mini","Chic, modern",Textured skirt adds volume
3,Jasmine di Milo,Fall 2009,Feminine,Black cut-out mini dress,"Patterned tights, black platform heels","Bodycon, mini","Edgy, daring",Bold cut-out pattern on dress
1,Jasmine Di Milo,Fall 2009,Feminine,"Black mini dress, white tights",Black strappy heels,"Fitted, short","Chic, edgy",Cut-out neckline detail
2,Jasmine Di Milo,Fall 2009,Feminine,"Olive satin suit, deep V-neck blazer",Black platform heels,"Tailored, sleek","Sophisticated, bold","Strong shoulders, cinched waist"
3,Jasmine Di Milo,Fall 2009,Feminine,"Burgundy blazer, black top, black pants",Black platform heels,"Layered, fitted","Elegant, modern",Embellished shoulder detail
1,Jasmine di Milo,Fall 2009,Feminine,Black one-shoulder gown,,"Long, fitted","Elegant, classic",Velvet texture
2,Jasmine di Milo,Fall 2009,Feminine,"Black camisole, black leggings","Black belt with floral detail, headband","Slim, sleek","Modern, edgy",Strappy platform heels
3,Jasmine di Milo,Fall 2009,Feminine,Brown sleeveless gown with ruffle neckline,,"Long, straight","Minimalist, sophisticated",Keyhole neckline detail
1,Jasmine di Milo,Spring 2007,Feminine,Gold patterned dress,Red heels,A-line,"Elegant, bold","Metallic sheen, evening wear"
2,Jasmine di Milo,Spring 2007,Feminine,"White eyelet dress, white wrap dress","Knee-high socks, sunglasses",Fitted,"Romantic, youthful","Light textures, layered looks"
3,Jasmine di Milo,Spring 2007,Feminine,"White off-shoulder blouse, lace shorts",Strappy sandals,Flowy,"Bohemian, delicate","Ruffled details, soft fabrics"
1,Jasmine Di Milo,Spring 2007,Feminine,"Sheer dresses, light fabric",Sunglasses,"Flowy, relaxed","Ethereal, bohemian","Soft lighting, casual seating"
2,Jasmine Di Milo,Spring 2007,Feminine,Beaded gown,None visible,"Elegant, fitted","Glamorous, vintage","Reading a book, serene setting"
3,Jasmine Di Milo,Spring 2007,Feminine,Beaded dresses,None visible,"Elegant, fitted","Glamorous, vintage","Contrasting hair colors, seated by window"
1,Jasmine di Milo,Spring 2007,Feminine,Black off-shoulder dress,None,"A-line, off-shoulder","Elegant, minimal","Soft fabric, evening wear"
2,Jasmine di Milo,Spring 2007,Feminine,"Black blazer, white blouse, black shorts","Sunglasses, black heels","Tailored, fitted","Chic, modern","Contrasting textures, business casual"
3,Jasmine di Milo,Spring 2007,Feminine,White pleated dress,None,"Flowy, knee-length","Romantic, classic","Long sleeves, soft pleats"
