Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Raf Simons,Fall 2022,Unisex,"Teal textured wrap, black dress",Teal cap,"Draped, oversized","Avant-garde, monochrome","Cozy texture, concealed face"
2,Raf Simons,Fall 2022,Unisex,"Red textured wrap, black patent dress",Red cap,"Draped, oversized","Avant-garde, monochrome","Shiny texture, concealed face"
3,Raf Simons,Fall 2022,Unisex,"Black textured coat, brown zip-up sweater, pink pants",Black hood,"Layered, structured","Eclectic, modern","Textured layers, contrasting colors"
1,Raf Simons,Fall 2022,Neutral,"Black textured cape, black turtleneck, black pants",White helmet-like hat,"Draped, elongated","Avant-garde, mysterious","Monochrome, textured layers"
2,Raf Simons,Fall 2022,Neutral,"Oversized purple coat, red vinyl top, red vinyl pants",,"Oversized, structured","Bold, edgy","Contrasting textures, glossy finish"
3,Raf Simons,Fall 2022,Neutral,"Brown textured coat, black dress",,"Boxy, elongated","Classic, modern","Rich textures, layered look"
1,Raf Simons,Fall 2022,Masculine,"Black textured coat, green vinyl dress",Black boots,"Oversized, layered","Edgy, modern",Textured outerwear with glossy inner layer
2,Raf Simons,Fall 2022,Masculine,"Black fur coat, black vinyl pants","Black boots, ear cuff, black hat","Boxy, sleek","Futuristic, avant-garde",Contrasting textures with sleek vinyl
3,Raf Simons,Fall 2022,Masculine,"Purple fur coat, black pants","Black boots, ear cuff, purple hat","Oversized, structured","Bold, statement",Vibrant color with matching accessories
1,Raf Simons,Spring 2022,Androgynous,"Black oversized coat, black dress",None visible,"Oversized, relaxed","Minimalist, dark",Yellow details on sleeves
2,Raf Simons,Spring 2022,Androgynous,Navy satin dress,"Bracelet, rings","Straight, loose","Elegant, simple",Embellished neckline
3,Raf Simons,Spring 2022,Androgynous,"Black blazer, black dress",None visible,"Layered, structured","Chic, modern",Classic tailoring with a twist
