Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jacquemus,Fall 2023,Feminine,"White lace bodysuit, sheer overlay",Gold hoop earrings,"Voluminous, sheer","Romantic, ethereal","Puffy hips, delicate lace"
2,Jacquemus,Fall 2023,Feminine,"White lace mini dress, sheer overlay",Gold hoop earrings,"Fitted, sheer","Romantic, ethereal","Lace-up detailing, delicate lace"
3,Jacquemus,Fall 2023,Feminine,"White lace bra top, voluminous skirt","Red clutch, gold hoop earrings","Voluminous, structured","Romantic, ethereal","Contrast with red accessory, delicate lace"
1,Jacquemus,Fall 2023,Feminine,"Sheer lace dress, white bandeau","White handbag with gold handle, gold hoop earrings","Flowy, sheer","Romantic, ethereal","Delicate lace, transparent layers"
2,Jacquemus,Fall 2023,Feminine,Sheer lace mini dress with puff skirt,"Red platform heels, lace knee-high socks","Voluminous, structured","Playful, whimsical","Ballet-inspired, bold footwear"
3,Jacquemus,Fall 2023,Masculine,"Sheer lace vest, white wide-leg pants","White clutch, white shoes","Relaxed, flowing","Modern, avant-garde","Contrasting textures, minimalist accessories"
1,Jacquemus,Fall 2023,Feminine,"White puff-sleeve crop top, white lace leggings","Gold hoop earrings, red shoes","Fitted, voluminous sleeves","Romantic, bold","Sheer fabric, structured shoulders"
2,Jacquemus,Fall 2023,Masculine,"White lace tank top, white wide-leg trousers",White clutch,"Relaxed, airy","Minimalist, elegant","Sheer top, monochrome look"
3,Jacquemus,Fall 2023,Feminine,"Red puff-sleeve crop top, red leggings","Mini handbag, red shoes","Fitted, voluminous sleeves","Vibrant, daring","Monochrome red, structured shoulders"
1,Jacquemus,Fall 2017,Feminine,"White oversized shirt, pleated skirt","Black wide-brim hat, black heels","Boxy, oversized","Minimalist, avant-garde","Exaggerated collar, monochrome"
2,Jacquemus,Fall 2017,Feminine,Black long coat,Black sculptural hat,"Hourglass, structured","Dramatic, elegant","Sculptural hat, tailored fit"
3,Jacquemus,Fall 2017,Feminine,"Navy dress, black pants","Black asymmetrical hat, pink handbag","Fitted, layered","Chic, modern","Ruched neckline, contrasting layers"
1,Jacquemus,Fall 2017,Feminine,Black sleeveless dress,"Wide-brimmed hat, gold brooch","Fitted bodice, flared skirt","Elegant, sophisticated","Asymmetrical hem, bold accessory"
2,Jacquemus,Fall 2017,Feminine,"Black top with white collar, black skirt",Black bucket hat,"Structured top, draped skirt","Chic, modern","Contrasting collar, sleek lines"
3,Jacquemus,Fall 2017,Feminine,"Black coat, striped pants","Wide-brimmed hat, chain strap bag","Tailored coat, cropped pants","Avant-garde, dramatic","Exaggerated shoulders, mixed patterns"
1,Jacquemus,Fall 2017,Feminine,"Black coat, black trousers",Black beret,"Structured, tailored","Chic, Parisian","Strong shoulders, monochrome"
2,Jacquemus,Fall 2017,Feminine,"Black blazer, black ruched trousers","Black bucket hat, black handbag","Peplum, fitted","Modern, sophisticated","Ruched details, bold hat"
3,Jacquemus,Fall 2017,Feminine,"Black jacket, black skirt","Black hat, green handbag","Tailored, voluminous","Elegant, avant-garde","Asymmetrical hat, pop of color with bag"
1,Jacquemus,Spring 2017,Feminine,"White oversized shirt with exaggerated sleeves, beige vest, gray shorts","Wide-brim straw hat, white pumps","Voluminous, structured","Avant-garde, minimalist","Play on proportions, bold sleeves"
2,Jacquemus,Spring 2017,Feminine,"Black wrap top with white detailing, white puffed sleeves, black cropped pants","Wide-brim straw hat, black pumps","Tailored, dramatic","Chic, modern",Contrast between structured and voluminous elements
3,Jacquemus,Spring 2017,Feminine,White oversized shirt with exaggerated sleeves,"Wide-brim straw hat with black ribbon, black and white pumps","Voluminous, relaxed","Effortless, elegant","Focus on sleeves, minimalistic yet striking"
1,Jacquemus,Spring 2017,Feminine,Black dress with exaggerated sleeves,Wide-brimmed straw hat,"Fitted waist, voluminous sleeves","Avant-garde, dramatic","Keyhole neckline, structured shoulders"
2,Jacquemus,Spring 2017,Feminine,"Gray knit top, white tulle skirt",Wide-brimmed straw hat,"Voluminous, layered","Playful, whimsical","Contrasting textures, exaggerated shoulders"
3,Jacquemus,Spring 2017,Feminine,"Black top with lace trim, black trousers",Wide-brimmed straw hat,"Cropped, fitted","Minimalist, chic","Lace detailing, structured silhouette"
1,Jacquemus,Spring 2017,Feminine,"Dark gray coat dress, white striped wide-leg pants","Wide-brimmed straw hat, small clutch","A-line, layered","Elegant, structured","Dramatic collar, voluminous sleeves"
2,Jacquemus,Spring 2017,Feminine,Blue plaid mini dress,Wide-brimmed straw hat,"Fitted, short","Playful, casual","Deep neckline, oversized sleeves"
3,Jacquemus,Spring 2017,Feminine,"Black cropped top, asymmetrical ruffled skirt",Wide-brimmed straw hat,"Dramatic, high-low","Chic, avant-garde","Bold shoulders, high slit"
1,Jacquemus,Fall 2016,Feminine,"Navy pinstripe oversized blazer, yellow turtleneck, pinstripe trousers",Red pocket square,"Oversized, structured","Avant-garde, bold","Exaggerated shoulders, vibrant color contrast"
2,Jacquemus,Fall 2016,Feminine,"Light blue turtleneck sweater, brown circular mini skirt",None,"Voluminous, playful","Innovative, youthful","Unique skirt shape, thigh-high boots"
3,Jacquemus,Fall 2016,Feminine,"Brown asymmetrical dress, mustard sleeve",None,"Asymmetrical, fitted","Artistic, modern","Single sleeve design, contrasting colors"
1,Jacquemus,Fall 2016,Feminine,"White oversized shirt, navy skirt, wide-leg pants",None,"Oversized, layered","Avant-garde, deconstructed",Dramatic shoulder detail
2,Jacquemus,Fall 2016,Feminine,"Light blue turtleneck, navy sleeveless dress, wide-leg pants",None,"Relaxed, layered","Minimalist, contemporary",Playful layering with side ties
3,Jacquemus,Fall 2016,Feminine,"Purple cropped turtleneck, gray pinstripe pants",Orange crossbody bag,"Boxy, cropped","Bold, modern",Contrast with bright accessory
1,Jacquemus,Fall 2016,Feminine,Asymmetrical pinstripe suit with bows,Brown crossbody strap,"Deconstructed, oversized","Avant-garde, playful","Contrasting red shoes, asymmetrical design"
2,Jacquemus,Fall 2016,Feminine,"Light blue mini dress, purple turtleneck",None,"Structured, layered","Bold, modern","Bright orange thigh-high boots, exaggerated sleeves"
3,Jacquemus,Fall 2016,Feminine,"Navy oversized jacket, black layered skirt",None,"Voluminous, sculptural","Artistic, experimental","Large purple buttons, exaggerated sleeves"
