Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,John Richmond,Fall 2024,Feminine,"Metallic checkered suit, Light blue shirt","White pointed boots, Earrings",Tailored,"Futuristic, Sleek",Modern take on classic tailoring
1,John Richmond,Fall 2024,Feminine,"Black velvet blazer with geometric pattern, White ruffled shirt, Black velvet shorts","Pearl and crystal statement earrings, Black belt","Tailored, Fitted","Elegant, Modern, Glamorous",The look combines classic tailoring with modern textures and statement accessories.
1,John Richmond,Fall 2024,Feminine,"Light blue belted blazer, Light blue wide-leg trousers, Black turtleneck",Hoop earrings,"Tailored, Flared","Modern, Sleek",Monochromatic look with a structured silhouette.
1,John Richmond,Fall 2024,Feminine,"Crocodile-patterned trench coat, White shirt, Black tie, Black shorts","Silver earrings, Sheer black knee-highs, Silver heels","Structured, Tailored","Edgy, Modern, Chic",Monochrome look with metallic accents
1,John Richmond,Fall 2024,Feminine,"Yellow cable-knit cropped sweater, Black leather high-waisted skirt","White oversized sunglasses, Black clutch",Fitted top with flared skirt,"Edgy, Modern, Chic",Contrasting textures with bold color and sleek leather
1,John Richmond,Fall 2024,Feminine,"Gray textured puffer jacket, Black leather bandeau, Black mini skirt","Silver chain necklace, Silver earrings","Structured, Cropped","Edgy, Modern",Bold outerwear with minimalistic underlayers
1,John Richmond,Fall 2024,Masculine,"Black leather jacket with patterned sleeves, Gray textured vest, Black pants",Silver earrings,"Structured, Layered","Edgy, Modern",Combination of textures with a focus on leather and knit elements.
1,John Richmond,Fall 2024,Feminine,"Yellow textured puffer coat, Black draped mini dress","Pearl necklace, Black gloves","Oversized coat, Fitted dress","Edgy, Modern, Chic",Bold contrast between oversized outerwear and sleek dress
1,John Richmond,Fall 2024,Androgynous,"Gray textured puffer coat, Black tailored suit, Black shirt",Tie with 'RICH' pin,"Oversized coat, Fitted suit","Edgy, Modern, Luxurious",Mix of textures and formal elements
1,John Richmond,Fall 2024,Feminine,"Black wool coat, embellished back detail",Earrings,Structured,"Elegant, Modern",Features unique embellishments on the back.
1,John Richmond,Fall 2024,Feminine,"Black wool coat, Pink ruffled blouse, Black crocodile-textured mini skirt","Sunglasses, Black clutch, Pink pointed heels, Sheer knee-highs","Structured, Fitted","Chic, Modern, Edgy",Mix of textures and bold accessories
1,John Richmond,Fall 2024,Feminine,"Gold and black patterned suit, black lace bralette","Black gloves, chain necklace, small clutch","Tailored, flared pants","Glamorous, edgy",Bold pattern with luxurious texture
1,John Richmond,Fall 2024,Androgynous,"White tailored blazer, White tailored trousers, Black ribbed turtleneck","Pearl necklace, Black leather harness",Structured,"Modern, Edgy",Contrasting textures with classic and avant-garde elements
1,John Richmond,Fall 2024,Masculine,"White faux fur coat, Black suit","Sunglasses, Pearl necklace, Ring","Structured, Oversized coat","Luxurious, Modern, Chic",Elegant combination of textures and accessories
1,John Richmond,Fall 2024,Masculine,"Light blue tailored suit, black turtleneck","Silver necklace, black belt with logo, black shoes",Structured,"Modern, Sleek, Tailored",Features a belted jacket detail
1,John Richmond,Fall 2024,Feminine,"White faux fur jacket, Light blue mini skirt, Patterned blouse","White sunglasses, Black knee-high socks, White loafers","Boxy top, A-line skirt","Retro, Chic, Youthful",Mix of textures with a playful color palette
1,John Richmond,Fall 2024,Masculine,"Metallic checkered suit, Black turtleneck","White boots, Necklace",Tailored,"Futuristic, Sleek",The look features a bold metallic pattern with a modern twist.
1,John Richmond,Fall 2024,Feminine,"Gold and black brocade coat, Black sheer blouse, Gold and black brocade shorts",Pearl drop earrings,"Structured, Tailored","Bold, Ornate, Luxurious",Intricate pattern with sheer elements
1,John Richmond,Fall 2024,Masculine,"Black leather puffer jacket, White shirt with bow, Black tailored trousers",Gold chain loafers,"Structured, Tailored","Modern, Edgy",Contrasting textures and bold accessories
1,John Richmond,Fall 2024,Feminine,"Tattoo-print nude dress, Black leather cropped jacket","Quilted black clutch, Statement necklace",Fitted,"Edgy, Bold, Graphic",Mix of tattoo motifs and leather for a rebellious look.
1,John Richmond,Fall 2024,Masculine,"Black and gold printed bomber jacket, black turtleneck, black tailored pants","Gold chain loafers, bracelet","Slim, structured","Luxurious, bold, modern",Intricate gold detailing on jacket
1,John Richmond,Fall 2024,Androgynous,"Black quilted bomber jacket, Sheer printed top",Rhinestone necklace,Oversized,"Edgy, Gothic, Streetwear",Bold graphics on sheer fabric
1,John Richmond,Fall 2024,Feminine,"Black long-sleeve coat, ""Tattoo"" print sheer bodysuit","Large sunglasses, Drop earrings, Bracelet","Fitted, Layered","Edgy, Modern, Graphic",Bold tattoo-inspired print with sleek black layering
1,John Richmond,Fall 2024,Feminine,Purple leather jacket,"Tortoiseshell sunglasses, Silver hoop earrings","Structured, Fitted","Edgy, Modern","High collar, Zipper details"
1,John Richmond,Fall 2024,Feminine,"Black one-shoulder gown, feather detail, high slit","Sunglasses, hoop earrings, bracelet, ring, silver heels","Fitted, asymmetrical","Elegant, modern, edgy",Features a dramatic feather detail and high slit for a bold statement.
1,John Richmond,Fall 2024,Feminine,"White faux fur coat, Belt","Tortoiseshell sunglasses, Black leather gloves, Quilted clutch","Tailored, Fitted","Chic, Modern, Elegant",Monochromatic look with luxurious textures
1,John Richmond,Fall 2024,Feminine,"Black blazer, black crop top, black shorts","Pearl necklaces, black clutch, black loafers, sheer knee-high socks",Tailored,"Edgy, Modern, Chic",Features layered pearl necklaces and buckle details.
1,John Richmond,Fall 2024,Androgynous,"White satin blazer with textured lapels, black bow blouse, white satin trousers",Large earrings,Tailored,"Elegant, Modern, Formal",Contrast of textures with satin and textured lapels
1,John Richmond,Fall 2024,Feminine,"Black one-shoulder mini dress, pearl embellishments","Sunglasses, pearl earrings, bracelet","Fitted, asymmetric","Elegant, modern, bold",Features pearl detailing and cutouts
1,John Richmond,Fall 2024,Androgynous,"Black velvet patterned suit, Black shirt","Oversized sunglasses, Pearl brooch, Rings",Tailored,"Luxurious, Glamorous",Rich texture and bold accessories
1,Unknown,Fall 2024,Feminine,"Black gown with pearl embellishments, cut-out detail","Long black gloves, pearl earrings, black shoes","Fitted, floor-length","Elegant, sophisticated",Features a high slit and shoulder bows
