Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ryan Roche,Spring 2016,Feminine,"Cream tunic dress, wide-leg pants",White mules,"Flowy, relaxed","Minimalist, elegant",Soft neutral tones
2,Ryan Roche,Spring 2016,Feminine,Cream full-length dress,,"Flowy, loose","Minimalist, elegant","Soft draping, high neckline"
3,Ryan Roche,Spring 2016,Feminine,Cream tunic dress,,"Flowy, loose","Minimalist, elegant","Soft draping, high neckline"
1,Ryan Roche,Spring 2016,Feminine,Cream long dress with sheer back panel,,Flowing,Minimalist,"Open back detail, elegant drape"
2,Ryan Roche,Spring 2016,Feminine,Strapless cream gown,,Flowing,Minimalist,"Soft fabric, gathered waist"
3,Ryan Roche,Spring 2016,Feminine,Lace high-neck gown,,Flowing,Romantic,"Intricate lace, high neckline"
1,Ryan Roche,Spring 2016,Feminine,"Ribbed knit dress, lace skirt",White pointed flats,"Straight, layered","Minimalist, elegant","Soft color palette, textured layering"
2,Ryan Roche,Spring 2016,Feminine,"V-neck knit dress, ribbed pants","White pointed flats, knit neckpiece","A-line, relaxed","Cozy, sophisticated","Monochromatic, subtle detailing"
3,Ryan Roche,Spring 2016,Feminine,One-shoulder knit dress,,"Fitted, asymmetrical","Chic, modern","Belted waist, minimalist design"
1,Ryan Roche,Fall 2015,Feminine,Cream ribbed turtleneck poncho dress,Black lace-up shoes,"Loose, flowing","Cozy, minimalist","Soft texture, neutral palette"
2,Ryan Roche,Fall 2015,Feminine,"Cream turtleneck sweater dress, long coat","Tan hat, black lace-up shoes","Layered, relaxed","Chic, understated","Monochrome layering, classic"
3,Ryan Roche,Fall 2015,Feminine,One-shoulder ruffle dress,"Black lace-up shoes, beige socks","Straight, elegant","Sophisticated, modern","Asymmetrical design, soft color"
1,Ryan Roche,Fall 2015,Feminine,"Cable knit sweater, midi skirt","Black shoes, black socks","Relaxed, cozy","Minimalist, neutral tones",Chunky knit texture
2,Ryan Roche,Fall 2015,Feminine,"Oversized turtleneck poncho, cable knit dress","Black shoes, pink socks","Voluminous, layered","Cozy, soft",Draped silhouette
3,Ryan Roche,Fall 2015,Feminine,"Turtleneck top, short-sleeve cardigan, gathered skirt","Black shoes, pink socks","Loose, comfortable","Casual, elegant",Fringe detail on cardigan
1,Ryan Roche,Fall 2015,Feminine,"Peach textured coat, peach knit dress, peach scarf","Black oxford shoes, peach socks","Relaxed, layered","Cozy, monochrome","Textured outerwear, soft palette"
2,Ryan Roche,Fall 2015,Feminine,"Cream long coat, cream blouse, cream skirt","White fedora, black socks, black oxford shoes","Flowing, elongated","Minimalist, elegant","Monochrome layering, tailored lines"
3,Ryan Roche,Fall 2015,Feminine,"Cream knit sleeveless top, cream skirt with slits","White fedora, black socks, black oxford shoes","Structured, sleek","Chic, modern","Textured knit, side slits"
