Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Hervé Léger by Max Azria,Spring 2012,Feminine,Gold bandage dress with flared hem,Beige gladiator sandals,"Fitted, flared","Glamorous, metallic","Geometric patterns, structured fit"
2,Hervé Léger by Max Azria,Spring 2012,Feminine,Silver strapless bandage dress,Beige gladiator sandals,Fitted,"Futuristic, sleek","Cut-out details, metallic sheen"
3,Hervé Léger by Max Azria,Spring 2012,Feminine,Beige bandage dress with short sleeves and flared hem,Beige gladiator sandals,"Fitted, flared","Elegant, textured","Geometric patterns, structured shoulders"
1,Hervé Léger by Max Azria,Spring 2012,Feminine,Gold bandage dress,Brown gladiator sandals,Bodycon,"Futuristic, edgy",Intricate cut-out details
2,Hervé Léger by Max Azria,Spring 2012,Feminine,Nude bandage dress,Brown gladiator sandals,Bodycon,"Futuristic, edgy",Geometric patterns
3,Hervé Léger by Max Azria,Spring 2012,Feminine,Silver one-shoulder bandage dress,Beige gladiator sandals,Bodycon,"Futuristic, edgy",Asymmetrical neckline
1,Hervé Léger by Max Azria,Spring 2012,Feminine,White bandage dress with geometric cutouts,White strappy knee-high sandals,Bodycon,"Futuristic, edgy",Intricate cutout details
2,Hervé Léger by Max Azria,Spring 2012,Feminine,Black bandage dress with netted details,Black strappy knee-high sandals,Bodycon,"Bold, modern","Netted detailing, structured lines"
3,Hervé Léger by Max Azria,Spring 2012,Feminine,"Black textured dress, black metallic jacket",Black strappy knee-high sandals,Bodycon,"Chic, sophisticated","Metallic accents, textured fabric"
1,Hervé Léger by Max Azria,Fall 2011,Feminine,"Beige textured jacket, beige bandage dress",Beige knee-high boots,"Fitted, bodycon","Textured, structured",Intricate detailing on jacket
2,Hervé Léger by Max Azria,Fall 2011,Feminine,Beige bandage dress,"Beige knee-high boots, beige clutch","Fitted, bodycon","Geometric, modern",Grid pattern on dress
3,Hervé Léger by Max Azria,Fall 2011,Feminine,Beige halter bandage dress,Beige knee-high boots,"Fitted, bodycon","Elegant, sleek","High neckline, minimal detailing"
1,Hervé Léger by Max Azria,Fall 2011,Feminine,Black textured dress,Black knee-high boots,"Fitted, structured","Edgy, modern","Textured skirt, leather details"
2,Hervé Léger by Max Azria,Fall 2011,Feminine,Black and gray patterned dress,Black knee-high boots,Bodycon,"Futuristic, sleek","Geometric patterns, side panels"
3,Hervé Léger by Max Azria,Fall 2011,Feminine,White gradient dress,White knee-high boots,Bodycon,"Chic, contemporary","Central zipper detail, ombre effect"
1,Hervé Léger by Max Azria,Fall 2011,Feminine,Black bandage dress with metallic accents,Black knee-high boots,"Fitted, bodycon","Edgy, modern","Metallic detailing, structured fit"
2,Hervé Léger by Max Azria,Fall 2011,Feminine,Beige bandage dress with gold accents,Beige knee-high boots,"A-line, structured","Chic, contemporary","Gold detailing, flared skirt"
3,Hervé Léger by Max Azria,Fall 2011,Feminine,Black bandage dress with gold accents,Black knee-high boots,"A-line, fitted","Elegant, sleek","Gold detailing, classic silhouette"
