Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Iro,Fall 2022,Feminine,"Black deep V-neck dress, silver sequin belt",Silver sequin boots,"Fitted, mini","Glamorous, edgy",Contrast of textures with sequins
2,Iro,Fall 2022,Feminine,"Denim jacket, white turtleneck, faux fur coat, leather pants",White ankle boots,"Oversized, layered","Casual, chic",Cozy textures with structured layers
3,Iro,Fall 2022,Feminine,"Black leather coat-dress, camo jeans","Silver chain bag, strappy sandals","Relaxed, longline","Urban, modern",Mix of leather with casual denim
1,Iro,Fall 2022,Feminine,Black leather dress,White ankle boots,"Fitted, mini","Edgy, sleek","Textured neckline, contrast footwear"
2,Iro,Fall 2022,Feminine,"Black blazer, sequin pants, black top",None visible,"Tailored, flared","Chic, sophisticated","Sequin detailing, oversized blazer"
3,Iro,Fall 2022,Feminine,"One-shoulder black top, black pants",Studded belt,"Relaxed, tapered","Modern, elegant","Asymmetrical top, subtle embellishments"
1,Iro,Fall 2022,Feminine,"Striped denim jacket, white turtleneck, navy leather pants",White pointed boots,"Relaxed, structured","Casual, modern","Denim on leather, neutral palette"
2,Iro,Fall 2022,Feminine,"Metallic puff-sleeve top, metallic mini skirt",Black ankle boots,"Voluminous, fitted","Edgy, glamorous","Strong shoulders, metallic sheen"
3,Iro,Fall 2022,Feminine,One-shoulder sequin gown,Black boots,"Fitted, draped","Elegant, evening","Asymmetrical neckline, shimmering texture"
1,Iro,Fall 2022,Feminine,"Metallic burgundy jacket, matching shorts, white turtleneck",White belt,"Boxy, relaxed","Edgy, modern",Shearling-lined boots add texture
2,Iro,Fall 2022,Feminine,"Black turtleneck, blue striped shirt, black pants","White belt, silver boots","Tailored, layered","Chic, contemporary",Metallic boots provide contrast
3,Iro,Fall 2022,Feminine,"Black dress, gray tweed jacket",Black studded boots,"Structured, layered","Classic, elegant",Monochrome palette with texture play
1,Iro,Fall 2022,Feminine,"Gray blazer, black turtleneck, gray trousers",Wide belt,"Tailored, structured","Chic, professional","Monochrome palette, sleek lines"
2,Iro,Fall 2022,Feminine,"Brown knit dress, cream shearling coat",,"Relaxed, cozy","Casual, elegant","Textured layers, neutral tones"
3,Iro,Fall 2022,Feminine,"White sweater, brown shearling jacket, white trousers",Belt,"Layered, voluminous","Warm, stylish","Rich textures, contrasting colors"
1,Iro,Fall 2022,Feminine,"Lilac knit sweater, black leather pants",Silver boots,"Relaxed, fitted","Casual, edgy","Textured knit, shiny leather"
2,Iro,Fall 2022,Feminine,Leopard print dress,Black knee-high boots,"A-line, flowing","Bold, chic","Animal print, asymmetrical hem"
1,Iro,Spring 2016,Feminine,"Patterned jacket, mesh top, black shorts",Black ankle boots,"Relaxed, casual","Bohemian, edgy","Mix of textures, monochrome palette"
2,Iro,Spring 2016,Feminine,White dress with sheer panels,"White belt, snakeskin ankle boots","A-line, flowing","Minimalist, chic","Monochrome look, subtle detailing"
3,Iro,Spring 2016,Feminine,"Open-knit sweater, patterned shorts",Black ankle boots,"Casual, relaxed","Bohemian, casual","Layered textures, monochrome accents"
1,IRO,Spring 2016,Feminine,White sleeveless maxi dress,Snakeskin ankle boots,"Flowy, relaxed","Minimalist, bohemian","Side slit, delicate fabric"
2,IRO,Spring 2016,Feminine,"Patterned jacket, mesh top, white shorts","Silver belt, strappy sandals","Casual, layered","Eclectic, casual","Textured layers, neutral tones"
3,IRO,Spring 2016,Feminine,"Silver metallic jacket, white lace top, white shorts","Strappy sandals, rings","Fitted, edgy","Futuristic, chic","Metallic finish, modern contrast"
1,IRO,Spring 2016,Feminine,"White eyelet top, black leather pants","Black belt, rings","Slim, fitted","Casual, chic",Monochrome look with intricate top detailing
2,IRO,Spring 2016,Feminine,"White lace dress, silver bomber jacket",Rings,"A-line, relaxed","Sporty, feminine",Mix of delicate lace with sporty bomber
3,IRO,Spring 2016,Feminine,"Black lace-up top, floral maxi skirt",Black belt,"Flowy, relaxed","Bohemian, edgy",Contrasting textures and patterns
