Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Thomas Tait,Spring 2016,Feminine,"White halter dress, black pants",,"A-line, flowy","Minimalist, modern",High neck with button details
2,Thomas Tait,Spring 2016,Feminine,"Striped knit dress, long cardigan",Drop earrings,"Fitted, layered","Textured, casual",Pastel tones with circular embellishments
3,Thomas Tait,Spring 2016,Feminine,White dress with cutouts,Black choker,"Flowy, asymmetrical","Elegant, contemporary",Sheer sleeves with geometric patterns
1,Thomas Tait,Spring 2016,Feminine,"White textured turtleneck, white skirt",,"Fitted top, A-line skirt","Minimalist, futuristic",Circular detail on skirt
2,Thomas Tait,Spring 2016,Feminine,"Mint tunic, matching pants",,"Loose, flowing","Futuristic, minimalist",Circular cutouts and embellishments
3,Thomas Tait,Spring 2016,Feminine,"White halter dress, navy pants",,"A-line dress, flared pants","Futuristic, minimalist",Circular embellishments on dress
1,Thomas Tait,Spring 2016,Feminine,White button-up jumpsuit with cutouts,,"Relaxed, straight","Futuristic, minimal","Geometric cutouts, monochrome"
2,Thomas Tait,Spring 2016,Feminine,"White tunic dress, black embellished leggings",Red neck scarf,"A-line, fitted","Eclectic, avant-garde","Bold embellishments, contrast textures"
3,Thomas Tait,Spring 2016,Feminine,"White blouse, red embellished mini skirt",,"Structured, A-line","Chic, modern","High contrast, glossy finish"
1,Thomas Tait,Spring 2014,Feminine,"White coat, white skirt",White pumps,"Boxy, relaxed","Minimalist, monochrome",Shearling collar detail
2,Thomas Tait,Spring 2014,Feminine,"White top, beige shorts",White pumps,"Straight, loose","Minimalist, clean",Bright red lipstick
3,Thomas Tait,Spring 2014,Feminine,"Sheer white top, beige shorts",White pumps,"Straight, loose","Minimalist, sheer","Bright red lipstick, sheer fabric"
1,Thomas Tait,Spring 2014,Feminine,"White high-collared shirt, yellow wide-leg pants",None,"Relaxed, flowing","Minimalist, modern","Bright color contrast, clean lines"
2,Thomas Tait,Spring 2014,Feminine,"White oversized turtleneck, yellow mini skirt",Red feather hair accessory,"Boxy, structured","Minimalist, bold","Playful accessory, monochrome with pop of color"
3,Thomas Tait,Spring 2014,Feminine,"White coat with yellow collar, white tunic, yellow shorts",None,"Layered, relaxed","Minimalist, contemporary","Textured fabric, subtle layering"
1,Thomas Tait,Spring 2014,Feminine,"White sleeveless top, pink textured shorts",White pumps,"Straight, relaxed","Minimalist, clean","High collar, soft color contrast"
2,Thomas Tait,Spring 2014,Feminine,"White hooded top with neon accents, beige shorts",White pumps,"Loose, sporty","Sporty, modern","Neon details, drawstring hem"
3,Thomas Tait,Spring 2014,Feminine,"White zip-up jacket, white pants",White pumps,"Fitted, sleek","Chic, contemporary","Asymmetrical zippers, monochrome"
