Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rick Owens,Spring 2008,Feminine,White draped sleeveless dress,Black ankle boots,"Loose, flowing","Minimalist, ethereal","Asymmetrical draping, high neckline"
2,Rick Owens,Spring 2008,Feminine,"White layered sleeveless top, white skirt",Black ankle boots,"Loose, layered","Minimalist, ethereal","Layered textures, high neckline"
3,Rick Owens,Spring 2008,Feminine,"Gray cropped top, gray trousers","Black ankle boots, black cuff bracelet","Structured, cropped","Minimalist, modern","Sheer midriff, geometric lines"
1,Rick Owens,Spring 2008,Feminine,"Gray structured top, cropped pants",Black ankle boots,"Boxy, angular","Futuristic, minimalist","High collar, geometric lines"
2,Rick Owens,Spring 2008,Feminine,"Gray sleeveless jacket, layered pants","Black ankle boots, black scarf","Layered, asymmetrical","Futuristic, minimalist","Draped layers, sleek lines"
3,Rick Owens,Spring 2008,Feminine,"Gray structured top, cropped pants",Black ankle boots,"Boxy, angular","Futuristic, minimalist","High collar, geometric lines"
1,Rick Owens,Spring 2008,Feminine,"Gray textured vest, long-sleeve top, loose pants",Black ankle boots,"Relaxed, layered","Futuristic, minimalist","High collar, neutral tones"
2,Rick Owens,Spring 2008,Feminine,"Patterned vest, black turtleneck, cropped pants","Large tote bag, black ankle boots","Relaxed, layered","Futuristic, minimalist","Contrasting textures, oversized bag"
3,Rick Owens,Spring 2008,Feminine,"Patterned jacket, gray scarf, cropped pants",Gray ankle boots,"Relaxed, layered","Futuristic, minimalist","High collar, monochrome palette"
1,Rick Owens,Spring 2021,Feminine,"White asymmetrical knit top, black shorts","Black face mask, white hood","Fitted, layered","Avant-garde, futuristic","Cut-out shoulder, monochrome palette"
2,Rick Owens,Spring 2021,Feminine,"Pink asymmetrical knit top, black shorts","Pink face mask, pink hood","Fitted, layered","Avant-garde, bold","Cut-out shoulder, vibrant color"
3,Rick Owens,Spring 2021,Feminine,"Black one-shoulder top, black shorts","Black face mask, sunglasses","Fitted, sleek","Minimalist, edgy","Monochrome look, asymmetrical design"
1,Rick Owens,Spring 2021,Feminine,"White sleeveless coat, black shorts","Red gloves, pink thigh-high boots, futuristic sunglasses","Oversized, structured","Futuristic, avant-garde","Bold color contrast, strong shoulders"
2,Rick Owens,Spring 2021,Feminine,"Black structured top, sequined shorts","Black face mask, black thigh-high boots","Boxy, fitted","Edgy, modern","Sharp shoulders, high-waisted shorts"
3,Rick Owens,Spring 2021,Feminine,"Black sleeveless coat, black shorts","Black gloves, black thigh-high boots, visor sunglasses","Oversized, elongated","Minimalist, sleek","Monochrome layering, platform boots"
1,Rick Owens,Spring 2021,Feminine,"Black sequined sleeveless coat, black bodysuit",Black face mask,"Long, fitted","Avant-garde, edgy",High platform boots
2,Rick Owens,Spring 2021,Feminine,"Black oversized top, multicolored flowing skirt","White sunglasses, pink face mask","Voluminous, flowing","Futuristic, bold",Pink platform boots
3,Rick Owens,Spring 2021,Feminine,"Black leather coat, black bandeau top, black shorts",Black face mask,"Structured, sleek","Minimalist, modern",High platform boots
1,Rick Owens,Fall 2015,Feminine,"Gray structured top, gray draped skirt",Black boots,"Voluminous, layered","Avant-garde, minimalist","High collar, asymmetrical hem"
2,Rick Owens,Fall 2015,Feminine,"Gray structured top, gray draped skirt",Black boots,"Voluminous, layered","Avant-garde, minimalist","High collar, asymmetrical hem"
3,Rick Owens,Fall 2015,Feminine,"Gray structured top, gray draped skirt","Black boots, metallic face mask","Voluminous, layered","Avant-garde, minimalist","High collar, asymmetrical hem, dramatic face accessory"
1,Rick Owens,Fall 2015,Feminine,"Gray draped top, long skirt",None,"Voluminous, layered","Avant-garde, sculptural","Asymmetrical draping, neutral tones"
2,Rick Owens,Fall 2015,Feminine,"Black textured coat, long skirt",Silver face mask,"A-line, flowing","Futuristic, edgy","Metallic face mask, dark palette"
3,Rick Owens,Fall 2015,Feminine,"Black layered coat, long dress",Gold face mask,"Oversized, elongated","Dramatic, bold","Gold face mask, layered outerwear"
1,Rick Owens,Fall 2015,Feminine,"Dark structured cape, layered skirt",None,"Sculptural, voluminous","Avant-garde, architectural","Dramatic layering, dark palette"
2,Rick Owens,Fall 2015,Feminine,"Patchwork sleeveless top, draped pants",None,"Asymmetrical, loose","Minimalist, textured","Contrasting textures, layered look"
3,Rick Owens,Fall 2015,Feminine,"Patchwork sleeveless top, draped pants",Gold face mask,"Asymmetrical, loose","Minimalist, textured","Gold mask adds theatrical element, contrasting textures"
