Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Saint Laurent,Fall 2012,Feminine,"Black coat with leather lapels, black trousers","Black gloves, black belt","Tailored, structured","Dramatic, gothic","Hooded coat, strong shoulders"
2,Saint Laurent,Fall 2012,Feminine,"Sheer black top, black tailored pants, black jacket","Black gloves, black belt","Tailored, sleek","Edgy, sophisticated","Sheer elements, cinched waist"
3,Saint Laurent,Fall 2012,Feminine,"Black leather pants, black jacket, sheer top","Black gloves, black belt","Tailored, sleek","Edgy, modern","Leather texture, structured shoulders"
1,Saint Laurent,Fall 2012,Feminine,"Black cape with leather lapels, sheer top, black trousers","Black gloves, black pumps","Tailored, structured","Edgy, sophisticated","Strong shoulders, monochrome look"
2,Saint Laurent,Fall 2012,Feminine,"Burgundy leather top, black trousers","Wide black belt, black boots","Tailored, structured","Bold, modern","Rich textures, cinched waist"
3,Saint Laurent,Fall 2012,Feminine,"Black top with fur detail, black trousers","Wide black belt, black boots, cuff bracelet","Tailored, structured","Chic, dramatic","Fur accent, monochrome look"
1,Saint Laurent,Fall 2012,Feminine,"Dark green leather top, black cropped pants","Black belt, black bracelet","Structured, fitted","Edgy, modern","High gloss finish, strong shoulders"
2,Saint Laurent,Fall 2012,Feminine,"Black floral print suit, tailored pants",Black fur stole,"Tailored, sharp","Sophisticated, elegant","Floral accents, deep V-neck"
3,Saint Laurent,Fall 2012,Feminine,Chainmail dress,Black belt,"Fitted, sleek","Futuristic, bold","Metallic sheen, sleeveless design"
1,Saint Laurent,Spring 2012,Feminine,"Patterned coat, black collar",Black shoes,"A-line, oversized","Bold, graphic","Intricate pattern, structured collar"
2,Saint Laurent,Spring 2012,Feminine,"Mint jacket, gray skirt","Gold belt, open-toe shoes","Tailored, flared","Chic, modern","Contrasting textures, subtle elegance"
3,Saint Laurent,Spring 2012,Feminine,"Mint blouse, gray skirt","Wide belt, metallic shoes","Fitted, flared","Elegant, sophisticated","Sheer fabric, bold belt"
1,Saint Laurent,Spring 2012,Feminine,"Mint green jacket, navy top, mint green skirt",Statement belt,"Structured, tailored","Elegant, retro",Bold color contrast with gold shoes
2,Saint Laurent,Spring 2012,Feminine,"Green coat, purple skirt",Gold and blue shoes,"Oversized, flowing","Dramatic, sophisticated",Play on volume and texture
3,Saint Laurent,Spring 2012,Feminine,"Dark green dress, gray scarf",Wide belt,"Fitted, sleek","Chic, modern",Pop of color with pink shoes
1,Saint Laurent,Spring 2012,Feminine,"Gray oversized blazer, navy skirt",Black ankle-strap heels,"Boxy, oversized","Chic, modern","Strong shoulders, minimalist"
2,Saint Laurent,Spring 2012,Feminine,"Green tailored coat, gray blouse",Gold and white shoes,A-line,"Elegant, sophisticated","Contrasting textures, bold color"
3,Saint Laurent,Spring 2012,Feminine,"Gray draped top, gray tailored pants",Black heels,"Slim, tailored","Sleek, contemporary","Deep neckline, monochrome look"
1,Saint Laurent,Spring 2021,Feminine,"Black belted coat, ribbed leggings","Sunglasses, floral brooch","Structured, tailored","Chic, minimalist","High collar, oversized buttons"
2,Saint Laurent,Spring 2021,Feminine,Black sleeveless jumpsuit,Belt with oval buckle,"Fitted, flared","Sophisticated, sleek","High waist, clean lines"
3,Saint Laurent,Spring 2021,Feminine,Black sheer cape dress with feather trim,,"Flowy, voluminous","Dramatic, ethereal","Textured trim, sheer layers"
1,Saint Laurent,Spring 2021,Feminine,White buttoned mini dress,"Black sunglasses, black floral choker","Fitted, structured","Chic, modern","Polka dot tights, monochrome look"
2,Saint Laurent,Spring 2021,Feminine,"Black buttoned coat, black pants",Black floral choker,"Slim, tailored","Minimalist, sleek","Monochrome, androgynous vibe"
3,Saint Laurent,Spring 2021,Feminine,"Black halter top, black pants","Black sunglasses, gold earrings","Fitted, elongated","Sophisticated, bold","Cut-out detail, high boots"
1,Saint Laurent,Spring 2021,Feminine,Black fur-trimmed cape,,"Boxy, oversized","Elegant, luxurious",Focus on texture with fur accents
2,Saint Laurent,Spring 2021,Feminine,Black sheer halter top with fur trim,"Floral earrings, bracelet","Flowy, relaxed","Chic, sophisticated",Sheer fabric adds a delicate touch
3,Saint Laurent,Spring 2021,Feminine,Red knit top and pants,"Gold chain necklace, large earrings","Slim, fitted","Bold, vibrant",Monochrome red for a striking look
1,Saint Laurent,Fall 2016,Feminine,"Black blazer, sheer polka dot blouse, black trousers","Statement earrings, black belt","Tailored, structured","Elegant, dramatic","Ruffled collar, sheer details"
2,Saint Laurent,Fall 2016,Feminine,Black mini dress with deep V-neck,"Silver choker, ear cuffs","Fitted, bold","Edgy, glamorous","Ruffled neckline, high contrast"
3,Saint Laurent,Fall 2016,Feminine,"Black textured top, black trousers","Gold choker, gold bracelets","Structured, angular","Sophisticated, powerful","Wide shoulders, glossy finish"
1,Saint Laurent,Fall 2016,Feminine,"Silver sequin mini dress, black fur vest","Black belt, earrings","Fitted, structured","Glamorous, edgy","Bold shoulders, metallic shine"
2,Saint Laurent,Fall 2016,Feminine,Black leather one-shoulder mini dress,"Black belt, earrings","Fitted, asymmetrical","Dramatic, avant-garde","Ruffled shoulder, sleek leather"
3,Saint Laurent,Fall 2016,Feminine,Black textured mini dress,"Black wide belt, earrings","Fitted, structured","Chic, modern","Strong shoulders, oversized belt"
1,Saint Laurent,Fall 2016,Feminine,One-shoulder mini dress with gold and black sequin pattern,"Wide black belt, silver choker, gold earrings","Fitted, short","Glamorous, bold","Animal print, asymmetric neckline"
2,Saint Laurent,Fall 2016,Feminine,"Striped mini dress, oversized blue fur coat","Large gold belt, statement earrings","Voluminous, structured","Dramatic, luxurious","Bold color contrast, oversized silhouette"
3,Saint Laurent,Fall 2016,Feminine,Black sequined mini dress,"Wide black belt, statement earrings","Fitted, short","Elegant, sophisticated","All-black ensemble, strong shoulders"
1,Saint Laurent,Spring 2014,Feminine,Black mini dress,"Statement necklace, black ankle boots","Fitted, short","Chic, edgy",Emphasis on neckline with bold necklace
2,Saint Laurent,Spring 2014,Feminine,"Striped blazer, white shirt, mini skirt","Black tie, black ankle boots","Structured, tailored","Androgynous, glam",Metallic stripes add a glam touch
3,Saint Laurent,Spring 2014,Feminine,One-shoulder metallic mini dress,Studded heels,"Asymmetrical, fitted","Glamorous, bold",Strong shoulder detail with metallic shine
