Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Reem Acra,Spring 2011,Feminine,"Embellished top, high-waisted wide-leg trousers","Chain necklace, belt","Wide-leg, structured","Elegant, sophisticated","Intricate embellishments, tailored trousers"
2,Reem Acra,Spring 2011,Feminine,Strapless embellished gown,"Bracelet, belt","Fitted, floor-length","Glamorous, art deco","Geometric patterns, metallic accents"
3,Reem Acra,Spring 2011,Feminine,Plunging neckline gown,"Bracelet, belt","Flowy, A-line","Romantic, ethereal","Soft pleats, deep neckline"
1,Reem Acra,Spring 2011,Feminine,Sequined gown,Choker necklace,"Fitted, flowing","Glamorous, elegant","Intricate sequin pattern, deep neckline"
2,Reem Acra,Spring 2011,Feminine,White pleated gown,Layered necklaces with turquoise pendant,"Flowing, empire waist","Bohemian, ethereal","Statement necklace, soft pleats"
3,Reem Acra,Spring 2011,Feminine,"White tank top, high-waisted trousers","Gold belt, pendant necklace","Tailored, wide-leg","Chic, minimal","Bold belt, clean lines"
1,Reem Acra,Spring 2011,Feminine,"Metallic top, cream skirt","Layered necklaces, brown belt",A-line,"Elegant, sophisticated",Textured top with statement necklaces
2,Reem Acra,Spring 2011,Feminine,Metallic sleeveless gown,"Layered necklaces, brown belt",Flowy,"Glamorous, chic",Long gown with intricate patterns
3,Reem Acra,Spring 2011,Feminine,"Multicolored blouse, sheer striped skirt","Green pendant necklace, brown belt",Flowy,"Bohemian, vibrant",Colorful print with sheer elements
1,Reem Acra,Spring 2014,Feminine,Black sequined dress,Black strappy heels,"Fitted, asymmetrical","Glamorous, edgy","Strappy neckline, side lacing"
2,Reem Acra,Spring 2014,Feminine,Gold metallic dress,Black strappy heels,"Draped, fitted","Glamorous, luxurious","Deep V-neck, metallic shine"
3,Reem Acra,Spring 2014,Feminine,Black polka dot dress,Black strappy heels,"Flowy, asymmetrical","Playful, elegant","Halter neckline, sheer overlay"
1,Reem Acra,Spring 2014,Feminine,Black sheer dress with ruffled details,Black strappy sandals,"Flowy, asymmetrical","Ethereal, dramatic","Sheer fabric, textured hair"
2,Reem Acra,Spring 2014,Feminine,Black sheer dress with sequin embellishments,Black strappy sandals,"Fitted, knee-length","Glamorous, bold","Sequins, sheer overlay"
3,Reem Acra,Spring 2014,Feminine,"Black sheer top with sequin details, ruched skirt","Black sunglasses, black strappy sandals","Relaxed, fitted","Chic, modern","Sheer top, statement sunglasses"
1,Reem Acra,Spring 2014,Feminine,"Black sheer blouse, houndstooth dress",Black ankle-strap heels,"Fitted, knee-length","Sheer, patterned","Flowy sleeves, geometric pattern"
2,Reem Acra,Spring 2014,Feminine,Red and black houndstooth dress with polka dot top,Black ankle-strap heels,"Fitted, knee-length","Bold, mixed patterns","Cutout details, halter neckline"
3,Reem Acra,Spring 2014,Feminine,Black and white patterned dress with polka dots,Black ankle-strap heels,"Fitted, knee-length","Graphic, asymmetrical","High slit, mixed prints"
1,Reem Acra,Fall 2007,Feminine,"Velvet blazer, pencil skirt",Brooch with chain,"Tailored, fitted","Elegant, classic","Rich velvet texture, dark color palette"
2,Reem Acra,Fall 2007,Feminine,Satin dress,None,"Straight, simple","Minimalist, sleek","Shiny satin fabric, understated elegance"
3,Reem Acra,Fall 2007,Feminine,"Velvet top, satin skirt",Embellished straps,"Flowing, elongated","Glamorous, sophisticated","Contrast of textures, luxurious feel"
1,Reem Acra,Fall 2007,Feminine,"Green satin dress with embellished straps, black tights",None,"Straight, loose","Elegant, evening wear",Shimmering details on straps
2,Reem Acra,Fall 2007,Feminine,"Gold sequin tunic, green sheer skirt",None,"Layered, flowing","Glamorous, sophisticated",Floral embellishment on shoulder
3,Reem Acra,Fall 2007,Feminine,"Green velvet dress with embellished straps, black tights",None,"Straight, loose","Luxurious, chic",Textured velvet fabric
1,Reem Acra,Fall 2007,Feminine,"Floral print dress, black tights",None,"A-line, flowing","Elegant, floral","Deep V-neckline, cinched waist"
2,Reem Acra,Fall 2007,Feminine,"Yellow velvet dress, black tights",None,"Sheath, fitted","Luxurious, bold","Embellished straps, rich texture"
3,Reem Acra,Fall 2007,Feminine,"Navy velvet dress, black tights",Bracelets,"A-line, flowing","Sophisticated, classic","Long sleeves, high neckline"
