Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Hui,Spring 2024,Feminine,"White floral embroidered coat, white shirt, blue patchwork skirt",White shoes,Structured,"Elegant, Modern, Artistic",Floral embroidery and patchwork details
1,Hui,Spring 2024,Feminine,"White shirt dress, Blue denim jacket with embroidery",White flats,"Oversized jacket, Mini dress","Casual, Chic",Minimalistic with embroidered details
1,Hui,Spring 2024,All,"White oversized shirt, Blue wide-leg embroidered jeans, White structured mini dress","Denim fringe necklace, Small blue handbag",Relaxed and structured,"Eclectic, Modern, Minimalist",Contrasting textures and styles
1,Hui,Spring 2024,Feminine,"White sleeveless top with floral embroidery, White shorts with floral embroidery","White beret with embroidery, White handbag, White shoes","A-line, Tailored","Elegant, Floral, Minimalist",Cohesive floral embroidery theme
1,Hui,Spring 2024,Feminine,"Denim patchwork corset, Cream tulle skirt","Denim handbag, Denim loafers","Fitted bodice, Flared skirt","Eclectic, Feminine, Playful",Mix of textures with denim and tulle
1,Hui,Spring 2024,Feminine,"Denim jacket with patchwork, White embroidered shirt, Cream tulle skirt",None,A-line,"Eclectic, Layered",Mix of textures and patterns
1,Hui,Spring 2024,Feminine,"White embroidered blouse, White embroidered trousers","Yellow handbag, Blue loafers","Loose, Relaxed","Elegant, Minimalist",Subtle floral embroidery adds texture.
1,Hui,Spring 2024,Feminine,White mini dress with floral embroidery,White slip-on shoes,A-line,"Elegant, Minimalist",Subtle floral embroidery adds a delicate touch
1,Hui,Spring 2024,Feminine,White embroidered mini dress,White lace-up sandals,A-line,"Ethereal, Delicate, Romantic",Features floral embroidery and a bow detail
1,Hui,Spring 2024,Feminine,"Sheer sage green tunic with bamboo print, white bib detail, white shorts",Cream loafers,A-line,"Elegant, Minimalist, Nature-inspired",Delicate sheer fabric with botanical motifs
1,Hui,Spring 2024,Feminine,"Peach cropped jacket, Sage green sheer blouse, Peach shorts",White loafers,Relaxed,"Elegant, Soft, Layered",Sheer fabric adds a delicate touch.
1,Hui,Spring 2024,Feminine,"White silk maxi dress with pastel print, spaghetti straps",None,"Flowy, A-line","Elegant, Ethereal, Romantic","Delicate print with a soft, flowing silhouette"
1,Hui,Spring 2024,Feminine,"White silk tunic with pastel embroidery, White silk trousers with pastel embroidery",Pastel beret,"Loose, Flowing","Elegant, Oriental-inspired",Features intricate embroidery and pastel accents
1,Hui,Spring 2024,Feminine,"Beige embroidered coat, Sheer mint green dress",Mint green flats,Relaxed,"Elegant, Sheer, Embroidered","Delicate embroidery adds detail to the soft, flowing silhouette."
1,Hui,Spring 2024,Feminine,"Ivory silk shirt dress with floral print, high slit",White loafers,"Relaxed, flowing","Elegant, minimalist","Subtle floral pattern, luxurious fabric"
1,Hui,Spring 2024,Feminine,"Peach oversized jacket, Mint green sheer ruffled dress",Mint green flats,"A-line, Layered","Romantic, Soft, Elegant",Light and airy with a pastel palette
1,Hui,Spring 2024,Feminine,"Mint green double-breasted blazer, Mint green tailored trousers",Beaded neck accessory,Structured,"Elegant, Minimalist",Soft pastel color palette
1,Hui,Spring 2024,Unisex,"Floral satin bomber jacket, floral satin jogger pants","Matching beret, red scarf","Relaxed, sporty","Floral, sporty, elegant",The look combines casual sportswear with luxurious fabric.
1,Hui,Spring 2024,Feminine,"Floral embroidered blue cape dress, Blue tulle skirt","Red flats, Blue neck scarf","A-line, Layered","Romantic, Playful","Intricate floral embroidery, Vibrant color contrast"
1,Hui,Spring 2024,Feminine,"Brocade coat, matching crop top, high-waisted shorts",Matching handbag,Structured,"Elegant, Monochrome, Textured","Intricate brocade pattern, cohesive color scheme"
1,Hui,Spring 2024,Feminine,"Floral embroidered jacket, red wrap top, mint green pleated skirt","Red beret, red flats",A-line,"Eclectic, Playful, Layered",Mix of textures and vibrant colors
1,Hui,Spring 2024,Androgynous,"Light blue silk embroidered blouse, Light blue silk embroidered trousers, Light blue silk cape",Red necktie,"Relaxed, Flowing","Elegant, Oriental, Luxurious",Intricate embroidery with a cohesive color palette
1,Hui,Spring 2024,Feminine,"Blue floral kimono, blue floral shorts","Blue floral bag, blue strappy sandals","Loose top, fitted shorts","Floral, Elegant, Playful","Light blue with floral pattern, red lining"
1,Hui,Spring 2024,Feminine,"Red blazer, red blouse, red shorts",Red loafers,Tailored,"Monochrome, Chic",Elegant red ensemble with a tailored fit
1,Hui,Spring 2024,Feminine,"Red sleeveless gown, flowing fabric, gathered neckline",None visible,"Loose, flowing","Elegant, bold, minimal",Features subtle floral detail near hem
1,Hui,Spring 2024,Feminine,"Pink embroidered blazer, pink crop top, pink pleated pants","Pink handbag, pink loafers",Structured,"Monochromatic, Elegant",Intricate embroidery details
1,Hui,Spring 2024,Feminine,Pink embroidered mini dress,Pink loafers,"Relaxed, Short","Playful, Romantic","Features intricate embroidery and a soft, flowing fabric."
1,Hui,Spring 2024,Feminine,"Red sleeveless mini dress, pleated, embroidered","Red handbag, red shoes","A-line, loose","Chic, elegant, bold",The vibrant red color and embroidery add a statement to the classic silhouette.
1,Hui,Spring 2024,Feminine,"Pink embroidered maxi dress, flowy fabric",Pink shoulder bag,"Loose, flowing","Romantic, Elegant",Delicate embroidery detail
1,Hui,Spring 2024,Feminine,"Pink satin mini dress, Black embroidered coat","Black necktie, White shoes",A-line,"Romantic, Elegant",Contrast of soft pink with dark outerwear
1,Hui,Spring 2024,Feminine,"Black lace mini dress, Black and gold embroidered kimono jacket",Black flats,Slim,"Elegant, Ornate, Modern",Intricate embroidery on jacket adds a luxurious touch.
1,Hui,Spring 2024,Masculine,"Black oversized blazer, black wide-leg trousers, black fringe top",None,"Oversized, relaxed","Modern, edgy",Minimalist design with a focus on texture and silhouette.
1,Hui,Spring 2024,Feminine,"Black embroidered tunic, Black embroidered shorts",Mint green flats,"Relaxed, A-line","Oriental, Modern, Chic",Intricate embroidery with a modern twist
1,Hui,Spring 2024,Feminine,"Navy sheer blouse, Blue and red geometric patterned skirt","Navy headpiece, Silver rings","A-line, Floor-length","Cultural, Artistic","Bold geometric patterns, Traditional influences"
1,Hui,Spring 2024,Feminine,"Mint green blazer, White embroidered shirt, Mint green tulle skirt",White high-top sneakers,A-line,"Playful, Fresh, Youthful",Casual yet elegant with a pastel palette
