Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Visvim,Fall 2015,Feminine,"Black coat, olive jacket, blue striped shirt",,"Layered, tailored","Casual, layered","Mix of textures, neutral tones"
2,Visvim,Fall 2015,Feminine,"Brown blazer, black top, brown skirt",Beaded necklace,"A-line, relaxed","Bohemian, vintage","Earthy tones, relaxed fit"
3,Visvim,Fall 2015,Feminine,"Brown textured coat, white graphic tee, green pants",Brown belt,"Casual, fitted","Casual, graphic","Textured outerwear, bold graphic tee"
1,Visvim,Fall 2015,Feminine,Navy dress,"Beaded necklace, patterned wide-brim hat",A-line,"Bohemian, artisanal","Handcrafted details, natural materials"
2,Visvim,Fall 2015,Feminine,"Patterned cardigan, white t-shirt, blue jeans",Beaded necklace,Relaxed,"Casual, cozy","Layered knitwear, earthy tones"
3,Visvim,Fall 2015,Feminine,Patterned coat dress,Wide belt,Fit and flare,"Vintage-inspired, eclectic","Bold patterns, structured waist"
1,Visvim,Fall 2015,Feminine,"White t-shirt, blue cardigan, houndstooth coat",Large pendant necklace,"Layered, relaxed","Bohemian, casual","Mix of textures, natural tones"
2,Visvim,Fall 2015,Feminine,"Black blazer, floral skirt","Red scarf, burgundy handbag","A-line, tailored","Vintage-inspired, eclectic","Playful patterns, structured top"
3,Visvim,Fall 2015,Feminine,"White t-shirt, green bomber jacket, blue plaid skirt","Beaded necklace, fur hat","Layered, voluminous","Rustic, eclectic","Mix of prints, earthy colors"
1,Visvim,Spring 2014,Feminine,Denim dress,"Beaded necklace, wide-brim hat","A-line, relaxed","Casual, bohemian","Patchwork details, natural tones"
2,Visvim,Spring 2014,Feminine,Polka dot dress,"Beaded necklace, woven tote bag","Loose, flowing","Relaxed, artisanal","Layered hem, earthy textures"
3,Visvim,Spring 2014,Feminine,"Printed top, shorts, coat",Beaded necklace,"Casual, layered","Eclectic, vintage-inspired","Mix of patterns, casual layering"
1,Visvim,Spring 2014,Feminine,"Red bandana print dress, brown suede jacket",Beige ankle boots,"A-line, relaxed","Bohemian, casual",Patchwork quilt backdrop
2,Visvim,Spring 2014,Feminine,"Striped shirt, denim jacket, beige coat, blue jeans","Brown tote bag, green sneakers","Straight, casual","Layered, casual",Patchwork quilt backdrop
3,Visvim,Spring 2014,Feminine,"Purple polka dot dress, brown suede jacket","Brown hat, brown boots, beaded necklace","A-line, relaxed","Western, bohemian",Patchwork quilt backdrop
1,Visvim,Spring 2014,Feminine,"Crochet sweater, denim jeans","Necklace, belt","Relaxed, casual","Bohemian, laid-back",Fringe details on sweater
2,Visvim,Spring 2014,Feminine,Plaid dress,Necklace,"A-line, relaxed","Casual, playful",Paired with polka dot shoes
3,Visvim,Spring 2014,Feminine,"Jacket, shorts, printed top","Hat, necklace","Casual, relaxed","Bohemian, eclectic",Patchwork detail on jacket
