Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jeremy Scott,Fall 2012,Feminine,"Pink metallic trench coat, patterned bell-bottom pants",Colorful headpiece,"Flared, fitted","Futuristic, playful","Bold colors, shiny textures"
2,Jeremy Scott,Fall 2012,Feminine,"Pink metallic overalls, sheer top with graphic",Pink metallic beret,"Straight, relaxed","Futuristic, eclectic","Layered textures, graphic details"
3,Jeremy Scott,Fall 2012,Masculine,"Sheer top with graphic, pink metallic skirt",Nose chain,"Loose, relaxed","Futuristic, avant-garde","Mix of masculine and feminine elements, bold footwear"
1,Jeremy Scott,Fall 2012,Feminine,"Striped crop top, striped maxi skirt","Colorful face makeup, platform shoes","Fitted, flowing","Playful, vibrant","Bold stripes, colorful palette"
2,Jeremy Scott,Fall 2012,Feminine,Striped maxi dress,"Colorful face makeup, platform shoes","Fitted, elongated","Playful, vibrant","Bold stripes, colorful palette"
3,Jeremy Scott,Fall 2012,Masculine,"Striped cardigan, striped leggings","Striped beanie, striped scarf, colorful face makeup, green boots",Fitted,"Playful, vibrant","Bold stripes, colorful palette"
1,Jeremy Scott,Fall 2012,Feminine,"Striped cardigan, striped leggings",Colorful eye makeup,Fitted,"Playful, vibrant","Bold stripes, colorful palette"
2,Jeremy Scott,Fall 2012,Feminine,Metallic trench coat dress,"Furry pink monster bag, colorful eye makeup",Flared,"Futuristic, whimsical","Metallic sheen, playful accessories"
3,Jeremy Scott,Fall 2012,Masculine,"Metallic jacket, star-patterned pants",Colorful eye makeup,Relaxed,"Bold, eclectic","Star patterns, metallic textures"
1,Jeremy Scott,Fall 2016,Feminine,"Leopard print coat with yellow accents, black fur trim","Yellow handbag, yellow boots","Fitted, mini","Bold, playful","Contrasting colors, animal print"
2,Jeremy Scott,Fall 2016,Feminine,Orange and yellow striped fur coat,"Black handbag, blue boots","A-line, mini","Vibrant, retro","Bold stripes, colorful contrast"
3,Jeremy Scott,Fall 2016,Feminine,Black coat with fur trim,"Yellow and black handbag, yellow boots","Fitted, mini","Chic, edgy","Monochrome with pop of color, textured fur"
1,Jeremy Scott,Fall 2016,Feminine,"Pink and black cow print coat, matching skirt","Pink tote bag, pink and black cow print boots","Fitted, playful","Bold, graphic","Animal print, coordinated accessories"
2,Jeremy Scott,Fall 2016,Feminine,"Black top with leopard print collar, black leather mini skirt","Wide belt, green plush toy, green boots","Slim, edgy","Retro, playful","Contrasting textures, vibrant colors"
3,Jeremy Scott,Fall 2016,Masculine,"Leopard print bomber jacket, guitar print pants",High-top sneakers,"Casual, relaxed","Eclectic, youthful","Mix of patterns, statement outerwear"
1,Jeremy Scott,Fall 2016,Feminine,Guitar print shirt dress,Wide belt,A-line,"Playful, retro","Colorful guitar print, bold belt"
2,Jeremy Scott,Fall 2016,Feminine,One-shoulder mini dress,Wide belt,Bodycon,"Vibrant, edgy","Orange and blue pattern, asymmetrical neckline"
3,Jeremy Scott,Fall 2016,Masculine,"Faux fur jacket, graphic tee, guitar print pants",,Slim,"Bold, eclectic","Bright colors, mixed prints"
1,Jeremy Scott,Fall 2014,Feminine,Red and white fuzzy dress with number 26,Red sneakers,"Straight, fitted","Sporty, playful",Texture resembles sports jersey
2,Jeremy Scott,Fall 2014,Feminine,"White and black fuzzy sweater with number 42, black shorts","White knee-high sneakers, white knee pads","Boxy, oversized","Sporty, edgy","Football-inspired, bold numbers"
3,Jeremy Scott,Fall 2014,Feminine,Blue and black fuzzy dress with number 71,Blue sneakers,"Straight, fitted","Sporty, playful",Texture resembles sports jersey
1,Jeremy Scott,Fall 2014,Masculine,"Red fuzzy sweater with number 42, black patent leather pants",Red boots,"Boxy, fitted","Sporty, bold","Fuzzy texture, sporty number motif"
2,Jeremy Scott,Fall 2014,Feminine,White fuzzy coat with black accents,Black and white knee-high sneaker boots,"Oversized, voluminous","Avant-garde, playful","Fuzzy texture, sneaker-inspired boots"
3,Jeremy Scott,Fall 2014,Feminine,Pink fuzzy long dress with number 46,White open-toe sneaker boots,"Straight, long","Sporty, whimsical","Fuzzy texture, sporty number motif"
1,Jeremy Scott,Fall 2014,Masculine,"Blue and white fuzzy sweater, pink and blue vinyl pants",None,"Fitted, sporty","Playful, retro","Number 28 on sweater, bold color contrast"
2,Jeremy Scott,Fall 2014,Feminine,"Pink and black fuzzy sweater, black lace-up pants",White open-toe boots,"Fitted, edgy","Sporty, punk","Number 86 on sweater, lace-up detail on pants"
3,Jeremy Scott,Fall 2014,Feminine,Green and black striped oversized shirt,None,"Loose, oversized","Graphic, bold","Hypnotic pattern, minimal accessories"
