Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Commission,Spring 2024,Feminine,"Navy oversized blazer, striped shirt, wide-leg jeans",Brown leather bag,"Oversized, relaxed","Casual, androgynous",Layered look with contrasting textures
2,Commission,Spring 2024,Masculine,"Cream oversized blazer, beige shirt, black wide-leg trousers",,"Boxy, relaxed","Minimalist, modern",Neutral tones with subtle detailing
3,Commission,Spring 2024,Feminine,"Dark grey polo shirt, black maxi skirt",Blue sneakers,"Loose, elongated","Casual, contemporary",Asymmetrical skirt design with sporty elements
1,Commission,Spring 2024,Feminine,White slip dress,"Black leather bag, black boots",A-line,"Minimalist, modern","Asymmetrical detail, logo patch"
2,Commission,Spring 2024,Masculine,"Gray zip-up jacket, black wide-leg trousers","Gray scarf, green bag",Relaxed,"Sporty, casual","Contrasting textures, street style influence"
3,Commission,Spring 2024,Feminine,"Brown sleeveless top, tan skirt","Black leather bag, black boots",A-line,"Layered, contemporary","Textured fabrics, asymmetrical skirt"
1,Commission,Spring 2024,Masculine,"Yellow polo shirt, black wide-leg pants",Patterned tote bag,"Relaxed, oversized","Casual, sporty",Contrast stitching on pants
2,Commission,Spring 2024,Feminine,Gray sleeveless dress,Beige small bag,"Straight, fitted","Minimalist, modern",Subtle draping on dress
3,Commission,Spring 2024,Androgynous,"Blue checkered shirt, black wide-leg pants",Patterned tote bag,"Tailored, relaxed","Casual, contemporary",Asymmetrical buttoning on shirt
1,Commission,Fall 2021,Feminine,"Black coat, white turtleneck, black trousers","Glasses, earrings","Structured, longline","Minimalist, modern","High collar detail, monochrome"
2,Commission,Fall 2021,Feminine,"Camel blazer, brown trousers, knit sweater","Long scarf, glasses, earrings","Relaxed, tailored","Layered, cozy","Neutral tones, oversized scarf"
3,Commission,Fall 2021,Feminine,Olive midi dress,"Earrings, bracelet","A-line, cinched waist","Chic, elegant","High collar, button details"
1,Commission,Fall 2021,Feminine,"Printed silk shirt, black wide-leg trousers",Gold earrings,"Relaxed, oversized","Artistic, monochrome","Black and white nature print, long sleeves"
2,Commission,Fall 2021,Feminine,"Black pinstripe blazer, black ribbed skirt, black trousers","Black leather clutch, gold necklace","Layered, structured","Chic, minimalist","Monochrome black, sleek tailoring"
3,Commission,Fall 2021,Feminine,"Gray oversized shirt, black wide-leg trousers",Gold earrings,"Relaxed, oversized","Minimalist, modern","Muted tones, clean lines"
1,Commission,Fall 2021,Feminine,"Brown leather coat, brown leather pants","Glasses, gold earrings, faux fur stole","Fitted, flared","Retro, sophisticated","Monochromatic leather, vintage-inspired"
2,Commission,Fall 2021,Feminine,"Striped sleeveless top, black midi skirt","Glasses, gold necklace",A-line,"Chic, modern","Bold stripes, elegant silhouette"
3,Commission,Fall 2021,Feminine,"White high-neck top, black pants","Gold earrings, gold brooch","Relaxed, tailored","Minimalist, contemporary","Contrasting colors, structured top"
