Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Vivienne Tam,Fall 2008,Feminine,"Beige textured mini dress, black tights",Beige knee-high boots,A-line,"Textured, elegant",Intricate fabric detailing
2,Vivienne Tam,Fall 2008,Feminine,"Purple textured mini dress, silver tights",Black knee-high boots,A-line,"Bold, structured",Strong shoulder emphasis
3,Vivienne Tam,Fall 2008,Feminine,"Graphic print mini dress, black tights, sequined jacket",Black knee-high boots,Fitted,"Graphic, edgy","Bold graphic print, shiny textures"
1,Vivienne Tam,Fall 2008,Feminine,"Patterned mini dress, gray tights",Brown suede boots,"Fitted, structured shoulders","Bold, graphic","Metallic pattern, strong shoulder detail"
2,Vivienne Tam,Fall 2008,Feminine,"Silk blouse, textured mini skirt, black tights",Black platform shoes,"Draped, fitted skirt","Elegant, sophisticated","Shiny silk fabric, intricate skirt texture"
3,Vivienne Tam,Fall 2008,Feminine,"Purple mini dress with floral appliqué, glittery tights",Purple heels,"Fitted, embellished","Romantic, chic","3D floral details, glittery accents"
1,Vivienne Tam,Fall 2008,Feminine,"Black jacket, silk blouse with floral embroidery, black mini skirt",Black knee-high boots,"A-line, layered","Chic, elegant","Contrasting textures, floral details"
2,Vivienne Tam,Fall 2008,Feminine,Gray ruffled dress with floral hem,Black knee-high boots,"Straight, structured","Sophisticated, classic","Ruffle neckline, subtle floral pattern"
3,Vivienne Tam,Fall 2008,Feminine,Blue floral coat-dress,Black knee-high boots,"Tailored, fitted","Bold, modern","Strong shoulders, dark floral print"
1,Vivienne Tam,Spring 2022,Feminine,"Denim dress, printed long-sleeve top","Sunglasses, crossbody bag",Fitted,"Playful, colorful","Graffiti-inspired text, vibrant colors"
2,Vivienne Tam,Spring 2022,Masculine,"Embroidered denim jacket, black t-shirt, wide-leg jeans","Sunglasses, necklace",Relaxed,"Casual, streetwear","Patchwork details, oversized fit"
3,Vivienne Tam,Spring 2022,Feminine,"Cropped denim jacket, printed top, high-waisted jeans",Belt,Structured,"Edgy, urban","Studded details, graphic prints"
1,Vivienne Tam,Spring 2022,Masculine,"Multicolored patterned tunic, matching leggings","Black bucket hat, large pendant necklace","Loose, layered","Vibrant, eclectic","Bold patterns, street style influence"
2,Vivienne Tam,Spring 2022,Feminine,"Black top, patterned jacket, shorts",Patterned cap,"Casual, sporty","Athleisure, modern","Functional design, relaxed fit"
3,Vivienne Tam,Spring 2022,Masculine,"Red plaid shorts, red graphic tee, denim jacket","Plaid bucket hat, plaid scarf","Relaxed, oversized","Casual, urban","Plaid pattern, mix of textures"
1,Vivienne Tam,Spring 2022,Gender Neutral,"Red printed cardigan, patterned blouse, plaid skirt","Red sunglasses, red tote bag","Layered, relaxed","Playful, vibrant","Mix of prints, bold colors"
2,Vivienne Tam,Spring 2022,Gender Neutral,"Red hoodie, plaid wide-leg pants","Large red tote bag, statement earrings","Casual, oversized","Sporty, streetwear","Graphic text, relaxed fit"
3,Vivienne Tam,Spring 2022,Gender Neutral,"Plaid crop top, plaid high-waisted pants","Red tote bag, matching face mask","Tailored, sleek","Coordinated, modern","Matching set, bold plaid pattern"
1,Vivienne Tam,Fall 2009,Feminine,"Red quilted coat, red printed dress","Black tights, purple heels","Structured, A-line","Bold, textured","Faux fur collar, vibrant red tones"
2,Vivienne Tam,Fall 2009,Feminine,Purple and black layered dress,"Black tights, purple heels","Straight, layered","Playful, artistic","Sheer overlay, abstract pattern"
3,Vivienne Tam,Fall 2009,Feminine,Red satin dress,"Black tights, black heels","Fitted, pencil","Elegant, sophisticated","Asymmetrical neckline, glossy finish"
1,Vivienne Tam,Fall 2009,Feminine,"Red and pink one-shoulder dress, black tights",Red heels,"Asymmetrical, draped","Bold, elegant","Satin finish, vibrant color"
2,Vivienne Tam,Fall 2009,Feminine,"Purple textured top, red pencil skirt, black tights",Red heels,"Fitted, structured","Chic, modern","Textured top, contrasting colors"
3,Vivienne Tam,Fall 2009,Feminine,"Purple textured dress, red belt, black tights",Purple heels,"Fitted, sleek","Sophisticated, contemporary","Textured fabric, bold belt"
1,Vivienne Tam,Fall 2009,Feminine,"Red textured sleeveless top, purple ruffled skirt",Silver belt,A-line,"Textured, vibrant","Contrasting textures, bold color mix"
2,Vivienne Tam,Fall 2009,Feminine,"Red tailored jacket, matching skirt",,Structured,"Classic, tailored","Monochrome look, strong shoulders"
3,Vivienne Tam,Fall 2009,Feminine,Teal strapless dress,,Fitted,"Elegant, modern","Satin finish, asymmetrical detail"
1,Vivienne Tam,Spring 2016,Feminine,"Striped strapless top, striped wide-leg pants",Slip-on sneakers,"Relaxed, flowy","Casual, modern","Ruffle detail on top, monochrome stripes"
2,Vivienne Tam,Spring 2016,Feminine,Striped wrap dress with ruffled sleeves,Slip-on sneakers,"A-line, relaxed","Casual, modern","Large floral applique, monochrome stripes"
3,Vivienne Tam,Spring 2016,Masculine,"Short-sleeve shirt with ruffle detail, cropped pants",Slip-on sneakers,"Straight, relaxed","Casual, modern","Mesh panel on shirt, monochrome look"
1,Vivienne Tam,Spring 2016,Feminine,"Striped jumpsuit with floral embroidery, white collar",,"Relaxed, straight","Casual, contemporary",Monochrome stripes with floral details
2,Vivienne Tam,Spring 2016,Feminine,Black sleeveless dress with graphic print,,A-line,"Minimalist, graphic",Bold graphic print on the front
3,Vivienne Tam,Spring 2016,Feminine,Mesh dress with floral appliqué,,A-line,"Textured, playful",Mesh overlay with contrasting floral appliqué
1,Vivienne Tam,Spring 2016,Feminine,"Black and white embroidered bomber jacket, polka dot shirt, ruffled skirt",,"Layered, relaxed","Graphic, sporty","Mix of patterns, monochrome palette"
2,Vivienne Tam,Spring 2016,Feminine,White sleeveless dress with red graphic print,,"A-line, fitted","Casual, artistic","Bold graphic print, minimal accessories"
3,Vivienne Tam,Spring 2016,Feminine,"Mesh bomber jacket, printed dress",,"Layered, structured","Graphic, contemporary","Mesh texture, bold face print"
1,Vivienne Tam,Spring 2015,Feminine,White mini dress with mesh sleeves,"Small clutch, platform sandals",A-line,"Modern, minimal","Keyhole neckline, sporty elements"
2,Vivienne Tam,Spring 2015,Feminine,White mini dress,"Blue shoulder bag, platform sandals",A-line,"Chic, clean","Subtle texture, contrast bag"
3,Vivienne Tam,Spring 2015,Feminine,"Striped blouse, embroidered skirt","Two-tone shoulder bag, platform sandals",Straight,"Eclectic, artistic","Floral embroidery, mixed patterns"
1,Vivienne Tam,Spring 2015,Feminine,White sleeveless dress with floral embroidery,Black and white sandals,A-line,"Floral, embroidered",Bamboo and floral motifs
2,Vivienne Tam,Spring 2015,Feminine,"Mesh top with bird and floral embroidery, striped shorts","White sandals, clutch",Relaxed,"Layered, casual",Bird and floral motifs
3,Vivienne Tam,Spring 2015,Feminine,Striped and floral dress,"Beige tote, black and white sandals",A-line,"Mixed patterns, embroidered",Bamboo and floral motifs
1,Vivienne Tam,Spring 2015,Feminine,"Embroidered jacket, red top, floral shorts",Strappy sandals,"Casual, relaxed","Floral, sporty","Mix of textures, vibrant colors"
2,Vivienne Tam,Spring 2015,Feminine,"Floral tunic, matching shorts",Strappy sandals,"Loose, comfortable","Botanical, coordinated","All-over print, easy fit"
3,Vivienne Tam,Spring 2015,Feminine,Embroidered maxi dress,Minimal accessories,"Flowy, elegant","Ornate, detailed","Intricate embroidery, nature motifs"
