Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Versus Versace,Spring 2010,Feminine,Black mini dress with cutouts,"Black crossbody bag, black high-heeled sandals","Fitted, short","Edgy, youthful",Embellished with colorful details
2,Versus Versace,Spring 2010,Feminine,Black dress with lace panels,"Black studded bag, black ankle boots","A-line, short","Chic, modern","Sheer elements, chain details"
3,Versus Versace,Spring 2010,Feminine,Black asymmetric dress with pleats,Black fringed high-heeled sandals,"Draped, fitted","Sophisticated, bold","Cutout design, pleated skirt"
1,Versus Versace,Spring 2010,Feminine,Black mini dress with asymmetric straps,Black strappy sandals with chain detail,"A-line, fitted bodice","Edgy, youthful",Playful use of straps and chains
2,Versus Versace,Spring 2010,Feminine,"Black blazer, black mini skirt","Black sunglasses, black bag with colorful zippers, black ankle boots","Tailored, structured","Chic, modern","Safety pin details on blazer, bold accessories"
3,Versus Versace,Spring 2010,Feminine,Black cut-out mini dress with lace details,Black strappy sandals with chain detail,"A-line, fitted bodice","Elegant, daring",Lace and cut-out details add texture and intrigue
1,Versus Versace,Spring 2010,Feminine,"Metallic mesh top, black mini skirt","Black sunglasses, black leather bag","Slim, fitted","Edgy, modern","Safety pin details on skirt, sheer sleeves"
2,Versus Versace,Spring 2010,Feminine,Black lace dress,Strappy black heels,"A-line, fitted","Elegant, chic",Lace detailing on shoulders and hem
3,Versus Versace,Spring 2010,Feminine,Black dress with lace inserts,Black open-toe heels,"A-line, fitted","Sophisticated, stylish",Lace cutouts on sides and neckline
1,Versus Versace,Spring 2016,Feminine,"Black buttoned jacket, navy pants",Black strappy sandals,"Tailored, slim","Chic, modern",Metallic button details
2,Versus Versace,Spring 2016,Feminine,"Black asymmetrical jacket, navy mini skirt",Black strappy sandals,"Structured, fitted","Contemporary, sleek",Double-breasted button design
3,Versus Versace,Spring 2016,Feminine,"Black bomber jacket, navy shorts",Black strappy sandals,"Casual, relaxed","Sporty, edgy",Minimalist with zipper detail
1,Versus Versace,Spring 2016,Masculine,"Navy bomber jacket, navy pants",Black bag,"Relaxed, sporty","Casual, athletic",Logo detail on jacket
2,Versus Versace,Spring 2016,Masculine,"Black sleeveless blazer, black shirt, black pants",Earrings,"Slim, tailored","Edgy, modern",Suspenders as accessory
3,Versus Versace,Spring 2016,Masculine,"Black sleeveless shirt, black pants",None,"Relaxed, casual","Urban, contemporary",Tattoo visibility adds edge
1,Versus Versace,Spring 2016,Masculine,"Black trench coat, black shorts",Black boots,"Structured, tailored","Minimalist, edgy",Monochrome look with metallic details
2,Versus Versace,Spring 2016,Feminine,"Black blazer, black shorts",Black strappy sandals,"Tailored, sleek","Chic, modern",Minimalist with a focus on sharp tailoring
3,Versus Versace,Spring 2016,Feminine,"Black double-breasted blazer, black trousers","Black clutch, black strappy sandals","Tailored, elongated","Sophisticated, sleek",Monochrome with a focus on structure and elegance
