Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Dolce & Gabbana,Fall 2021,Feminine,"Holographic dress, clear plastic overlay","Blue metallic gloves, blue metallic boots","Fitted, layered","Futuristic, colorful","Rainbow hair, bold makeup"
2,Dolce & Gabbana,Fall 2021,Feminine,"Color-blocked mini dress, embellished skirt","Pearl necklace, visor, blue gloves, purple bag","A-line, structured","Playful, vibrant","Mix of textures, statement accessories"
3,Dolce & Gabbana,Fall 2021,Feminine,"Striped holographic top, matching pants","Oversized sunglasses, black gloves, black bag","Relaxed, oversized","Edgy, eclectic","Layered chains, bold patterns"
1,Dolce & Gabbana,Fall 2021,Gender Neutral,"Colorful printed jacket, matching pants","White bag, white visor","Relaxed, oversized","Futuristic, vibrant","Digital print, sporty elements"
2,Dolce & Gabbana,Fall 2021,Feminine,"Yellow sheer top, sequin bralette, printed pants","Yellow clutch, chain belt","Slim, fitted","Eclectic, bold","Layered textures, bright colors"
3,Dolce & Gabbana,Fall 2021,Masculine,"Graphic t-shirt, metallic pants, colorful fur coat","White boots, choker","Layered, voluminous","Avant-garde, statement","Mix of textures, bold prints"
1,Dolce & Gabbana,Fall 2021,Feminine,"Metallic top, black pants","Pink handbag, sunglasses, jeweled headpiece","Structured, fitted","Futuristic, bold","High-shine metallics, bold accessories"
2,Dolce & Gabbana,Fall 2021,Feminine,"Oversized puffer coat, black leggings",Clear glasses,"Voluminous, oversized","Avant-garde, colorful","Layered textures, vibrant colors"
3,Dolce & Gabbana,Fall 2021,Feminine,"Metallic top, black mini skirt","Gold handbag, beaded headpiece, layered necklaces","A-line, fitted","Glamorous, eclectic","Rich embellishments, mix of textures"
1,Dolce & Gabbana,Spring 2013,Feminine,Printed midi dress,"Headscarf, statement earrings","Fitted, structured","Vibrant, artistic","Medieval-inspired print, bold colors"
2,Dolce & Gabbana,Spring 2013,Feminine,Crochet mini dress,"Headscarf, statement earrings, tote bag","Fitted, playful","Colorful, bohemian","Crochet texture, playful patterns"
3,Dolce & Gabbana,Spring 2013,Feminine,Printed midi dress,"Headscarf, statement earrings","A-line, flowing","Vibrant, artistic","Historical print, voluminous skirt"
1,Dolce & Gabbana,Spring 2013,Feminine,"Red and white striped top, high-waisted shorts","Colorful earrings, patterned handbag, headscarf","Fitted, playful","Mediterranean, vibrant","Bold stripes, beach-inspired"
2,Dolce & Gabbana,Spring 2013,Feminine,Printed dress with medieval motif,"Colorful earrings, headscarf","Structured, artistic","Cultural, eclectic","Intricate print, historical references"
3,Dolce & Gabbana,Spring 2013,Feminine,"Black and white striped top, high-waisted shorts","Patterned handbag, colorful earrings, headscarf","Fitted, graphic","Monochrome, bold","Classic stripes, modern twist"
1,Dolce & Gabbana,Spring 2013,Feminine,Printed tunic dress,"Colorful headband, red tassel earrings, woven handbag","Straight, relaxed","Vibrant, artistic","Medieval knight print, bold colors"
2,Dolce & Gabbana,Spring 2013,Feminine,"Striped top, striped shorts","Colorful headband, red tassel earrings, patterned handbag","Boxy, structured","Monochrome, graphic","Black and white stripes, playful accessories"
3,Dolce & Gabbana,Spring 2013,Feminine,"Printed oversized top, printed shorts","Colorful headband, red tassel earrings","Loose, oversized","Vibrant, artistic","Medieval knight print, bold colors"
