Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Carolina Herrera,Fall 2008,Feminine,"Plaid cape, yellow turtleneck, plaid pants",Feathered hat,Structured,"Chic, tailored",Layered plaid with bold hat
2,Carolina Herrera,Fall 2008,Feminine,"Fur vest, plaid vest, printed blouse, black pants",,Fitted,"Eclectic, layered",Mix of textures and patterns
3,Carolina Herrera,Fall 2008,Feminine,Sleeveless dress with gradient squares,Feathered hat,A-line,"Artistic, bold",Graphic print with gradient effect
1,Carolina Herrera,Fall 2008,Feminine,"Gold patterned dress, black fur jacket",,"Fitted, layered","Elegant, textured",Rich textures with fur and intricate patterns
2,Carolina Herrera,Fall 2008,Feminine,Brown sheer gown with feathered neckline,,"Flowy, ethereal","Romantic, dramatic",Feather details add drama to the sheer gown
3,Carolina Herrera,Fall 2008,Feminine,"Patterned blouse, blue vest, velvet pants",Patterned hat,"Tailored, layered","Chic, eclectic",Mix of textures with a tailored silhouette
1,Carolina Herrera,Spring 2022,Feminine,Black and white striped mini dress,"Large pearl hoop earrings, polka dot shoes",A-line,"Bold, graphic","Contrasting stripes, playful elegance"
2,Carolina Herrera,Spring 2022,Feminine,Black jumpsuit with ruffled shoulders,Black pointed heels,Fitted,"Dramatic, structured","Ruffled sleeves, deep V-neck"
3,Carolina Herrera,Spring 2022,Feminine,White bubble dress with sequins and black bow,"Floral statement earrings, black heels",Voluminous,"Whimsical, glamorous","Sequin embellishments, oversized bow"
1,Carolina Herrera,Spring 2022,Feminine,"White blouse with floral appliqué, black high-waisted pants",Black headband,"Structured, voluminous","Elegant, monochrome","Dramatic sleeves, floral details"
2,Carolina Herrera,Spring 2022,Feminine,White strapless gown with black floral patterns,Large pearl hoop earrings,Ballgown,"Classic, bold","Black and white contrast, intricate patterns"
3,Carolina Herrera,Spring 2022,Feminine,Black and white tiered tulle gown,Large pearl hoop earrings,"Voluminous, layered","Dramatic, romantic","Tiered layers, halter neckline"
1,Carolina Herrera,Spring 2022,Feminine,Black and white strapless gown,Large pearl hoop earrings,"A-line, voluminous","Bold, elegant","Striped pattern, dramatic flair"
2,Carolina Herrera,Spring 2022,Feminine,Black dress with white ruffled sleeves,Pointed black and white heels,"Fitted, structured","Chic, sophisticated","Contrasting sleeves, modern elegance"
3,Carolina Herrera,Spring 2022,Feminine,"White blouse, black shorts",Black cutout shoes,"Relaxed, tailored","Classic, refined","Bow detail on blouse, monochrome look"
1,Carolina Herrera,Fall 2012,Feminine,"Navy jacket with fur sleeves, black turtleneck, navy skirt",Black belt,"Structured, fitted","Elegant, sophisticated",Fur detailing on sleeves
2,Carolina Herrera,Fall 2012,Feminine,"Navy coat with fur trim, black turtleneck, black pants",None,"Long, tailored","Chic, luxurious",Fur trim adds texture
3,Carolina Herrera,Fall 2012,Feminine,"Navy cape, patterned high-neck top, navy skirt",None,"Fitted, layered","Modern, polished",High-neck adds drama
1,Carolina Herrera,Fall 2012,Feminine,"Navy dress, black scarf","Black gloves, brooch",A-line,"Elegant, classic","Structured shoulders, monochrome"
2,Carolina Herrera,Fall 2012,Feminine,"Navy top, navy trousers, feathered detail",Bracelet,Slim,"Chic, sophisticated","Feather embellishment, sleek lines"
3,Carolina Herrera,Fall 2012,Feminine,"Navy blouse, black textured dress",Brooch,A-line,"Timeless, refined","Textured fabric, voluminous sleeves"
1,Carolina Herrera,Fall 2012,Feminine,"Black textured sweater, embellished pencil skirt","Black gloves, black tights, ankle boots","Fitted, streamlined","Elegant, sophisticated","Textured fabric, subtle embellishments"
2,Carolina Herrera,Fall 2012,Feminine,Striped sequin dress,"Wide headband, black tights, ankle boots","Fitted, knee-length","Chic, modern","Striped pattern, sequin detailing"
3,Carolina Herrera,Fall 2012,Feminine,"Black textured coat, embellished dress","Wide headband, black tights, pumps","Structured, layered","Classic, refined","Textured coat, layered look"
