Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Iris van Herpen,Fall 2010,Feminine,Sculptural dress with intricate cutouts,High platform shoes,"Futuristic, avant-garde","Innovative, architectural","Complex textures, bold shapes"
2,Iris van Herpen,Fall 2010,Feminine,Sculptural dress with wing-like extensions,"High platform shoes, sculptural eyewear","Futuristic, avant-garde","Innovative, architectural","Complex textures, bold shapes"
3,Iris van Herpen,Fall 2010,Feminine,Sheer halter dress with intricate detailing,High platform shoes,"Flowing, ethereal","Innovative, architectural","Delicate textures, fluid movement"
1,Iris van Herpen,Fall 2010,Feminine,Black sculptural mini dress,Black and gold platform shoes,"Fitted, exaggerated shoulders","Avant-garde, futuristic","Intricate detailing, bold structure"
2,Iris van Herpen,Fall 2010,Feminine,Beige textured mini dress,Beige and gold platform shoes,"Fitted, halter neck","Avant-garde, organic","Detailed texture, sculptural elements"
3,Iris van Herpen,Fall 2010,Feminine,Beige sculptural top and skirt,Black and gold platform shoes,"Voluminous, structured","Avant-garde, architectural","Complex layering, bold shapes"
1,Iris van Herpen,Fall 2010,Feminine,Sculptural mini dress,Platform ankle boots,"Fitted, exaggerated shoulders","Futuristic, avant-garde","Intricate detailing, metallic sheen"
2,Iris van Herpen,Fall 2010,Masculine,"Sculptural jacket, mini skirt",Platform ankle boots,"Fitted, structured","Futuristic, avant-garde","Textured material, glossy finish"
3,Iris van Herpen,Fall 2010,Feminine,Halter neck dress,Platform ankle boots,"Slim, fluid","Futuristic, avant-garde","Metallic accents, flowing lines"
1,Iris van Herpen,Spring 2015,Feminine,"Black dress, structured bodice",Textured black heels,"Fitted, sculptural","Futuristic, avant-garde","Glossy texture, minimal accessories"
2,Iris van Herpen,Spring 2015,Feminine,Black deep V-neck dress,Textured black heels,"Fitted, sculptural","Futuristic, avant-garde","Cut-out details, minimal accessories"
3,Iris van Herpen,Spring 2015,Feminine,"Black top, structured skirt",Textured black heels,"Fitted, sculptural","Futuristic, avant-garde","Glossy texture, minimal accessories"
1,Iris van Herpen,Spring 2015,Feminine,"Black crop top with sheer detailing, black high-waisted pants",,"Fitted, sleek","Futuristic, edgy","Intricate textures, cut-out details"
2,Iris van Herpen,Spring 2015,Feminine,Black and blue structured dress with cut-out details,,"Sculptural, form-fitting","Avant-garde, architectural","High-shine finish, geometric shapes"
3,Iris van Herpen,Spring 2015,Feminine,Black deep V-neck jumpsuit with textured waist,,"Fitted, elongated","Minimalist, modern","Plunging neckline, sleek lines"
1,Iris van Herpen,Spring 2015,Feminine,Black strapless dress with 3D embellishments,Black textured heels,"Fitted, knee-length","Avant-garde, textured","Intricate 3D details, side slit"
2,Iris van Herpen,Spring 2015,Feminine,Black structured dress with zipper,"Black textured heels, black choker","Structured, knee-length","Minimalist, modern","Voluminous sleeves, front slit"
3,Iris van Herpen,Spring 2015,Feminine,Black lattice mini dress,Black textured heels,"Flared, mini","Futuristic, sculptural","Open lattice design, high neckline"
1,Iris van Herpen,Spring 2014,Feminine,Black reflective coat dress,Black lace-up boots,"A-line, cinched waist","Futuristic, sleek","Reflective material, minimalistic design"
2,Iris van Herpen,Spring 2014,Feminine,"Black reflective cropped jacket, black reflective wide-leg pants",Black shoes,"Boxy top, flowy pants","Futuristic, sleek","Reflective material, cropped silhouette"
3,Iris van Herpen,Spring 2014,Feminine,"Black embossed vest, pleated maxi skirt",Black shoes,"Fitted top, voluminous skirt","Futuristic, textured","Embossed detailing, pleated texture"
1,Iris van Herpen,Spring 2014,Feminine,Black halter-neck gown,Black boots,"Flowy, cinched waist","Futuristic, elegant","Metallic sheen, intricate waist detailing"
2,Iris van Herpen,Spring 2014,Feminine,Black structured dress with sheer elements,Black boots,"Fitted, sculptural","Avant-garde, architectural","Geometric patterns, high-tech materials"
3,Iris van Herpen,Spring 2014,Feminine,Black sleeveless dress with embellishments,Black boots,"Straight, knee-length","Chic, minimalistic","Subtle embroidery, sleek design"
1,Iris van Herpen,Spring 2014,Feminine,Black sculptural mini dress,Black combat boots,"Fitted, sculptural","Futuristic, avant-garde","Intricate detailing, high-tech materials"
2,Iris van Herpen,Spring 2014,Feminine,"Black textured jacket, black sculptural skirt",Black combat boots,"Structured, layered","Futuristic, avant-garde","Textured fabrics, intricate patterns"
3,Iris van Herpen,Spring 2014,Feminine,"Black sculptural crop top, black sculptural skirt",Black combat boots,"Fitted, sculptural","Futuristic, avant-garde","Sheer elements, intricate detailing"
