Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Matthew Williamson,Spring 2009,Feminine,"Coral mini dress, beige trench coat","Silver strappy heels, clutch","Fitted, layered","Chic, vibrant","Playful use of color, glossy outerwear"
2,Matthew Williamson,Spring 2009,Feminine,"Red cropped jacket, pink top, red mini skirt","Pink heels, statement necklace","Structured, bold","Color-blocking, modern","Strong color contrast, tailored pieces"
3,Matthew Williamson,Spring 2009,Feminine,"Pink tunic, matching shorts, long cardigan","Silver strappy heels, statement necklace","Relaxed, layered","Casual, colorful","Effortless layering, bright tones"
1,Matthew Williamson,Spring 2009,Feminine,Coral strapless mini dress,Pink strappy heels,"Fitted, hourglass","Vibrant, youthful","Embellished pockets, playful color"
2,Matthew Williamson,Spring 2009,Feminine,"Yellow patterned blazer, white top, yellow pants","White platform sandals, statement necklace","Tailored, slim","Chic, modern","Geometric pattern, bold color"
3,Matthew Williamson,Spring 2009,Feminine,"Coral patterned jacket, white blouse, coral pants",Pink strappy heels,"Structured, sleek","Sophisticated, vibrant","Matching set, star pattern"
1,Matthew Williamson,Fall 2014,Feminine,"Light blue double-breasted coat, red polka dot scarf",Yellow lace-up boots,"Tailored, structured","Chic, bold","Contrasting colors, classic tailoring"
2,Matthew Williamson,Fall 2014,Feminine,"Black embellished sweater, black and white striped skirt",Sparkly ankle boots,"Relaxed, fitted","Playful, eclectic","Mix of textures, statement embellishments"
3,Matthew Williamson,Fall 2014,Feminine,"Navy double-breasted coat with white embroidery, black polka dot scarf",Black lace-up boots with white laces,"Tailored, structured","Elegant, sophisticated","Embroidered details, monochrome palette"
1,Matthew Williamson,Fall 2014,Feminine,"Black sleeveless dress, blue patterned panel","Embellished collar, lace-up boots",A-line,"Chic, modern","Contrasting panel, embellished details"
2,Matthew Williamson,Fall 2014,Feminine,"Blue off-shoulder top, matching high-waisted pants",Lace-up boots,Fitted,"Bold, patterned","All-over print, structured fit"
3,Matthew Williamson,Fall 2014,Feminine,"Red strapless dress, floral pattern","Fur accents, lace-up boots","Mini, fitted","Playful, vibrant","Fur details, bold print"
1,Matthew Williamson,Fall 2014,Feminine,"Blue patterned jacket, matching skirt",Light blue handbag,"Tailored, structured","Playful, retro","Circular patterns, coordinated set"
2,Matthew Williamson,Fall 2014,Feminine,Red off-shoulder patterned dress,Black and white ankle boots,"Fitted, bodycon","Bold, glamorous","Off-shoulder neckline, embellished details"
3,Matthew Williamson,Fall 2014,Feminine,Blue patterned dress with embellishments,Black lace-up boots,"Fitted, ruched","Elegant, detailed","Intricate embellishments, ruched fabric"
