Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sunnei,Fall 2022,Feminine,"Red and purple color-blocked bodysuit, black skirt, black pants","Red headband, large earrings, oversized bag","Fitted top, flared pants","Sporty, dynamic","Contrasting colors, athletic influence"
2,Sunnei,Fall 2022,Feminine,"Patterned sweater, black wide-leg pants","Yellow knit headband, large earrings, red backpack","Relaxed, oversized","Eclectic, layered","Textured knit, bold patterns"
3,Sunnei,Fall 2022,Feminine,"Chunky knit top, navy pants",White headband,"Voluminous top, straight-leg pants","Avant-garde, textured","Bold knitwear, sculptural elements"
1,Sunnei,Fall 2022,Masculine,"Gray overcoat, striped sweater, wide-leg trousers",Blue platform shoes,"Oversized, flowing","Casual, modern","Playful layering, bold footwear"
2,Sunnei,Fall 2022,Feminine,"Studded top, pleated skirt","Studded headband, lace-up boots","Fitted, structured","Edgy, contemporary","Textured embellishments, asymmetrical design"
3,Sunnei,Fall 2022,Feminine,"Black pleated dress, ribbed sweater","Colorful knit hat, textured backpack","Voluminous, layered","Avant-garde, eclectic","Bold textures, playful accessories"
1,Sunnei,Fall 2022,Masculine,"Gray sleeveless blazer, pink long-sleeve top, gray pants",,"Relaxed, layered","Modern, sporty","Contrasting colors, sleek lines"
2,Sunnei,Fall 2022,Feminine,"Gray long dress, gray pants","Red headband, green bag, polka dot gloves","Flowy, layered","Avant-garde, eclectic","Bold accessories, textured fabric"
3,Sunnei,Fall 2022,Feminine,"Red coat, red bodysuit","White headband, red gloves, orange boots","Fitted, streamlined","Bold, vibrant","Monochrome look, contrasting textures"
1,Sunnei,Spring 2021,Feminine,"Beige strapless dress, white trousers","Chunky necklace, gold earrings","Loose, layered","Minimalist, casual","Neutral tones, relaxed fit"
2,Sunnei,Spring 2021,Feminine,"White blazer, white crop top, checkered trousers","Large red and blue bag, colorful earrings","Boxy, oversized","Modern, eclectic","Bold accessories, mixed patterns"
3,Sunnei,Spring 2021,Feminine,"Navy striped dress, cropped trousers",White floral earrings,"A-line, structured","Chic, sophisticated","Monochrome look, textured fabric"
1,Sunnei,Spring 2021,Masculine,"Beige suit, beige top",Colorful boots,"Relaxed, straight","Casual, modern","Playful footwear, monochrome suit"
2,Sunnei,Spring 2021,Feminine,"Cream dress with brown trim, gathered skirt",Colorful ring,"Loose, flowing","Minimalist, layered","Contrasting trims, voluminous skirt"
3,Sunnei,Spring 2021,Masculine,"Gray sleeveless top, white pants","Blue checkered bag, red studded shoes","Relaxed, straight","Casual, eclectic","Textured bag, bold footwear"
1,Sunnei,Spring 2021,Masculine,"Plaid tunic, gray trousers",Pearl-studded shoes,"Relaxed, oversized","Eclectic, layered","Mixed plaid patterns, statement footwear"
2,Sunnei,Spring 2021,Feminine,"Burgundy leather coat, denim trousers",Black shoes,"Long, structured","Edgy, sophisticated","Leather texture, contrasting denim"
3,Sunnei,Spring 2021,Feminine,"Black blazer, burgundy crop top, black trousers","Large blue bag, white sandals","Casual, relaxed","Modern, minimal","Bold color contrast, oversized bag"
