Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chloé,Fall 2009,Feminine,"Tan oversized coat, gray shirt, beige trousers",Brown belt,"Oversized, relaxed","Layered, earthy","Contrasting textures, neutral palette"
2,Chloé,Fall 2009,Feminine,"Gray button-up blouse, olive trousers",Red belt,"Relaxed, tapered","Military-inspired, chic","Gold button details, cinched waist"
3,Chloé,Fall 2009,Feminine,"Camel coat, gray trousers",Brown belt,"Structured, tailored","Minimalist, classic","Clean lines, muted colors"
1,Chloé,Fall 2009,Feminine,"Striped cape, khaki shirt, leather shorts",None visible,"Layered, voluminous","Casual, chic","Over-the-knee boots, earthy tones"
2,Chloé,Fall 2009,Feminine,High-neck jumpsuit,Large leather tote,"Relaxed, cinched waist","Minimalist, utilitarian","Rolled sleeves, neutral palette"
3,Chloé,Fall 2009,Feminine,"Belted coat, cuffed trousers",None visible,"Structured, tailored","Classic, sophisticated","Contrasting belt, warm tones"
1,Chloé,Fall 2009,Feminine,"Gray ruffled blouse, brown high-waisted shorts",Large black tote,"Relaxed, voluminous","Casual, chic","Earth tones, ruffle detail"
2,Chloé,Fall 2009,Feminine,Beige belted jumpsuit,,"Loose, flowing","Effortless, elegant","Monochrome, tassel belt"
3,Chloé,Fall 2009,Feminine,"Black oversized coat, gray trousers",,"Structured, oversized","Sophisticated, modern","Gold button accents, tailored fit"
1,Chloé,Spring 2009,Feminine,"Yellow scalloped coat, tan top, orange shorts",Beige sandals,"A-line, relaxed","Playful, youthful","Scalloped edges, pastel colors"
2,Chloé,Spring 2009,Feminine,White one-shoulder dress,Yellow sandals,"Fitted, elegant","Minimalist, chic","Ruffled neckline, asymmetrical design"
3,Chloé,Spring 2009,Feminine,"Peach scalloped jacket, beige bandeau, peach shorts",Green sandals,"Boxy, structured","Modern, sophisticated","Scalloped edges, tonal layering"
1,Chloé,Spring 2009,Feminine,"Beige cropped jacket, bandeau top, high-waisted trousers",Black strappy sandals,"Relaxed, high-waisted","Monochrome, tailored",Scalloped edges on jacket
2,Chloé,Spring 2009,Feminine,"White blazer, metallic top, high-waisted shorts",Black strappy sandals,"Tailored, high-waisted","Crisp, chic",Scalloped hem on shorts
3,Chloé,Spring 2009,Feminine,White cut-out dress with belt,Black strappy sandals,"Fitted, knee-length","Minimalist, elegant","Cut-out details, structured shoulders"
1,Chloé,Spring 2009,Feminine,"White blouse with puffed sleeves, high-waisted trousers",Black sandals,"Structured, high-waisted","Elegant, minimalist",Textured sleeve details
2,Chloé,Spring 2009,Feminine,White one-shoulder dress,"Striped clutch, black and yellow sandals","Asymmetrical, fitted","Chic, contemporary",Draped shoulder detail
3,Chloé,Spring 2009,Feminine,White strappy dress,White sandals,"Flowy, empire waist","Romantic, soft",Bow detail on bodice
1,Chloé,Spring 2012,Feminine,White and tan pleated dress,,"Flowy, A-line","Minimalist, elegant",Vertical pleats create movement
2,Chloé,Spring 2012,Feminine,"White blouse with tan stripes, white wide-leg trousers","Tan belt, small clutch","Relaxed, loose","Chic, casual",Belt adds structure to the loose fit
3,Chloé,Spring 2012,Feminine,White dress with pink stripes,White belt,"Flowy, relaxed","Soft, modern",Subtle color contrast with stripes
1,Chloé,Spring 2012,Feminine,White and teal striped dress,Nude platform sandals,"Flowy, relaxed","Effortless, airy",Vertical stripes create elongation
2,Chloé,Spring 2012,Feminine,"White and teal halter top, teal skirt","White wide belt, nude platform sandals","Flowy, relaxed","Effortless, airy",Color-blocking with a cinched waist
3,Chloé,Spring 2012,Feminine,White sleeveless dress with eyelet details,"White wide belt, metallic shoes","Structured, relaxed","Minimalist, chic",Monochrome with metallic accents
1,Chloé,Spring 2012,Feminine,"White perforated top, white perforated skirt","White clutch, metallic sandals","Relaxed, A-line","Light, airy","Monochrome white, textured fabric"
2,Chloé,Spring 2012,Feminine,"White eyelet blouse, white skirt","White belt, white shoes","Flowy, cinched waist","Elegant, minimal","Monochrome white, subtle detailing"
3,Chloé,Spring 2012,Feminine,"White eyelet blouse, teal trousers","White belt, tan shoes","Relaxed, wide-leg","Chic, vibrant","Pop of color with teal, crisp white top"
1,Chloé,Fall 2017,Feminine,Plaid coat with fur collar,Brown suede shoes,"A-line, structured","Retro, cozy","Warm tones, double-breasted design"
2,Chloé,Fall 2017,Feminine,Floral print dress,Green handbag,"Straight, relaxed","Bohemian, vintage","Intricate patterns, puff sleeves"
3,Chloé,Fall 2017,Feminine,Faux fur coat with belt,Black T-strap heels,"Fitted, flared","Luxurious, bold","Rich texture, vibrant color"
1,Chloé,Fall 2017,Feminine,"Brown leather pinafore dress, yellow floral blouse",Olive handbag,"A-line, fitted","Retro, 70s-inspired","Playful floral pattern, shiny texture"
2,Chloé,Fall 2017,Feminine,Gray tailored jumpsuit,Black belt,"Structured, tailored","Androgynous, utilitarian","Wide collar, sharp tailoring"
3,Chloé,Fall 2017,Feminine,"Green oversized coat, yellow floral dress",,"Oversized, layered","Casual, vintage","Contrasting textures, relaxed fit"
1,Chloé,Fall 2017,Feminine,Green floral lace dress,"Brown handbag, brown heels","A-line, flowy","Romantic, vintage","Delicate lace, floral pattern"
2,Chloé,Fall 2017,Feminine,"Cream bomber jacket, paisley blouse, mustard trousers",Black belt,"Relaxed, oversized","Casual, retro","Textured bomber, wide-leg pants"
3,Chloé,Fall 2017,Feminine,"Plaid oversized coat, yellow knit dress","Gold necklace, black heels","Loose, layered","Cozy, chic","Plaid pattern, layered look"
1,Chloé,Fall 2007,Feminine,Black zip-up dress,Red lace-up boots,"Loose, relaxed","Minimalist, edgy",Simple yet bold with statement footwear
