Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Alexander Wang,Spring 2024,Feminine,"Black cut-out jacket, black trousers","Black sunglasses, silver clutch","Structured, elongated","Edgy, modern","Cut-out details, sleek lines"
2,Alexander Wang,Spring 2024,Feminine,"Black cut-out jacket, black trousers","Black sunglasses, silver shoulder bag","Structured, elongated","Edgy, modern","Cut-out details, sleek lines"
3,Alexander Wang,Spring 2024,Feminine,"Black cropped vest, black briefs",Black sunglasses,"Fitted, minimal","Bold, daring","Minimal coverage, statement boots"
1,Alexander Wang,Spring 2024,Feminine,Black belted jumpsuit,Oversized sunglasses,"Structured, elongated","Edgy, futuristic","Wide-leg pants, cinched waist"
2,Alexander Wang,Spring 2024,Feminine,"Black vest, cut-out pants","Oversized sunglasses, small bag","Fitted, sleek","Modern, daring","Strappy details, slit pants"
3,Alexander Wang,Spring 2024,Feminine,"Long black coat, ribbed pants","Statement earrings, clutch","Dramatic, flowing","Avant-garde, bold","Belted waist, textured fabric"
1,Alexander Wang,Spring 2024,Feminine,"Off-the-shoulder black dress, cropped black pants","Black sunglasses, silver oval handbag, black strappy heels","Fitted, sleek","Edgy, modern","Sheer sleeves, cut-out details"
2,Alexander Wang,Spring 2024,Feminine,"Strapless black tunic, black pants",,"Fitted, elongated","Chic, minimalist","Textured sleeves, structured bodice"
3,Alexander Wang,Spring 2024,Feminine,"Black strappy top, sheer black pants","Black sunglasses, woven handbag, black platform sandals","Layered, flowy","Contemporary, urban","Belted waist, pinstripe pattern"
1,Alexander Wang,Fall 2009,Feminine,"Black deep V-neck blazer, black cropped leggings",Statement earrings,"Fitted, sleek","Minimalist, edgy",Monochrome look with sharp tailoring
2,Alexander Wang,Fall 2009,Feminine,"Black cut-out dress, black leggings",Statement earrings,Bodycon,"Bold, modern",Cut-out details add a daring touch
3,Alexander Wang,Fall 2009,Feminine,"Black off-shoulder blazer, black cropped leggings",Statement earrings,"Structured, fitted","Chic, contemporary",Off-shoulder design with subtle detailing
1,Alexander Wang,Fall 2009,Feminine,"Black sleeveless dress, black shorts",Silver cuff bracelet,"Fitted, sleek","Edgy, modern",Cut-out details on the dress
2,Alexander Wang,Fall 2009,Feminine,"Black cropped blazer, black bandeau, black pants",,"Tailored, sleek","Chic, bold",Studded details on pants
3,Alexander Wang,Fall 2009,Feminine,"White oversized shirt, black pants",,"Oversized, relaxed","Minimalist, contemporary",Off-shoulder shirt styling
1,Alexander Wang,Fall 2009,Feminine,"White oversized shirt, black shorts",Silver cuff bracelet,"Asymmetrical, oversized","Edgy, deconstructed","Off-shoulder design, bold contrast"
2,Alexander Wang,Fall 2009,Feminine,"Black textured blazer, black leggings",,"Fitted, sleek","Futuristic, bold","High-shine material, structured shoulders"
3,Alexander Wang,Fall 2009,Feminine,Black turtleneck dress,Silver cuff bracelet,"Bodycon, sleek","Minimalist, elegant","Subtle texture contrast, long sleeves"
1,Alexander Wang,Fall 2022,Feminine,"Denim vest, white shirt, leather pants","Gold hoop earrings, 'W' belt","Relaxed, oversized","Edgy, urban","Exposed midriff, bold belt"
