Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sophia Kokosalaki,Fall 2009,Feminine,Black belted coat dress,"Wide belt, textured boots","Structured, knee-length","Edgy, sleek","Shiny fabric, strong shoulders"
2,Sophia Kokosalaki,Fall 2009,Feminine,Black belted romper,"Wide belt, textured boots","Relaxed, short","Chic, modern","V-neckline, cinched waist"
3,Sophia Kokosalaki,Fall 2009,Feminine,Black wrap dress,"Wide belt, textured boots","Fitted, knee-length","Elegant, sophisticated","Flowy sleeves, shiny accents"
1,Sophia Kokosalaki,Fall 2009,Feminine,Black leather dress,Wide belt,"Fitted, structured","Edgy, modern","Shiny texture, strong shoulders"
2,Sophia Kokosalaki,Fall 2009,Feminine,"Black draped blouse, black skirt",Cuff bracelet,"Relaxed top, fitted skirt","Chic, sophisticated","Draped neckline, statement boots"
3,Sophia Kokosalaki,Fall 2009,Feminine,"Black textured coat, long sleeves",Wide belt,"Tailored, layered","Elegant, bold","Textured fabric, statement boots"
1,Sophia Kokosalaki,Fall 2009,Feminine,"Black tailored jacket, sheer blouse, black trousers",,"Structured, fitted","Chic, modern","Emphasis on shoulders, sheer layering"
2,Sophia Kokosalaki,Fall 2009,Feminine,"Black leather dress, sheer top",Wide metallic belt,Bodycon,"Edgy, sleek","Mix of textures, sheer sleeves"
3,Sophia Kokosalaki,Fall 2009,Feminine,Black leather coat dress,Wide metallic belt,A-line,"Bold, sophisticated","Strong leather look, detailed boots"
1,Sophia Kokosalaki,Fall 2006,Feminine,"Black coat, black dress","Black belt, necklace","Fitted, flared","Chic, elegant",Monochrome look with layered textures
2,Sophia Kokosalaki,Fall 2006,Feminine,"Black blazer, black skirt","Bracelets, black boots","Boxy, structured","Modern, edgy",Statement boots with layered necklace
3,Sophia Kokosalaki,Fall 2006,Feminine,"Black jacket, black bubble skirt",None,"Structured, voluminous","Contemporary, sleek",Bubble skirt adds volume contrast
1,Sophia Kokosalaki,Fall 2006,Feminine,"Black coat, striped top, black tights",Black knee-high boots,"Tailored, sleek","Chic, modern",Layered black ensemble with subtle stripes
2,Sophia Kokosalaki,Fall 2006,Feminine,"Sheer black blouse, black pencil skirt, black tights",Brown lace-up heels,"Fitted, elegant","Sophisticated, sheer",Sheer blouse with bow detail
3,Sophia Kokosalaki,Fall 2006,Feminine,"Black cape, black dress, black tights",Black pumps,"Flowy, dramatic","Classic, timeless",Cape with fur trim detail
1,Sophia Kokosalaki,Fall 2006,Feminine,"White off-shoulder top, gray pleated skirt","Black lace-up boots, silver bracelet","A-line, fitted","Chic, modern","Off-shoulder design, layered textures"
2,Sophia Kokosalaki,Fall 2006,Feminine,"Black belted jacket, black textured skirt","Gold heels, black necklace","Layered, structured","Edgy, sophisticated","Textured fabrics, cinched waist"
3,Sophia Kokosalaki,Fall 2006,Feminine,White turtleneck dress,"Brown lace-up boots, black bracelets","Fitted, balloon sleeves","Minimalist, elegant","Draped silhouette, statement sleeves"
