Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Moschino,Spring 2015,Feminine,"Pink cropped jacket, pink mini skirt",Pink quilted handbag,"Fitted, structured","Barbie-inspired, playful","Bold zippers, vibrant pink"
2,Moschino,Spring 2015,Feminine,"Pink logo crop top, pink logo mini skirt","Pink shoulder bag, pink phone case",Fitted,"Logo-centric, youthful","Branding emphasis, cohesive color"
3,Moschino,Spring 2015,Feminine,"Pink tank top, dark jeans","Pink clutch, white boots","Casual, fitted","Casual chic, retro","Graphic text, contrasting colors"
1,Moschino,Spring 2015,Feminine,Pink logo sweater dress,Matching pink bag,"Straight, relaxed","Playful, logo-centric","Barbie-inspired, bold branding"
2,Moschino,Spring 2015,Feminine,"Pink studded jacket, pink studded skirt","Heart-shaped bag, pink sunglasses","Fitted, tailored","Retro, glamorous","Studded details, coordinated accessories"
3,Moschino,Spring 2015,Feminine,Pink logo tracksuit,"Headband, pink dumbbells","Slim, sporty","Casual, sporty","Logo repetition, fitness-inspired"
1,Moschino,Spring 2015,Feminine,"Pink logo bikini top, pink logo shorts","Pink headband, pink wristbands, roller skates","Sporty, playful","Retro, fun","Barbie-inspired, branded logos"
2,Moschino,Spring 2015,Feminine,"Pink heart-print blouse, blue sequin pants","Pink belt, pink boots, pink phone case","Fitted, sleek","Retro, playful","Heart motifs, bold colors"
3,Moschino,Spring 2015,Feminine,"Blue sequin denim vest, blue sequin shorts","Pink cap, large sunglasses, black patent bag","Casual, chic","Retro, sporty","Denim texture, oversized accessories"
1,Moschino,Fall 2006,Feminine,"Plaid cropped jacket, black pencil skirt, black blouse","Black patent leather bag, plaid tie","Fitted, tailored","Sophisticated, classic","Mix of textures, plaid accents"
2,Moschino,Fall 2006,Feminine,"Green patterned dress, navy coat",Black handbag,"Relaxed, layered","Elegant, chic","Subtle pattern, knee-high socks"
3,Moschino,Fall 2006,Feminine,"Plaid dress, matching shawl",Brown patent leather bag,"Loose, draped","Vintage-inspired, playful","Brooch detail, layered sleeves"
1,Moschino,Fall 2006,Feminine,Black velvet dress with ruffle details,"Small clutch, knee-high socks","Fitted, A-line","Elegant, classic",Ruffle neckline and hem
2,Moschino,Fall 2006,Feminine,Black velvet dress with bow detail,Knee-high socks,"Fitted, straight","Sophisticated, minimal","Bow accents, short sleeves"
3,Moschino,Fall 2006,Feminine,Patterned dress with long sleeves,"Large handbag, knee-high boots","Relaxed, straight","Casual, chic","Floral pattern, layered sleeves"
