Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Haider Ackermann,Fall 2012,Feminine,"Olive cropped jacket, purple satin blouse, black pencil skirt",Black leather gloves,"Fitted, tailored","Sophisticated, layered",Structured jacket with wide belt
2,Haider Ackermann,Fall 2012,Feminine,"Olive satin blouse, black wide-leg trousers",Olive gloves,"Loose, flowing","Elegant, draped",Blouse with voluminous sleeves
3,Haider Ackermann,Fall 2012,Feminine,"Olive long coat, turtleneck, pencil skirt",Black belt,"Layered, structured","Avant-garde, architectural",Coat with exaggerated lapels and layered skirts
1,Haider Ackermann,Fall 2012,Feminine,"Brown structured jacket, asymmetrical skirt","Brown gloves, black ankle boots","Hourglass, structured","Avant-garde, edgy","Strong shoulders, textured fabric"
2,Haider Ackermann,Fall 2012,Feminine,Olive draped dress,"Black gloves, black ankle boots","Fitted, draped","Elegant, modern","Knot detail, high neckline"
3,Haider Ackermann,Fall 2012,Feminine,"Brown leather coat, olive dress","Black gloves, black ankle boots","Long, layered","Sophisticated, sleek","Contrasting textures, wide belt"
1,Haider Ackermann,Fall 2012,Feminine,"Black high-neck sweater, black leather skirt","Black belt, black boots","Structured, cinched waist","Avant-garde, edgy","High collar, leather texture"
2,Haider Ackermann,Fall 2012,Feminine,"Black tailored coat, black deep V-neck dress","Black gloves, lace-up boots","Fitted, hourglass","Sophisticated, bold","Dramatic lapels, sleek lines"
3,Haider Ackermann,Fall 2012,Feminine,"Black deep V-neck blouse, brown high-waisted trousers",Black gloves,"Elongated, high-waisted","Elegant, minimal","Wide-leg trousers, deep neckline"
1,Haider Ackermann,Spring 2010,Feminine,"Black tailored jacket, black draped mini skirt",Black scarf,"Structured top, draped bottom","Edgy, dark, avant-garde","Strong shoulders, high slit"
2,Haider Ackermann,Spring 2010,Feminine,Black halter dress with draped details,None,"Asymmetrical, fitted","Minimalist, sophisticated","Wrap details, high neckline"
3,Haider Ackermann,Spring 2010,Feminine,"Gray leather jacket, gray draped mini dress",None,"Relaxed, layered","Urban, sleek","Casual layering, muted tones"
1,Haider Ackermann,Spring 2010,Feminine,"Gray draped top, cropped pants",Strappy sandals,"Relaxed, layered","Edgy, deconstructed","Asymmetrical draping, muted tones"
2,Haider Ackermann,Spring 2010,Feminine,"Sleeveless draped jacket, shorts",Strappy sandals,"Structured, layered","Edgy, modern","Belted waist, strong shoulders"
3,Haider Ackermann,Spring 2010,Feminine,Draped gown with high collar,None visible,"Fitted, flowing","Elegant, sophisticated","Floor-length, sleek design"
1,Haider Ackermann,Spring 2010,Feminine,"Metallic open-front cardigan, high-waisted shorts",Strappy sandals,"Draped, fitted","Edgy, avant-garde","Sheer texture, metallic shine"
2,Haider Ackermann,Spring 2010,Feminine,"Halter neck top, draped mini skirt",Strappy sandals,"Asymmetrical, fitted","Modern, artistic","Bold draping, shoulder exposure"
3,Haider Ackermann,Spring 2010,Feminine,Sleeveless dress with exaggerated pockets,Strappy sandals,"Structured, voluminous","Futuristic, architectural","Strong shoulders, layered textures"
