Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Lanvin,Spring 2024,Feminine,Black strapless dress with sheer embellished skirt,"Long black gloves, necklace","Fitted bodice, flowing skirt","Elegant, eveningwear","Floral embellishment, sheer details"
2,Lanvin,Spring 2024,Feminine,"Black cropped top with embellishments, high-waisted trousers",Bracelet,"Tailored, structured","Chic, modern","Heart-shaped cutout, metallic details"
3,Lanvin,Spring 2024,Masculine,"Beige trench coat, black trousers","Black gloves, blue neck scarf","Oversized, longline","Classic, sophisticated","Belted waist, rolled sleeves"
1,Lanvin,Spring 2024,Feminine,"Lace overlay dress, black underlay",Blue gloves,Sheath,"Delicate, intricate",Contrasting textures with bold gloves
2,Lanvin,Spring 2024,Masculine,"Black blazer with embroidery, beige shirt, pinstripe trousers",Blue gloves,Tailored,"Sophisticated, modern",Subtle embroidery detail
3,Lanvin,Spring 2024,Feminine,Mint green textured dress,Statement earrings,Column,"Elegant, textured",Flared hem with intricate detailing
1,Lanvin,Spring 2024,Feminine,"Mint green coat, black trousers, printed inner top",Chain detail,"Structured, tailored","Elegant, modern",Subtle color contrast with intricate inner detailing
2,Lanvin,Spring 2024,Feminine,"Pinstripe tunic, matching wide-leg trousers","Black leather gloves, chain necklace","Straight, elongated","Chic, sophisticated",Monochrome look with bold accessories
3,Lanvin,Spring 2024,Masculine,"Mint green shirt with floral applique, textured white top, black trousers","Blue neck scarf, black leather gloves","Relaxed, casual","Artistic, contemporary",Floral detailing adds a unique touch
1,Lanvin,Fall 2008,Feminine,"Structured top, printed pencil skirt",,"Fitted, structured","Architectural, graphic","Bold shoulder detail, geometric print"
2,Lanvin,Fall 2008,Feminine,"White coat, white pants",White gloves,"Tailored, streamlined","Minimalist, elegant","Monochrome look, clean lines"
3,Lanvin,Fall 2008,Feminine,"Black velvet top, white flared skirt",,"A-line, youthful","Playful, modern","Contrast textures, flared silhouette"
1,Lanvin,Spring 2008,Feminine,Navy draped dress,None visible,"Flowy, asymmetrical","Elegant, sophisticated","Rich color, gathered fabric"
2,Lanvin,Spring 2008,Feminine,"Olive draped dress, matching coat",Brown belt,"Flowy, layered","Earthy, chic","Belted waist, tonal layering"
3,Lanvin,Spring 2008,Feminine,Beige pleated dress,"White belt, sunglasses","Structured, fitted","Minimalist, refined","Pleated texture, neutral palette"
1,Lanvin,Spring 2008,Feminine,"Gray draped dress, matching coat",Brown sandals,"Flowy, relaxed","Elegant, understated","Soft draping, muted color"
2,Lanvin,Spring 2008,Feminine,White one-shoulder draped dress,"Beige belt, beige sandals","Asymmetrical, fitted","Grecian, chic","One-shoulder design, belted waist"
3,Lanvin,Spring 2008,Feminine,Navy mini dress,"Black open-toe heels, statement earrings","Voluminous, short","Modern, bold","Structured gathering, rich color"
1,Lanvin,Spring 2008,Feminine,"Black halter dress, black coat","Black belt, black sandals","Flowy, relaxed","Chic, elegant","Monochrome, layered outerwear"
2,Lanvin,Spring 2008,Feminine,Gray pleated halter dress,Black sandals,"A-line, loose","Minimalist, sophisticated","Pleated texture, simple elegance"
3,Lanvin,Spring 2008,Feminine,Blue flowing gown,Black sandals,"Voluminous, dramatic","Bold, statement","Rich color, sweeping movement"
1,Lanvin,Fall 2022,Feminine,"Blue faux fur coat, black deep V-neck jumpsuit",Gold hoop earrings,"Oversized, dramatic","Luxurious, bold","Rich texture, vibrant color"
2,Lanvin,Fall 2022,Feminine,Black tailored coat dress,"Blue mini handbag, polka dot knee-high socks","Structured, sleek","Chic, elegant","Classic tailoring, subtle contrast"
3,Lanvin,Fall 2022,Feminine,Beige fitted jumpsuit,"Brown handbag, gold bracelet","Form-fitting, sharp shoulders","Modern, sophisticated","Minimalist design, strong shoulder emphasis"
1,Lanvin,Fall 2022,Feminine,"White faux fur coat, polka dot tights","Sunglasses, blue handbag","Oversized, voluminous","Glamorous, bold","Statement outerwear, textured contrast"
2,Lanvin,Fall 2022,Feminine,Black tailored jumpsuit,"Sunglasses, hoop earrings","Sleek, fitted","Chic, modern","Deep V-neck, minimalist elegance"
