Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,AGL,Spring 2024,Feminine,Nude bodysuit,White platform clogs,Fitted,"Minimalist, Modern",Sleek and simple with a focus on silhouette.
1,AGL,Spring 2024,Feminine,Nude bodysuit,Beige bow sandals,Fitted,"Minimalist, Contemporary",Simple yet elegant with a focus on form.
1,AGL,Spring 2024,Gender Neutral,"Nude bodysuit, Stretch fabric",Turquoise lace-up sandals,"Fitted, Minimalist","Modern, Clean, Bold","Focus on footwear, minimal styling"
1,AGL,Spring 2024,Feminine,Nude bodysuit,Pink rope sandals,Fitted bodysuit,"Minimalist, Modern",Bold footwear contrast
1,AGL,Spring 2024,Feminine,N/A,"Pink rope sandals, navy textured shoes",N/A,"Playful, Bold",Bright pink rope detailing with textured navy base
1,AGL,Spring 2024,Feminine,Nude bodysuit,Navy textured heels,Form-fitting,"Minimalist, Modern","Focus on footwear, clean aesthetic"
1,AGL,Spring 2024,Feminine,"Nude bodysuit, smooth texture",Navy textured heels with pink heels,Fitted,"Minimalist, Modern",Focus on footwear with vibrant heel contrast
1,AGL,Spring 2024,Feminine,Nude bodysuit,Silver heeled mules,Fitted,"Minimalist, Modern",Simple and sleek presentation
1,AGL,Spring 2024,Feminine,N/A,Black mesh peep-toe ankle boots,Slim,"Modern, Minimalist",Focus on footwear with sheer texture
1,AGL,Spring 2024,Feminine,Beige bodysuit,Black platform sandals,Fitted,"Minimalist, Sleek",Simple and modern look with emphasis on silhouette.
1,AGL,Spring 2024,Androgynous,"Nude bodysuit, matte texture",Nude platform sandals,Fitted,"Minimalist, Modern",Focus on neutral tones and clean lines
1,AGL,Spring 2024,Feminine,Nude bodysuit,Black fishnet knee-high boots,Fitted,"Minimalist, Edgy",Focus on texture and contrast
1,AGL,Spring 2024,Feminine,Beige sleeveless bodysuit,Beige textured knee-high boots,Fitted,"Minimalist, Modern",Focus on texture and monochrome palette
1,AGL,Spring 2024,Feminine,Nude bodysuit,Red leather ballet flats with bows,Fitted,"Minimalist, Elegant",Focus on footwear with bold color contrast
1,AGL,Spring 2024,Feminine,Nude bodysuit,Cream textured slides,Fitted,"Minimalist, Modern",Simple and clean aesthetic with focus on texture.
1,AGL,Spring 2024,Feminine,Nude bodysuit,"White fringe leg warmers, White fringe sandals",Fitted,"Minimalist, Modern, Dance-inspired",The look combines a simple bodysuit with textured accessories for a dynamic contrast.
1,AGL,Spring 2024,Feminine,N/A,White textured flats,N/A,"Textured, Elegant",Focus on unique footwear design
1,AGL,Spring 2024,Feminine,"Nude bodysuit, fitted",Silver slingback heels,Fitted,"Minimalist, Modern","Focus on footwear, clean lines"
1,AGL,Spring 2024,Feminine,Nude bodysuit,Black textured heels,Minimalist,"Modern, Sleek","Focus on footwear, minimal clothing"
1,AGL,Spring 2024,Feminine,Nude bodysuit,Green fuzzy slides with large gems,Minimalist,"Modern, Edgy","Focus on footwear, minimal clothing"
1,AGL,Spring 2024,Feminine,Nude bodysuit,Pink fuzzy flats with large gem,Fitted,"Minimalist, Casual",Focus on footwear with statement flats
1,AGL,Spring 2024,Feminine,"Nude bodysuit, smooth texture",Turquoise clogs,Fitted,"Minimalist, Modern",Focus on simplicity and color contrast with footwear
1,AGL,Spring 2024,Feminine,"Nude bodysuit, Stretch fabric",White platform clogs with orange straps,"Fitted bodysuit, Chunky footwear","Minimalist, Modern",Focus on clean lines and bold footwear contrast
1,AGL,Spring 2024,Feminine,"Nude bodysuit, seamless",Pink and beige clogs,Fitted,"Minimalist, Contemporary",Focus on simplicity and bold footwear
1,AGL,Spring 2024,Feminine,Nude bodysuit,Black and gold gladiator sandals,Fitted,"Minimalist, Modern",Focus on footwear with a simple garment.
1,AGL,Spring 2024,Feminine,Nude bodysuit,Pink strappy sandals,Fitted,"Minimalist, Modern","Focus on footwear, clean lines"
