Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Kith,Fall 2024,Masculine,"Green suit, dark green shirt","Brown leather bag, gold necklace","Relaxed, tailored","Sophisticated, earthy",Natural setting enhances the earthy tones
2,Kith,Fall 2024,Masculine,"Green and white fur jacket, white hoodie, gray shorts","Black beanie, black pouch","Casual, layered","Sporty, cozy",Mix of textures with fur and knit
3,Kith,Fall 2024,Masculine,"Green suede jacket, gray shirt, white quilted pants","Green cap, black pouch","Relaxed, casual","Textured, layered",Quilted pants add a unique texture
1,Kith,Fall 2024,Masculine,"Velvet bomber jacket, striped shirt, gray trousers","Patterned scarf, bucket hat","Relaxed, casual","Layered, textured","Earthy tones, outdoor setting"
2,Kith,Fall 2024,Masculine,"Light bomber jacket, logo sweater, teal polo, gray trousers","White cap, sunglasses","Relaxed, sporty","Casual, branded","Contrasting textures, layered look"
3,Kith,Fall 2024,Masculine,"Denim jacket, patterned shirt, pinstripe trousers","Patterned tote bag, navy cap, sunglasses","Relaxed, casual","Denim, patterned","Mix of patterns, casual elegance"
1,Kith,Fall 2024,Masculine,"Black shearling jacket, gray pinstripe pants, green shirt","White cap, sunglasses, white backpack","Relaxed, layered","Casual, outdoor","Textured outerwear, neutral tones"
2,Kith,Fall 2024,Masculine,"Beige shearling jacket, striped turtleneck, gray shorts","White beanie, sunglasses, brown duffle bag","Relaxed, layered","Casual, outdoor","Textured outerwear, mixed patterns"
3,Kith,Fall 2024,Masculine,"Green shearling jacket, color-blocked polo, gray cargo pants","Black cap, sunglasses","Relaxed, layered","Casual, outdoor","Textured outerwear, utilitarian elements"
1,Kith,Fall 2023,Masculine,"Varsity jacket, patterned shirt, black trousers",Duffle bag,"Relaxed, casual","Sporty, urban",Contrasting sleeves on jacket
2,Kith,Fall 2023,Masculine,"Navy jacket, white hoodie, light gray trousers",None,"Relaxed, casual","Layered, comfortable",Monochrome layering
3,Kith,Fall 2023,Masculine,"Colorful puffer jacket, striped shirt, black trousers","Baseball cap, bracelet","Relaxed, casual","Bold, graphic",Mountain print on jacket
1,Kith,Fall 2023,Masculine,"Striped sweater, light blue jeans","White cap, tote bag","Relaxed, casual","Cozy, outdoorsy","Earthy tones, casual fit"
2,Kith,Fall 2023,Masculine,"White jacket, striped shirt, beige trousers",Bracelet,"Relaxed, layered","Casual, sophisticated","Neutral palette, layered textures"
3,Kith,Fall 2023,Masculine,"Two-tone jacket, dark shirt, black pants",White beanie,"Structured, casual","Retro, sporty","Contrast detailing, varsity style"
1,Kith,Fall 2023,Masculine,"Black leather jacket, black cargo pants",White bucket hat,"Relaxed, layered","Urban, edgy","Textured leather, monochrome look"
2,Kith,Fall 2023,Masculine,"Patterned fur coat, black trousers",None,"Structured, tailored","Luxurious, bold","Colorful patterns, cozy texture"
3,Kith,Fall 2023,Masculine,"Gray jacket, striped shirt, shorts",Black bucket hat,"Casual, sporty","Athletic, relaxed","Sporty elements, layered casual wear"
